id,question,A,B,C,D,answer
0,"产品名称：万家基金0元试基
功能介绍：购基体验券领取
产品特点：便宜，额度高",一款基金理财投资工具,基金投资黄历,体验基金投资,交银基金板块投资指南,C
1,"产品名称：万家积分商城
功能介绍：做任务，学理财
产品特点：便捷，喵币，兑换礼品",学投资干货，嗨赚喵币兑好礼！,博时基金，签到有好礼,工资理财，赚收益,养动物，学基金，兑福利！,A
2,"产品名称：交银基金投资时刻表
功能介绍：投资时刻表查询，提醒基金上下车
产品特点：便捷，方便",基金投资黄历,体验基金投资,交银基金板块投资指南,交银基金每日盘后估值,C
3,"产品名称：南京银行
功能介绍：优质理财，线上开户，钱财存取
产品特点：便捷简单",南京银行理财投资,南京银行在线开户,投资理财收益计算,"理财,理财",A
4,"产品名称：天弘基金投资黄历
功能介绍：投资理财，信用卡办理申请和账单明细查询，网点查询，绑卡，个人信息更新，资产存款证明，转账汇款，贷款还款，银行缴费，公司业务
产品特点：方便快速，免信用卡年费，免费试驾年，额度高，年利率低至10.8%，全程无手续费，无额外费用",一款基金理财投资工具,体验基金投资,基金投资黄历,交银基金板块投资指南,C
5,"产品名称：富国基金拜财神
功能介绍：拜财神
产品特点：简单，实用，财神奖励",体验基金投资,基金投资黄历,一款基金理财投资工具,理财工具,C
6,"产品名称：南方基金资产证明
功能介绍：资产证明开具，立即申请
产品特点：方便快速",为客户开具诺安基金资产证明,为投资者提供资产证明开具工具,一键开具博时基金资产证明,在线申请资产证明,B
7,"产品名称：基金定投
功能介绍：我的定投，定投排行榜，定投百科
产品特点：线上选投，便捷简单，省时省心",任何时候开始投资都不晚，走出定投微笑曲线,养动物，学基金，兑福利！,帮你投，轻松理财，点击查看,买黄金，轻松投资黄金,A
8,"产品名称：理财性格
功能介绍：测理财性格，额度评估
产品特点：便捷，专业",基金投资黄历,投资性格测试,玩转指数投资之旅,体验基金投资,B
9,"产品名称：国泰指南针
功能介绍：基金服务，理财管理
产品特点：领福利，方便，解锁大礼包",指数实时看板,黄金指数,投资性格测试,玩转指数投资之旅,D
10,"产品名称：大成基金每日运势
功能介绍：行情信息，投资分析
产品特点：方便，专业，实时精准，安全可靠",向用户提供市场行情信息及投资观点,体验基金投资,投资性格测试,提供用户资产、盈亏查询功能,A
11,"产品名称：买黄金
功能介绍：黄金买卖，金价查询
产品特点：方便，实时金价信息",足不出户变现黄金,买黄金，轻松投资黄金,黄金回收，安全高价正规,黄金指数,B
12,"产品名称：国泰基金资产查询
功能介绍：国泰基金资产查询
产品特点：方便",华宝基金资产收益查询,用于客户查询其在招商基金的资产,广发基金资产查询,查询投资者持有的国泰资产及收益,D
13,"产品名称：博时-跟我投
功能介绍：基金排行查看，月收益榜查看，总收益榜查看，关注榜查看，基金推荐
产品特点：便捷，专业，安全可靠，实时精准，收益稳定",买黄金，轻松投资黄金,帮你投，轻松理财，点击查看,投资基金组合，从此便捷轻松,养动物，学基金，兑福利！,C
14,"产品名称：代理记账
功能介绍：代理记账，记账管理
产品特点：简单，快速",税务局官方服务,蚂蚁保保险代理,税务贴身服务,代理财务记账服务,D
15,"产品名称：南京银行
功能介绍：优质理财，线上开户，钱财存取
产品特点：便捷简单","理财,理财",南京银行在线开户,南京银行理财投资,投资理财收益计算,C
