id,question,A,B,C,D,answer
0,"财联社 6月13日电，华骐环保公告，山鹰时代伯乐计划在本公告发布之日起15个交易日后的6个月内以集中竞价交易方式减持公司股份不超过3,963，988股，即减持比例不超过公司总股本的3%。",华骐环保：山鹰时代伯乐欲逐步减持股份,华骐环保：山鹰时代伯乐拟继续减持不超3%股份,山鹰时代伯乐将集中减持华骐环保股份，市值或将受到影响,华骐环保即将迎来股权减持，山鹰时代伯乐减持3%股份,B
1,财联社 6月29日电，昆仑万维今日大宗交易平台共发生13笔成交，合计成交量366万股，成交金额1.33亿元。进一步统计，近3个月内该股累计发生27笔大宗交易，合计成交金额为2.09亿元。,昆仑万维今日现13笔大宗交易,昆仑万维股票再次大跌，投资者需警惕,无利好消息，昆仑万维近期股价波动不断,昆仑万维大宗交易频繁，投资者注意风险,A
2,财联社 5月4日电，据海口海关统计，今年“五一”假期（ 4月29日至 5月3日），海口海关共监管海南离岛免税购物金额8.83亿元，购物人次10.9万人次，较2022年“五一”假期分别增长120%、158%。今年“五一”小长假期间，海南各大免税店购物人数激增，畅销的前三类商品为化妆品、首饰、手表。,化妆品、首饰、手表成海南离岛“五一”购物热门,“五一”假期海南离岛免税购物金额8.83亿元,海南免税店5日内营收翻倍，引爆岛内消费狂潮,海口海关监管海南离岛5日内购物达千万元,B
3,财联社 6月7日电，瑞银集团在 6月6日提交给美国证券交易委员会（SEC）的一份监管文件中表示，预计将在 6月7日前完成与瑞士政府的协议，以弥补其紧急收购瑞士信贷所造成的高达90亿瑞士法郎（约合99.2亿美元）的损失。,瑞银即将达成瑞士信贷交易相关协议，无需担心损失,瑞银集团与瑞士政府就瑞信损失达成一项备忘录,瑞银预计 6月7日前就瑞信损失担保与瑞士政府达成协议,瑞银将会为紧急收购瑞士信贷付出巨额代价,C
4,财联社 4月24日电，ST云城公告，公司股票被实施其他风险警示的情形已经消除，且不存在其他触及风险警示的情形，公司已向上海证券交易所申请撤销其他风险警示。上海证券交易所将自收到公司申请之日后10个交易日内，根据实际情况，决定是否撤销对公司股票实施的其他风险警示。在上海证券交易所审核期间，公司股票不停牌，仍正常交易。,ST云城：公司已向上海证券交易所申请撤销其他风险警示,ST云城股票不再风险警示，公司股价或将上涨,ST云城申请撤销上交所风险警示，投资者不确定信心,上交所考虑撤销ST云城风险警示，市场看涨态度明显,A
5,财联社 6月21日电，工业和信息化部副部长辛国斌今日在新闻发布会上表示，将启动智能网联 汽车准入和上路通行试点，组织开展城市级“车路云一体化”示范应用，支持有条件的自动驾驶，这里面讲的是L3级，及更高级别的自动驾驶功能商业化应用。我们已经启动了这项工作，地方也在积极响应。相信在不久的将来，更多有智能化水平的产品会跑在路上。,工信部在新闻发布会上提出支持自动驾驶，路上将会有更多智能产品,工信部推出智能网联汽车准入，有条件支持自动驾驶商业化,自动驾驶将迎来商业化应用，工信部宣布智能车辆试点,工信部：支持L3级及更高级别的自动驾驶功能商业化应用,D
6,财联社 6月25日电，江苏省发改委印发新型储能项目高质量发展的若干措施（征求意见稿）。到2027年，全省新型储能项目规模达到500万千瓦左右。其中，全省电网侧新型储能项目规模达到350万千瓦左右；全省用户侧新型储能项目规模达到100万千瓦左右；全省电源侧新型储能项目规模达到50万千瓦左右。,当年江苏将增开新型储能项目实现巨额升级！,江苏盼望500万千瓦储能发展 直接引领其它省份！,江苏到2027年全省新型储能项目规模达到500万千瓦左右,海内储能大赛：江苏计划引领全国储能产业！,C
7,财联社 5月31日电，有投资者提问，百度有意整合百度搜索引擎和海贝智能数据库是否属实？拓尔思回复称，此消息不属实。公司在与同行业厂商技术交流方面一直保持积极、开放的心态，时刻关注技术创新带来的发展新机遇。,投资者误传消息，百度并无整合搜索引擎和智能数据库计划,拓尔思： 百度有意整合百度搜索引擎和海贝智能数据库的消息不属实,百度未考虑整合百度搜索引擎和海贝智能数据库,拓尔思称百度没有整合搜索引擎和智能数据库计划,B
8,财联社 5月8日电，晨丰科技公告，公司控股股东海宁市求精投资有限公司及其一致行动人正在筹划重大事项，该事项可能导致公司控股股东及实际控制人发生变更。公司股票及其衍生品将于 5月8日上午开市起停牌，预计停牌时间为一个交易日。,晨丰科技股票明日停牌，或面临控股股东变更,晨丰科技控股股东发生变更 或将停牌一天,晨丰科技或有重大事件或面临实际控制人变更,晨丰科技：控股股东筹划重大事项公司股票 5月8日起停牌,D
9,财联社 5月27日电，莫斯科时间27日0时14分许，俄罗斯从位于远东地区的东方发射场使用“联盟-2.1a”火箭发射了首颗“秃鹰-FKA”（Kondor-FKA）系列卫星。民用雷达卫星“秃鹰-FKA”用于监测包括北极海岸在内的各地突发事件，可保障俄罗斯紧急情况部在任何时段和天气条件下对突发事件地区进行实时监测。这颗卫星的发射时间曾多次推迟。,俄罗斯最终发射了备受期待的雷达卫星,俄罗斯成功发射了一颗民用卫星,俄罗斯远东地区发射了一颗卫星,俄罗斯发射首颗“秃鹰-FKA”系列民用雷达卫星,D
10,财联社 6月20日电，印尼上周收到一家“世界顶级电动汽车制造商”的13亿美元投资提案，涉及建立一座电动汽车工厂与分销网络。印尼政府方面表示欢迎这一提议，因“该汽车制造商的产品适合印尼市场，并以可承受的价格提供”。,电动汽车在印尼市场崭露头角，一家制造商欲投13亿美元,电动汽车巨头有意在印尼设厂，政府正考虑投资计划,印尼面临电动汽车革命，一家制造商敲响投资大门,印尼称收到“电动 汽车制造巨头”13亿美元提案涉新建工厂与分销网络,D
11,财联社 5月16日电，“成都龙泉驿区将迎来迪士尼乐园入驻”的信息在互联网传播，引发网友热议。目前，龙泉驿区暂未收到迪士尼项目选址情况。成都经开区规划和自然资源局回复：“个别网络平台发布图片系以我区最新基准地价成果作为底图进行编造。”,成都龙泉驿区规划建设 迪士尼？成都经开区规划和自然资源局：假的,成都龙泉驿区或将加速开发迪士尼项目，备受关注,网络流传消息：迪士尼乐园或将落地成都龙泉驿区,迪士尼选址争夺战！成都龙泉驿区火热竞争,A
12,财联社 6月18日电，从陕西省农业农村厅了解到，截至 6月17日，陕西全省已累计收获小麦1275.05万亩，占应收面积1437.66万亩的88.69%；与此同时，已累计播种1001.6万亩，占预播1058.49万亩面积的94.62%。,陕西小麦收获面积占应收面积88.69%,陕西夏季农业播种已超过预期,陕西小麦收获仍有11.31%未完成,陕西省夏播面积过九成已播种1001.6万亩,D
13,财联社 5月26日电，英特科技在互动平台表示，公司液冷散热器可以应用于数据中心、光伏发电、中央空调等领域的变频器、逆变器的散热冷却，产品已实现销售，占比不高。,英特科技：液冷散热器已实现销售占比不高,英特科技液冷散热器被广泛应用领域,英特科技液冷散热器销售不如预期,英特科技新产品液冷散热器市场份额低迷,A
14,财联社 3月7日电，澳弘电子在互动平台表示，目前公司已有6G相关产品技术储备；有产品可应用于6G相关领域，但目前仍处于打样阶段，尚未量产，不会对公司业绩产生重大影响，未来业务发展情况请关注公司定期报告，请广大投资者理性投资。,澳弘电子：公司已有6G相关产品技术储备有产品可应用于6G相关领域,澳弘电子：未来或将推出可应用于6G的新产品,澳弘电子：未来或将涉足6G领域,澳弘电子打造6G产品，开启新一轮业务增长,A
15,财联社 3月28日电，旭升集团公告，为进一步拓展北美市场，实现产品的快速交付，公司拟通过分别成立子公司、孙公司最终投资建设墨西哥生产基地。项目预计累计总投资额不超过2.76亿美元。,旭升集团计划在北美市场投资,公司将成立子公司、孙公司拓展业务,旭升集团在墨西哥寻求新机会,旭升集团：拟投建墨西哥生产基地总投资额不超2.76亿美元,D
16,财联社 6月16日电，贵州百灵涨超7%， 寿仙谷、 亚宝药业、 佐力药业、 华润三九、 昆药集团等跟涨。消息面上，据报道近期中药药材淡季不淡，多种药材价格大涨，其中当归、党参这半月价格已经涨超30%。,中药行业大赚特赚，抢眼股票表现获投资者追捧,中药材价格大涨，中药股狂飙上涨,中药股快速拉升 贵州百灵涨超7%,多家中药企业跟涨创新高，投资者热情高涨,C
17,财联社 7月22日电，河南省统计局发布上半年经济运行情况。根据地区生产总值统一核算结果，上半年全省地区生产总值（GDP）31326亿元，按不变价格计算，同比增长3.8%。其中，第一产业增加值2308亿元，增长1.0%；第二产业增加值13189亿元，增长3.5%；第三产业增加值15829亿元，增长4.5%。,河南省上半年经济增速略有回落,河南省上半年GDP达31326亿元同比增长3.8％,农业增长缓慢 河南省上半年经济增长乏力,河南省第二产业增长远超第一产业,B
18,财联社 5月4日电，长江传媒3连板， 城市传媒、 三七互娱涨停， 遥望科技、 掌趣科技、 皖新传媒、 南方传媒等多股高开超5%。消息面上，据Euractive报道， 4月27日欧洲议会成员就《人工智能法案》达成提案，其中重点提到模型开发商将被要求披露在构建其系统时使用的任何版权材料。,长江传媒3天3板，传媒、游戏股全面高开，欧洲出台人工智能法案,人工智能法案出台，传媒股狂飙，三七互娱涨停,模型开发商需披露版权材料，游戏、传媒股全线走强,游戏、传媒股集体高开 长江传媒3连板,D
19,财联社 6月25日电，据俄罗斯卫星通讯社报道，俄罗斯总统普京已签署新法令，宣布 9月3日为对日本军国主义战争胜利纪念日暨二战结束纪念日。报道称，法律解释性文件中写道，俄罗斯开展特别军事行动后，日本方面与西方联合发起俄日历史上史无前例的不友好行动。 9月3日纪念日名称的改动是“反制措施”之一。,普京签令：日本战争胜利纪念日更名为对日反制纪念日,俄罗斯总统普京签署法令改变二战结束纪念日,俄罗斯宣布9月3日为胜利纪念日，日本表失望,俄媒：反制日本普京签令将 9月3日更名为对日本军国主义战争胜利纪念日,D
20,财联社 6月15日电，常青股份在互动平台表示，公司分红派息自公司2022年年度股东大会审议通过之日起2个月内实施，具体时间请关注公司在上交所官网的公告。公司一体化压铸项目正在积极推进，预计2024年达到投产条件。,常青股份加速压铸项目，预计未来3年完成,常青股份：公司一体化压铸项目正在积极推进预计2024年达到投产条件,常青股份公布分红派息时间，投资者可关注上交所官网公告,常青股份确定2022年度股东大会分红方案，可望提高投资回报率,B
21,财联社 7月23日电，据中国驻新加坡大使馆消息，中国政府将于北京时间 7月26日0时起，恢复对持普通护照来华经商、旅游观光、探亲访友和过境的新加坡公民15天免签入境政策。此前已获发来华签证的新加坡公民，所持签证继续有效。已受理的签证申请，将正常审发。,中国将恢复新加坡公民15天免签入境政策,中国为新加坡公民推出15天免费签证政策,新加坡公民可以免签入境15天啦！,对于新加坡公民，中国开始恢复入境政策,A
22,财联社 7月6日电，北约秘书长斯托尔滕贝格当地时间 7月6日在北约总部与土耳其、瑞典和芬兰高级官员举行会议，就瑞典加入北约一事进行讨论。在会后举行的新闻发布会上，斯托尔滕贝格表示，瑞典已经在反恐等方面做出了巨大的努力，瑞典加入北约指日可待。他还表示，将于 7月10日在维尔纽斯与土耳其总统埃尔多安、瑞典首相克里斯特松举行会议，进一步推进瑞典加入北约的进程。,北约秘书长：将进一步推进瑞典加入北约进程,土耳其、瑞典、芬兰与北约秘书长会面，展开深入探讨,瑞典高级官员与北约秘书长讨论合作事宜,北约将考虑瑞典加入反恐阵营,A
23,财联社 5月31日电，今年以来，中药行业景气度明显修复，受业绩确定性等因素推动，A股中药板块频频发力，多只中药主题基金“量价”齐升。基金人士表示，一季度中药行业营业收入和净利润进一步提升，叠加多项政策支持中药传承创新，同时“中特估”概念助力中药企业价值重塑，国企改革赋予中药企业增长新动能，有望推动中药行业持续攀升。,基金人士：国企改革赋予 中药企业增长新动能有望推动中药行业持续攀升,中药行业发展势头良好，值得投资关注,中药企业获政策支持 经营业绩“量价”齐升,中特估概念推动 中药板块股价疯涨,A
