id,question,answer
0,中国是全球最大的制造业国家。,是
1,数学是经济学的重要基础。,是
2,新兴市场国家对全球经济增长起到了重要作用。,是
3,银行可以通过货币政策来调整经济。,是
4,阿根廷是全球最大的消费市场。,否
5,经济增长率是衡量一个国家经济发展速度的重要指标。,是
6,比尔·盖茨是美国著名的股神,否
7,美国是世界上最大的石油消费国。,是
8,泰国是世界上最大的手机生产国。,否
9,加密货币是世界上使用人数最多的货币。,否
10,比特币是一种加密数字货币。,是
11,消费者支出是拉动经济增长的重要驱动力。,是
12,经济增长率是一个评估国家经济健康的重要指标。,是
13,发展中国家是全球经济增长的主要阻力源,否
14,风能是全球最重要的能源资源,否
15,巴西是全球最大的农产品出口国。,否
16,发达国家的经济主要依赖于农业,否
17,阿根廷是世界上最具竞争力的经济体,否
18,美国纳斯达克是全球最大的股票电子交易市场。,是
19,股票市场是食品交易的场所,否
20,消费者支出对经济增长起着重要作用。,是
21,沃伦·巴菲特是美国著名的股神。,是
22,贸易战可能导致全球经济繁荣。,否
23,美元是欧洲联盟的共同货币。,否
24,亚洲市场对全球经济发展具有重大影响力。,是
25,日本是世界上最知名的金融中心。,否
26,世界贸易组织致力于促进全球贸易自由化。,是
27,中国是全球最小的出口国。,否
28,欧洲联盟是由30个成员国组成的政治和经济联盟。,否
29,巴基斯坦是全球重要的信息技术服务中心。,否
30,全球化是经济发展的重要趋势。,是
31,世界贸易组织（WTO）有200个成员国,否
32,经济全球化的一个重要特点是跨国公司的崛起。,是
33,全球化在过去几十年中对世界经济产生了微不足道的影响。,否
34,就业率是衡量经济健康的重要指标。,是
35,巴西是世界上最大的半导体出口国。,否
36,德国是全球最大的出口国,否
37,以太坊是第一个成功的加密货币,否
38,以太坊是第一种区块链加密货币。,否
39,汇率波动对国际贸易有影响。,是
40,俄罗斯是世界上最大的石油出口国,否
41,蒙特利尔是加拿大的经济中心。,是
42,联合国是最大的国际组织。,是
43,以太币是第一种被广泛接受的加密货币。,否
44,南非是世界上最大的铁矿石出口国,否
45,俄罗斯是全球最大的汽车市场。,否
46,微软公司的股票是世界上最贵的,否
47,美国是全球最大的航天技术研发国家。,是
48,纽约证券交易所是二战后的国际货币体系。,否
49,意大利是欧洲最大的金融中心,否
50,澳大利亚是世界上最大的黄金消费国。,否
51,大萧条是1949年至1953年间全球范围内的经济危机。,否
52,马克·扎克伯格是Facebook的创始人。,是
53,汇率是不同国家货币之间的兑换比例。,是
54,联合国是全球最大的政府间组织。,是
55,墨西哥是世界上最大的石油出口国。,否
56,首个工业革命起源于英国。,是
57,南非兰特是世界上最常用的货币,否
58,油价对全球经济有重要影响。,是
59,大规模短期失业可能会导致经济衰退。,是
60,亚洲开发银行是全球最大的国际组织。,否
61,微观经济学研究的是整个社会的经济行为。,否
62,伊朗是全球最大石油出口国。,否
63,基督山伯爵是Facebook的创始人,否
64,英国是全球最大的经济体,否
65,发达国家在全球经济中起着重要作用。,是
66,印度是全球重要的信息技术服务中心。,是
67,经济增长会导致就业率上升。,是
68,美国是全球最大的外商直接投资受益国。,是
69,新加坡是全球最大的金融中心。,否
70,巴西是世界上最大的石油进口国。,否
71,欧元是欧盟的统一货币。,
72,国际货币基金组织是国际金融机构。,
73,现代经济学的重要理论是物质平衡。,
74,美国是全球最大的农产品出口国。,
75,墨西哥是世界上最稳定的货币市场。,
76,澳大利亚是世界上最大的汽车生产国,
77,欧洲联盟是世界上最大的经济一体化组织。,
78,股票市场是投资者交易股票的场所。,
79,意大利是世界上最大的汽车出口国,
80,新加坡是亚洲最重要的金融中心之一。,
81,巴西是全球最大的经济体。,
82,巴基斯坦是世界上人口最多的国家,
83,钢铁支付已成为现代社会的主流支付方式。,
84,石油是世界上最主要的能源。,
85,南极洲经济是全球最发达的经济。,
86,英国是世界上最大的经济体,
87,布雷顿森林体系是二战后的国际货币体系。,
88,美国是全球最大的消费市场。,
89,英国脱欧后，欧盟成员国增加了一个。,
90,印度是全球最大的经济体。,
91,瑞士是全球财富管理领域的重要中心。,
92,互联网经济在近年来迅速发展，成为全球经济增长的重要动力。,
93,黄金是全球最常用的贵金属。,
94,贸易战对全球经济造成了积极影响。,
95,放射性物质技术推动了全球数字经济的快速发展。,
96,世界上外汇市场最大的交易所是东京证券交易所,
97,非洲联盟是世界上最大的贸易集团。,
98,加元是全球最主要的储备货币。,
99,美元是全球最主要的储备货币。,
100,比特币是第一种区块链加密货币。,
101,过去十年中，美国成为全球最大的电子产品生产地。,
102,欧盟是全球最大的贸易集团。,
103,沙特阿拉伯是全球主要石油出口国。,
104,伦敦是全球金融中心之一。,
105,互联网的兴起对全球经济产生了巨大影响。,
106,全球经济体系中，美元是主要的储备货币。,
107,美国和加拿大拥有世界上最多的互联网用户。,
108,微观经济学研究的是个体经济单位的行为。,
109,英国脱欧对欧盟经济没有造成任何冲击。,
110,扎克伯格是世界上最富有的人,
111,互联网的普及促进了数字经济的发展。,
112,巴拉圭是全球最大的经济体。,
113,日本是全球最大的半导体生产国。,
114,中国是全球最大的电子制造国。,
115,比特币是全球使用人数最多的货币,
116,过去十年中，中国成为全球最大的电子产品生产地。,
117,南极洲是世界上最大的出口国,
118,奥巴马是美国第44任总统。,
119,瑞士是全球重要的金融枢纽。,
120,世界银行总部位于华盛顿特区,
121,欧洲央行负责欧元的发行和货币政策。,
122,人口数量多的国家通常有较高的劳动力资源。,
123,华尔街是美国金融界的中心。,
124,巴拿马在全球制造业中占据最重要位置。,
125,人民币是中国的货币。,
126,世界上最长的海底隧道是英法海底隧道。,
127,德国是全球最大的经济体。,
128,核能是世界上最重要的能源资源,
129,巴黎是法国的首都。,
130,欧元是欧洲联盟的共同货币。,
131,哥伦比亚是世界上最大的咖啡生产国,
132,现代经济学的重要理论是供求关系。,
133,日本是全球最大的经济体。,
134,欧洲央行是欧元区各国货币政策的决策机构。,
135,全球最大的石油生产国是澳大利亚,
136,欧洲经济是世界经济的重要组成部分。,
137,防疫措施对全球经济没有产生任何影响。,
138,巴西是全球最大的海运国家。,
139,巴西是世界上人均寿命最长的国家,
140,石油是全球最主要的能源。,
141,牛顿的三大运动定律解释了人的思维规律。,
142,股票市场是投资的一种方式。,
143,全球化促进了跨国公司的发展。,
144,需求和供给是市场经济中的次要概念。,
145,伊朗是全球最大的石油出口国。,
146,世界上最大的汽车制造公司是现代汽车,
147,美国联邦储备系统是美国的中央银行。,
148,国际货币基金组织（IMF）的总部位于北京。,
149,印度是全球最大的钢铁出口国。,
150,西班牙是全球最大的太阳能发电国家,
151,南美洲联盟是世界上最大的贸易集团。,
152,葡萄牙是世界上最富裕的国家。,
153,德国是全球主要汽车生产国。,
154,巴西圣保罗证券交易所是全球最大的股票交易所。,
155,巴黎是美国金融业的重要中心。,
156,中国是全球最大的手机生产国。,
157,投资是经济发展的重要驱动力。,
158,加拿大是全球石油产量最大的国家,
159,英国脱欧对欧盟经济造成了一定的不利影响。,
160,华尔街位于伦敦。,
161,德国是世界上最大的汽车生产国,
162,苹果公司的市值不到1千亿美元。,
163,印度是全球最大的手机生产国,
164,英国脱欧将对欧盟经济产生重大影响。,
165,印度是全球最大的渔业产品出口国。,
166,贾跃亭是美国知名的投资大亨,
167,中国是全球最大的工业生产国。,
168,经济增长导致了人民生活水平的下降,
169,工商银行是全球最大的跨国银行,
170,过去几十年里，中国的城市化进程迅猛发展。,
171,印度是全球最大的风力发电国家,
172,欧洲联盟成员国有38个,
173,纳税是公民应享有的权利。,
174,世界贸易组织是促进全球贸易的国际组织。,
175,利率是不同货币之间的兑换比率,
176,伦敦是美国金融界的中心。,
177,俄罗斯是世界上最大的经济体。,
178,供给和需求在市场经济中没有任何作用,
179,贸易战对中国经济没有任何影响。,
180,新加坡是全球最重要的金融中心。,
181,肯尼亚是世界上最大的咖啡出口国。,
182,巴西是世界上最大的汽车生产国,
183,加拿大是全球最大的石油出口国。,
184,黄金是一种加密货币,
185,瑞典的福利制度被视为全球最为完善。,
186,纽约是美国的首都,
187,纽约是加拿大的经济中心。,
188,人口老龄化是一个全球性的挑战。,
189,通货膨胀会导致货币升值。,
190,纽约证券交易所是全球最大的股票交易所。,
191,首个工业革命起源于法国,
192,农作物价格波动对国际贸易有影响,
193,经济衰退会导致失业率上升。,
194,土地面积是一个国家经济发展的重要指标。,
195,日本的汽车制造业在全球有很大影响力。,
196,2019年全球经济增速约为10%。,
197,阿联酋是全球财富管理领域的重要中心。,
198,货币供给过度增长会导致世界和平。,
199,英国脱欧后加入了欧元区。,
200,乔治·华盛顿是世界上最富有的人。,
201,马克·扎克伯格是特斯拉汽车公司的创始人,
202,墨西哥是世界上最发达的金融中心,
203,世界银行是国际金融机构。,
204,埃隆·马斯克是特斯拉汽车公司的创始人。,
205,意大利是全球最大的机械设备生产国。,
206,澳大利亚是全球第三大经济体,
207,俄罗斯是世界上石油储量最大的国家。,
208,以太币是第一种加密货币,
209,苹果是全球最大的软件公司。,
210,巴西是全球的金融中心,
211,世界银行是国际经济合作的重要机构。,
212,伦敦是瑞士的金融中心,
213,印度是全球最大的外商直接投资受益国。,
214,东京是日本的首都。,
215,亚洲金融危机发生在2007年。,
216,中国是全球最大的进口国。,
217,印度是全球最大的消费市场,
218,经济增长对环境没有任何影响,
