id,question,A,B,C,D,answer
0,11周岁的张某未事先征得法定代理人的同意，将其价值3000元的学习机赠送给同学李某。该赠与的效力为（）。,可撤销,有效,无效,效力待定,D
1,2×18年1月1日，甲公司以银行存款240万元购入一项专利技术并立即投入使用，预计使用年限为5年、预计净残值为0，采用直线法摊销。2×19年1月1日，甲公司和乙公司签订协议，甲公司将于2×21年1日1日以100万元的价格向乙公司转让该专利技术，甲公司对该专利技术仍采用直线法摊销。不考虑其他因素，甲公司2×19年应对该专利技术摊销的金额为()万元。,96,48,46,50,C
2,2015年12月31日，甲公司发现应自2014年12月开始计提折旧的一项固定资产从2015年1月才开始计提折旧，导致2014年度管理费用少记200万元，被认定为重大差错，税务部门允许调整2015年度的应交所得税。甲公司适用的企业所得税税率为25%，无其他纳税调整事项，甲公司利润表中的2014年度净利润为500万元，并按10%提取了法定盈余公积，不考虑其它因素，甲公司更正该差错时应将2015年12月31日资产负债表未分配利润项目年初余额调减（）万元。,15,50,135,150,C
3,2015年末甲公司每股账面价值为30元，负债总额6000万元，每股收益为4元，每股发放现金股利1元。留存收益增加1200万元，假设甲公司一直无对外发行的优先股，则甲公司2015年年末的权益乘数是（）。,1.1499999999999999,1.5,1.65,1.85,B
4,2016年12月1日，甲公司与乙公司签订一项不可撤销的产品销售合同，合同规定：甲公司于3个月后提交乙公司一批产品，合同价格（不含增值税税额）为1000万元，如甲公司违约，将支付违约金200万元。至2016年年末，甲公司为生产该产品已发生成本40万元，因原材料价格上涨，甲公司预计生产该产品的总成本为1160万元。不考虑其他因素，2016年12月31日，甲公司因该合同确认预计负债的金额为（）万元。,40,120,160,200,B
5,2016年1月1日，甲公司从本集团内另一企业处购入乙公司80%有表决权的股份，构成同一控制下企业合并，2016年度，乙公司实现净利润800万元，分派现金股利250万元。2016年12月31日，甲公司个别资产负债表中所有者权益总额为9000万元。不考虑其他因素，甲公司2016年12月31日合并资产负债表中归属于母公司所有者权益的金额为（）万元。,9550,9440,9640,10050,B
6,2017年12月31日，下列各项目金额正确的是（）。 Ⅰ、股本为1500万元;Ⅱ、盈余公积为120万元;Ⅲ、未分配利润为130万元;Ⅳ、所有者权益总额为2000万元。,Ⅱ、Ⅲ、Ⅳ,Ⅰ、Ⅱ、Ⅳ,Ⅰ、Ⅱ、Ⅲ、Ⅳ,Ⅰ、Ⅲ、Ⅳ,A
7,2017年5月10日，甲公司将其持有的一项以权益法核算的长期股权投资全部出售，取得价款1200万元，当日办妥相关手续。出售时，该项长期股权投资的账面价值为1100万元，其中投资成本为700万元，损益调整为300万元，可重分类进损益的其他综合收益为100万元，不考虑增值税等相关税费及其他因素。甲公司处置该项股权投资应确认的投资收益为（）万元。,100,500,200,400,C
8,2017年末，某事业单位完成财政拨款收支结转后，对财政拨款各明细项目进行综合分析，根据有关规定将一项目结余资金80万元转入财政拨款结余。不考虑其他因素，该事业单位应编制的会计分录是（）。,借：财政拨款结余800000贷：财政拨款结转800000,借：财政拨款结余800000贷：累计盈余800000,借：财政拨款结转800000贷：财政拨款结余800000,借：累计盈余800000贷：财政拨款结余800000,C
9,"20x9年1月1日。甲公司与乙公司签订租赁合同，将其一栋物业租赁给乙公司作为商场使用。租赁合同约定，物业的租金为每月50万元，于每季度末支付，租赁期为5年，自合同签订日开始算起,租赁期前3个月为免租期，乙公司免予支付租金;如果乙公司每年的营业收入超过10亿元，乙公司应向甲公司支付经营分享收入100万元。乙公司20x9年底实现营业收入12万元。甲公司认定上述租赁为经营租赁。不考虑增值税及其他因素，上述交易对甲公司20x9年营业利润的影响金额是（  ）。",600万元,570万元,700万元,670万元,B
10,A公司为一般纳税人，在2018年8月8日从B公司购入一批原材料并已验收入库。增值税专用发票上注明该批原材料的价款为150万元，增值税税额为19.5万元。合同中规定的现金折扣条件为2/10，1/20，N/30，假定计算现金折扣时不考虑增值税。A公司在2018年8月17日付清货款。则应付账款的入账价值为（）万元。,169,150,147,166,A
11,F公司生产单一产品，实行标准成本管理。每件产品的标准工时为5小时，固定制造费用的标准成本为10元，企业生产能力为每月生产产品400件。9月份公司实际生产产品500件，发生固定制造费用2250元，实际工时为3000小时。根据上述数据计算，9月份公司固定制造费用效率差异为（）元。,1000,1500,2000,3000,A
12,W航空公司以“家庭式愉快，节俭而投入”的企业文化为基础，构建起在U国航空业的竞争优势，竞争对手对其难以模仿。W航空公司的竞争优势来源于（）。,物理上独特的资源,具有路径依赖性的资源,具有因果模糊性的资源,具有经济制约性的资源,C
