id,question,A,B,C,D,answer
0,"2012年8月1日甲公司对外提供一项为期8个月的安装劳务,合同总收入580万元。2012年共发生劳务成本230万元,但无法可靠地估计该项劳务交易结果。若预计已发生的劳务成本全部不能得到补偿,则甲公司2012年度因该项业务应确认的收入为:()",580万元,0万元,230万元,350万元,B
1,"2015年1月1日,某企业为改造生产线从银行取得100万元专门借款,年利率为9%,改造工作从年初开始并支付改造支出60万元,8月1日本工程因水灾停止,9月1日恢复工作,闲置资金40万元用于短期投资,本年获得投资收益0.5万元,该企业2015年应予以资本化的借款费用金额是:()",5.4万元,7.75万元,8.5万元,9万元,C
2,按照预算期的时间特征不同，经营预算的编制方法可分为（）。,固定预算和弹性预算,固定预算和滚动预算,定期预算和滚动预算,定期预算和零基预算,C
3,把技术进步看作是生产要素之一的国际贸易理论是（）。,新贸易理论,绝对优势学说,相对优势学说,比较成本理论,A
4,被审计单位记录了虚假的销售收入100万元，审计人员认为其影响的财务报表认定是()。,完整性,存在或发生,计价与分摊,截止期正确性,B
5,被审计单位做出了不恰当会计估计，但所涉及金额远远低于重要性水平。在不考虑其他因素的情况下，注册会计师应出具的审计报告类型是(),保留意见的审计报告,否定意见的审计报告,无保留意见的审计报告,带强调事项段的无保留意见的审计报告,C
6,"财务审计项目的一般审计目标中,真实性指的是",记录的各类业务符合法律法规的规定,记录或列报的金额是实际存在或发生的,记录或列报的金额在总体上的正确性程度,记录或列报的金额确属本单位所有或所欠,B
7,"采购申请的提出与批准相互独立,该项控制程序是为了防止:()",采购的物资被偷盗,购入不必要的物资,采购的物资存在质量问题,将款项支付给错误的供应商,B
8,采购与付款环节的下列单据中，可能不需要连续编号的是()。,请购单,订购单,验收单,入库单,A
9,采用ABC法管理存货时，需要重点管理的存货是（）。,数量较多的,品种较多的,占用资金较多的,库存时间较长的,C
10,从证据来源看，下列审计证据中最可靠的是()。,从税务机关直接获取的纳税证明,被审计单位提供的银行贷款合同副本,被审计单位提供的对未决诉讼预期判决结果的分析,审计人员利用客户提供的数据亲自计算的账务比率,A
11,当信用条件为“2/40，n/60”时，一年按360天计算，企业放弃现金折扣的资本成本率是（）。,0.02,0.05,0.2837,0.3673,D
12,对土地和地上建筑物所征收的税是:(),流转税,所得税,资源税,财产税,D
13,法律的渊源是指用以表现法律的各种形式，审计署发布的《中华人民共和国国家审计准则》是（）。,规章,法律,行政法规,地方性法规,A
14,非同一控制下的控股合并中，母公司长期股权投资成本大于购买时享有子公司可辨认净资产公允价值份额的差额，在编制合并财务报表时应计入的项目是（）。,商誉,资本公积,营业外收入,其他综合收益,A
15,"根据《票据法》的规定,下列各项中,出票人必须在汇票上记载的事项是:()",付款日期,出票日期,付款地,出票地,B
16,根据《预算法》的规定，各级一般公共预算按照国务院的规定设置的，用于本级政府调剂预算年度内季节性收支差额的资金是（）。,预备费,结余资金,预算周转金,预算稳定性调节资金,C
17,"根据《证券法》的规定,证券的代销、包销期限最长不得超过:（）",30日,45日,60日,90日,D
18,根据国家审计准则的制定，下列各项中不属于审计组成员工作职责的是（）。,保持审计的独立性,按照分工完成审计业务,如实记录实施的审计工作,对审计报告提出审计意见,D
19,根据企业发展周期的阶段性特点，衰退期应采取的财务战略是（）。,吸纳推广型财务战略,积极扩张型财务战略,稳健发展型财务战略,收缩防御型财务战略,D
20,股份有限公司发放股票股利，产生的影响是()。,增加了公司现金支出,改变了股东的持股结构,减少了公司的股东权益总额,增加了公司股份的数量,D
21,衡量一定时期一切商品和劳务价格变化的指标是:(),批发物价指数,消费物价指数,工业品出厂价格指数,国民生产总值折算指数,D
22,"甲企业2013年9月20日购入不需安装的生产线,并于当日交付使用,价款2210万元,增值税税款340万元,款项均已支付。该设备估计可使用5年,估计净残值10万元,该企业采用双倍余额递减法计提固定资产折旧。该项固定资产2014年度应计提的折旧金额为:()",880万元,532万元,795.6万元,712万元,C
23,"假定政府发行一种没有到期日、不需要还本且按年支付固定利息的公债,则该债券利息属于:（）",先付年金,后付年金,延期年金,永久年金,D
24,紧缩性的财政政策是指通过财政分配活动来:(),增加和刺激社会总需求,减少或抑制总需求,增加和刺激社会总供给,减少或抑制总供给,B
25,"可以维持股利的稳定性,又有利于企业的资本结构达到目标资本结构的股利政策是:()",剩余股利政策,固定股利政策,固定股利支付率股利政策,低正常股利加额外股利政策,D
26,"某递延年金，两年前不付款，第3年末和第4年末分别付款12100元，假定年利率为10%，则该年金的现值是（）。(P/A,10%,4)=3.170,(P/A,10%,2)=1.736",16529元,17351元,20000元,21000元,B
27,"某股份公司与银行签订的贷款协议中规定了每股股利的最高限额,这一条款所反映的股利政策影响因素是:（）",法律因素,股东因素,债务契约因素,公司自身因素,C
28,"某股票目前的市场价格为40元,上一年度每股现金股利4元,预计年增长速度为5%,则投资该股票的预计投资收益率是:()",0.1,0.105,0.15,0.155,D
29,某企业2011年应收账款平均余额为800万元，变动成本率为60%，资金成本率为8%，估计坏账率为2%，则该企业当年应收账款的机会成本是（）。,9.6万元,25.6万元,38.4万元,64万元,C
30,某企业2015年3月20日购置一台不需要安装的设备，该设备的入账价值为10万元，预计净残值为0.4万元，预计使用年限为5年，采用双倍余额递减法计提折旧，该企业2015年应计提的折旧金额是（）。,2.88万元,3万元,3.84万元,4万元,B
31,"某企业产权比率为3,则该企业的资产负债率为:()",0.25,0.5,0.75,0.8,C
32,某企业从二级市场购入面值总额为500万元，票面利率为3%的公司债券，将其划分为交易性金融资产，支付的价款为525万元（其中包含已到付息期但尚未领取的利息15万元），另支付交易费用10万元，该交易性金融资产的初始入账金额是（）。,510万元,520万元,525万元,535万元,A
33,"某企业的变动成本率为60%,资本成本为10%,年度赊销收入为1000万元,平均收账期为30天,一年按360天计算,则该企业应收账款的机会成本是:()",5万元,7万元,12万元,17万元,A
34,"某企业的资产报酬率为15%,权益乘数为2,则该企业的股东权益报酬率为:（）",0.1,0.18,0.2,0.3,D
35,"某企业借入人民币,折换成欧元进口设备,但到还债时人民币汇率上浮,欧元汇率下浮,则需要以更多的欧元折换成人民币才能够清偿债务,则这一外汇风险属于:()",进出口贸易风险,外汇储备风险,外债风险,资本风险,C
36,"某企业一投资方案的期望报酬率为12%,标准离差为2.15%,同类项目的风险报酬系数为20%,无风险报酬率为8%并一直保持不变。则该投资项目的投资报酬率为:()",0.1158,0.1023,0.1325,0.1263,A
37,"某企业欲购买一种债券,其面值是1000元,5年后到期,每年年末计算利息,债券的票面利率是3%,利息和本金在债券到期日一次归还,债券的市场利息是4%,则该企业对债券的估值是:(PVIF4%,5=0.821,PVIFA4%,5=4.579):()",944.15元,5265.85元,958.37元,1067.3元,A
38,"某企业欲购买一种债券,其面值为100元,期限为2年,票面利率为9%,单利计息,本金和利息在债券到期日一次归还,目前的市场利率为10%,则该债券的估值是:()",82.64元,97.52元,100元,118元,B
39,"某企业租用一台设备,按照租赁合同约定,前2年无须支付,后5年每年年末支付500万元,假设年利率为10%,相当于现在一次支付了(PVIFA10%,5=3.791,PVIFA10%,2=1.736,PVIF10%,2=0.826,PVIF10%,3=0.751)",1994.6万元,1565.7万元,1423.5万元,1813.5万元,B
40,企业“应付账款”科目所属明细科目期末借方余额，应计入的资产负债表项目是（）。,预收账款,预付账款,应付账款,应收账款,B
41,企业出售以公允价值计量且变动计入当期损益金融资产，结转原已确认的公允价值变动收益时，应借记的会计科目是（）。,交易性金融资产——公允价值变动,公允价值变动损益,投资收益,交易性金融资产——成本,B
42,企业以折价方式发行债券时，每期实际负担的利息费用金额是（）。,按票面利率计算的利息减去应摊销的折价,按票面利率计算的利息加上应摊销的折价,按实际利率计算的利息减去应摊销的折价,按实际利率计算的利息加上应摊销的折价,B
43,"审计机关在对某国有商业银行进行审计时,下列适用的审计标准中层次性最高的是:",中华人民共和国商业银行法,中国人民银行制定的规范,中华人民共和国商业银行管理条例,各商业银行制定的规范,A
44,"审计人员采用函证程序审查应收账款时,不能发现的舞弊是:()",收回货款不入账,应收账款提前入账,隐匿应收账款户名,虚构应收账款户名,C
45,审计人员对库存现金进行监盘取得的证据属于:,试听证据,鉴定证据,实物证据,环境证据,C
46,审计人员发现被审计单位将下列资产负债表日后事项作为调整事项，恰当的是()。,财务报表日后发生重大诉讼,财务报表日后资本公积转增资本,财务报表日后税收政策发生重大变化,财务报表日后发现上年财务报表重大差错,D
47,审计人员发现一笔210万元的应付账龄2年，经审阅原始单据，询问被审计单位有关人员，均未能有效证实其真实性，审计人员应进一步采取的措施是（）。,函证债权人,核对总账和明细账,作出账实不符结论,要求在报表附注中予以说明,A
48,审计人员函证应收账款的下列做法中，恰当的是()。,要求被询证的单位将回函寄至被审计单位,将重要的询证函复制给被审计单位催收回函,由被审计单位派人前往未回函单位进行调查,函证回函认可函证金额的，将函证回函作为审计证据。,D
49,"审计人员检查材料成本差异的计算与结转,是为了查明",材料是否归被审计单位所有,生产领用的材料是否全部入账,发出材料的计价是否正确,生产成本的构成要素是否完整,C
50,审计人员确定某个企业是否应纳入被审计单位合并财务报表合并范围的标准是:,该企业的资产规模,该企业的盈利能力,该企业与被审计单位关联交易的数量,被审计单位对该企业是否拥有控制权,D
51,审计人员实地检查有形资产可以确定（）。,有形资产的所有权,有型资产是否真实存在,有形资产计价的重要性,有形资产计提折旧方法的合理性,B
52,审计通知书的时间要求是:(),实施审计3日前,实施审计5日前,实施审计7日前,实施审计10日前,A
53,为证实合并财务报表合并范围的正确性，审计人员应当采取的审计程序是(),了解重大投资活动的决策过程,确认合并财务报表的编制方法是否合规,审查有无遗漏、隐瞒的经济业务和会计事项,分析判断被审计单位作为投资方能否控制被投资方,D
54,下列表述中，不属于中国注册会计师职业道德基本原则的是(),获取和保持专业胜任能力，保持应有的关注、勤勉尽责,严格依法,维护职业声誉，树立良好的职业形象,履行保密义务,B
55,下列各项审计证据中，属于实物证据的是（）。,计算机中储存的资料,与当事人谈话的录音带,被审计单位的库存现金,经济业务发生时现场的录像带,C
