id,question,A,B,C,D,E,answer
0,1980年调查某校10岁女生，得身高标准差为6.10cm，胸围标准差为3.40cm，比较身高和胸围的变异程度，以下哪项是正确的？（　　）,身高比胸围变异大,两者变异都不太大,两者变异都较大,据此资料尚不能作出结论,胸围比身高变异大,C
1,1岁时小儿的头围约是（）,36cm,40cm,46cm,50cm,56cm,C
2,21世纪人人享有卫生保健的总体目标不包括（）,增加期望寿命,提高生活质量,在国家内部和国家之间改善健康的公平程度,卫生系统可持续发展，保证人民利用这一系统所提供的服务,健康促进,E
3,23岁，农民，因发热、头痛、全身酸痛、软弱无力1周，于9月4日入院。当天起出现心慌、气促、体温39.6℃体检：面色苍白，腓肠肌压痛，心率124/min，呼吸36/min。肺部散在湿性啰音。血象：血白细胞计数9.0×109/L，中性粒细胞0.76，淋巴细胞0.24，X线片示：两肺纹理增多，有散在性点状阴影。本病例诊断最可能是（　　）。,粟粒性肺结核,支气管肺炎,流行性出血热,钩端螺旋体病,急性血吸虫病,D
4,26岁，初孕妇。现妊娠40周，近半月头痛、眼花、视物模糊，今晨出现剧烈头痛并呕吐2次来院就诊。测血压180／110mmHg。听胎心发现胎心176次／分，此时恰当的处置应是（）。,静脉滴注硫酸镁,静脉快速滴注甘露醇,对症处理,立即行剖宫产术,立即行催产素静脉滴注引产,B
5,26岁初孕妇，现妊娠40周，近半月头痛、眼花，今晨出现剧烈头痛并呕吐2次来院就诊。\r听胎心发现胎心176次/分，此时恰当处置应是（）,静脉滴注硫酸镁,静脉快速滴注甘露醇,对症处理,立即行剖宫产术,立即行缩宫素静脉滴注引产,D
6,28岁女性，跳舞时突感剧烈头痛、呕吐，检查脑膜刺激征阳性，无肢体瘫痪。应首先作何种辅助检查来确定诊断（）。,脑电图,经颅多普勒超声,数字减影血管造影,腰椎穿刺,头颅CT,D
7,2岁患儿，结核菌素1:2000硬结直径9mm，无临床症状，既往未接种卡介苗，下述哪一项处理正确？（　　）,定期摄胸部X线片,定期复查结核菌素试验,应用异烟肼治疗3～5个月,应用异烟肼治疗6～12个月,应用异烟肼+利福平治疗6个月,D
8,35岁，孕3产0，孕32周，阴道少量出血3天，无腹痛。曾自然流产、过期流产各一次。入院检查，枕左前位，胎头浮、胎心好，耻骨联合上方可闻及胎盘杂音。\r最恰当的处理是（）,确诊后即行人工破膜,人工破膜及静脉滴注缩宫素,期待疗法,尽快剖宫产术,卧床休息、吸氧,C
9,38岁男患，因突然发冷发热、咳嗽、咳铁锈色痰入院，胸部X线拍片显示肺内炎性浸润，胸部检查可闻及的体征是（）,大水泡音,中水泡音,捻发音,支气管呼吸音,支气管肺泡呼吸音,D
