id,question,A,B,C,D,E,answer
0,《中国药典》2010年版(一部)规定，穿心莲药材中叶不得少于,10﹪,15﹪,20﹪,25﹪,30﹪,E
1,阿托品在眼病中的应用不包括（　　）。,用于治疗虹膜睫状体炎,解除睫状肌痉挛,用于治疗青光眼,降低眼内血管壁的通透性,防治虹膜与晶状体粘连,C
2,艾滋病的全称为（ ）,获得性免疫缺陷传染病,获得性缺陷免疫综合征,免疫缺陷获得性综合征,免疫获得性缺陷综合征,获得性免疫缺陷综合征,E
3,白细胞计数增多常见于（　　）。,流行性感冒,风疹,疟疾,伤寒,扁桃体炎,E
4,半数致死量（ ）。,LD50,ED50,LD50/ED50,LD1/ED99,LD5/ED95,A
5,背鳞偶数行，脊部高耸成屋脊状，俗称“剑脊”的药材是,金钱白花蛇,蕲蛇,乌梢蛇,王锦蛇,滑鼠蛇,C
6,苯妥英钠可能导致的多种不良反应中，不包括(),共济失调,低血糖,视物模糊,牙龈增生,镇静作用,B
7,便秘患者长期使用可引起结肠黑变病的药物是(),硫酸镁,聚乙二醇4000,乳果糖,番泻叶,比沙可啶,D
8,不会引起嗜酸性粒细胞计数升高的疾病是（　　）。,荨麻疹,药物性皮疹,支气管哮喘,严重烧伤,湿疹,D
9,不属于七素的是（　　）。,骨,血,肉,脂,汗,E
10,不宜同用其他有相似作用机制的维A酸类药物或使用“蜡质”脱毛方法的是（　　）,过氧苯甲酰,红霉素,夫地西酸,维A酸,阿达帕林,E
11,布洛芬属于哪类药物？（　　）,水杨酸类,乙酰苯胺类,芳基乙酸类,芳基丙酸类,选择性COX-2抑制剂,D
12,处方中可以作为抗氧剂的物质是（　　）。,维生素C,依地酸二钠,碳酸氢钠,亚硫酸氢钠,注射用水,D
13,处方中脂质体骨架材料为（　　）。,胆固醇和柠檬酸,蔗糖和甘氨酸,二硬脂酰磷脂酰胆碱和蔗糖,柔红霉素和二硬脂酰磷脂酰胆碱,二硬脂酰磷脂酰胆碱和胆固醇,E
14,雌激素可用于（）,妊娠妇女,哺乳期妇女,子宫内膜癌患者,乳腺癌患者,功能性子宫出血,E
15,痤疮患者面部粟疹累累，色红，疼痛，或有脓疱，伴口干渴、大便秘结，舌质红，苔薄黄，脉弦滑。证属（ ）,肺经风热,胃肠湿热,痰湿瘀滞,热毒内盛,肺气不足,A
16,单剂量调配的优点不包括（　　）。,便于患者服用,防止服错药,提高药品稳定性,降低成本,提高患者依从性,D
17,导致高致吐性的药物有（　　）。,卡铂,伊立替康,紫杉醇,多柔比星,吉西他滨,D
18,癫痫持续状态首选的治疗方案是(),口服丙戊酸钠200mg,静脉注射地西泮10mg,静脉注射丙戊酸钠200mg,口服地西泮10mg,肌内注射地西泮10mg,B
19,短效口服避孕药的主要组成成分是（ ）。,孕激素+雄激素,雌激素,孕激素,雌激素+雄激素,雌激素+孕激素,E
20,对一般祛痰药无效者，可选用（　　）。,可待因,溴己新,氨溴索,乙酰半胱氨酸,沙丁胺醇,D
21,多柔比星与阿糖胞苷同用可()。,增加心脏毒性,增加肝毒性,导致坏死性结肠炎,易产生沉淀,具有良好的协同作用,C
22,蒽环类抗肿瘤药物的特异性毒性是,恶心、呕吐,骨髓抑制,腹泻,胃炎,心脏毒性,E
23,发生肝素过量时，应选用下述哪种药物进行拮抗？（　　）,鱼精蛋白,维生素K1,维生素C,低分子肝素,阿替普酶,A
24,防止夜盲症维生素是:,维生素B2,维生素B5,维生素E,烟酸,维生素A,E
25,非无菌药物被某些微生物污染后可能导致其活性降低，所以多数非无菌制剂需进行微生物限度检查，常用于药品微生物限度检查的方法是:,平皿法,铈量法,碘量法,色谱法,比色法,A
26,服药期间应监测血生化指标，其中超过正常值上限10倍，应立即停药的指标是,Hcy,Cr,CK,BUN,TBiL,C
27,服用后使尿色变黄的抗帕金森药物是（　　）。,苯海索,司来吉兰,复方左旋多巴,恩他卡朋,金刚烷胺,D
