id,question,A,B,C,D,answer
0,金融衍生工具的价值与基础产品或基础变量紧密联系、规则变动，这体现出衍生工具的（）特征。,跨期性,杠杆性,联动性,不确定性,C
1,客户的交易结算资金、证券资产管理客户的委托资产属于客户，与证券公司、指定商业银行、资产托管机构的自有资产(),混合管理,相互独立、分别管理,适当独立,共同管理,B
2,某公司可转换债券的转换比例为50，当前该可转换债券的市场价格为1000元，那么，()。,该可转换债券当前的转换平价为50元,当该公司普通股股票市场价格超过20元时，行使转换权对该可转换债券持有人有利,当该公司普通股股票市场价格低于20元时，行使转换权对该可转换债券持有人有利,当该公司普通股股票市场价格为30元时，该可转换债券的转换价值为2500元.,B
3,某公司某会计年度的财务数据如下:公司年初总资产为20000万元，流动资产为7500万元；年末总资产为22500万元，流动资产为8500万元；该年度营业成本为16000万元；营业毛利率为20％，总资产收益率为50％。根据上述数据，该公司的流动资产周转率为（）次。,1.88,2.4,2.5,2.8,C
4,某人在未来三年中，每年将从企业获得一次性劳务报酬50000元，企业支付报酬的时间既可在每年年初，也可在每年年末，若年利率为10％，由于企业支付报酬时间的不同，则三年收入的现值差为（）。,12434.26元,14683.49元,8677.69元,4545.45元,A
5,如果X是服从正态分布的随机变量，则exp(x)服从()。,正态分布,X2分布,t分布,对数正态分布,D
6,柜台人工交割过程中，若委托单与成交单不符，则核对委托柜台保存的（）。,委托单,成交单,交割单,预留凭证,A
7,国内生产总值的增长速度一般用（）来衡量。,经济增长率,通货膨胀率,工业增加率,经济发展水平,A
8,核准制的核心是监管部门进行()审核。,合规性,合理性,合法性,正确性,A
9,1914年北洋政府颁布的()推动了证券交易所的建立。,《证券发行与承销管理办法》,《证券交易所法》,《证券法》,《证券投资基金法》,B
10,1918年夏天成立的()是中国人自己创办的第一家证券交易所。,上海证券交易所,北平证券交易所,青岛市物品证券交易所,天津市企业交易所,B
11,K线理论起源于()。,美国,日本,印度,英国,B
12,()被称为“逐日盯市制度”。,集中交易制度,限仓制度,结算所实行无负债的每日结算制度,保证金制度,C
13,()方式是通过投标人的直接竞价来确定发行价格(或利率)水平。,行政分配,承购包销,公开招标,银行发售,C
14,()是指按照约定的名义本金，交易双方在约定的未来日期交换支付浮动利率和固定利率的远期协议。,远期利率协议,远期汇率协议,远期合约,远期交易,A
15,()是指证券公司信息技术系统(包括电脑设备、供电、通讯设施等)发生技术故障，导致行情中断、交易停滞、银证转账不畅，或在容量、运作等方面不能保障交易业务正常、有序、高效、顺利地进行，从而可能给客户造成损失，证券公司因承担赔偿责任而带来经济或声誉损失的风险。,管理风险,技术风险,合规风险,操作风险,B
16,诚信信息有纸质证明文件的，证明文件以()形式保存。,电子文档,纸质文档,电子文档和纸质文档,以上均不正确,C
17,当可疑交易明显涉嫌洗钱、恐怖融资等犯罪活动的，证券公司应当在向中国反洗钱检测分析中心提交可疑交易报告的同时，以电子形式或书面形式向（）或者其分支机构报告，并配合反洗钱调查。,所在地中国证监会,所在地中国人民银行,注册地中国证监会,中国反洗钱监测分析中心,B
18,电话自动委托是指证券经纪商把普通电话网络与()连接起来，构成一个电话自动委托交易系统。,自助终端系统,客户端委托系统,页面客户端系统,电脑交易系统,D
19,对变更业务范围、公司形式、公司章程中的重要条款或者要求审查高级管理人员任职资格的申请，国务院证券监督管理机构自受理之日起()内作出批准或者不予批准的书面决定。,30个工作日,45个工作日,3个月,6个月,B
20,投资者在证券交易所买卖证券，是通过委托()来进行的。,上海证券交易所或深圳证券交易所,中国证券业协会,中国金融结算公司上海分公司或深圳分公司,证券经纪商,D
21,我国台湾证券交易所目前发布的股价指数中，最有代表性的是（）。,发行量加权股价指数,金融股发行量加权股价指数,电子股发行量加权股价指数,产业分类股价指数,A
22,"我国证券交易所章程的制定和修改,必须经()批准。",地方人民政府,全国人大,国务院,国务院证券监督管理机构,D
23,我国证券市场监管部门的主要手段是()。,自律手段,经济手段,行政手段,法律手段,D
24,下列不可以成为基金销售机构的是（）。,商业银行,证券公司,证券投资咨询机构,中国证券业协会,D
25,下列不属于《中华人民共和国证券法》规定的对发行人应当聘请具有保荐资格的机构担任保荐人的情形的是（）。,申请公开发行股票，依法采取承销方式的,申请公开发行可转换为股票的公司债券，依法采取承销方式的,申请公开发行法律、行政法规规定实行保荐制度的其他证券的,申请公开发行公司债券，依法采取承销方式的,D
26,下列不属于国际债券的主要投资者的是((),自然人,各国政府,银行或其他金融机构,工商财团,B
27,下列不属于基金份额持有人义务的是()。,保管基金资产,遵守基金契约,缴纳基金认购款项及规定费用,承担基金亏损或终止的有限责任,A
28,下列不属于金融机构类投资者的是()。,商业银行,金融租赁公司,中国证券金融股份有限公司,证券公司,C
29,下列不属于切线类的是()。,黄金分割线,趋势线,平滑异同移动平均线,角度线,C
30,下列不属于声誉风险管理的原则的是（）。,专员负责,预防第一,快速响应,全程全员,A
31,下列不属于证券公司代销金融产品应当遵循的原则是（）。,公开,公平,平等,诚实信用,A
32,下列不属于证券经纪业务特点的是（）。,证券经纪商的中介性,业务对象的广泛性,客户资料的保密性,证券数据的透明性,D
33,下列不属于证券自营业务特点的是（）。,风险性,收益性,保密性,被动性,D
34,下列从业人员中，执业行为错误的是（）。,应保守所在机构的商业秘密,离开所在机构后，保密义务结束,应保守客户的个人隐私,应保守客户的商业秘密,B
35,下列对股票定义的描述中，不正确的是()。,股票是一种有价证券,股票是股份有限公司签发的证明股东所持股份的凭证,股票实质上代表了股东对股份公司的所有权,股票发行人定期支付利息并到期偿付本金,D
36,下列关于储蓄国债(电子式)特点的说法中，错误的是()。,针对个人投资者，不向机构投资者发行,采用实名制，不可流通转让,收益安全稳定，由人民银行负责还本付息，免缴利息税,采用电子方式记录债权,C
37,下列关于从业人员持有股份的规定中，错误的是（）。,从业人员不得开立股票账户,从业人员不得收受他人赠予的股份,从业人员不得利用家人账户进行股票操作,从业人员可以和公司订立优先股认股权,D
38,下列关于道氏理论的说法中，错误的是()。,市场价格指数可以解释和反映市场的大部分行为,道氏理论认为开盘价是最重要的价格,道氏理论认为价格的波动尽管表现形式不同，但是，我们最终可以将它们分为三种趋势,任何因素对证券市场的影响最终都必然体现在股票价格的变动上,B
39,下列关于关联交易的说法正确的是()。,证券公司将其管理的客户资产投资于本公司及与本公司有关联方关系的公司发行的证券或承销期内承销的证券，或者从事其他重大关联交易的，应当遵循审慎监管原则，事先取得客户的同意,因证券市场波动、证券发行人合并、资产管理计划规模变动等证券公司之外的因素致使资产管理计划投资不符合资产管理合同约定的投资比例的，证券公司可以不在合同中进行责任说明,证券公司将定向资产管理业务的客户资产投资于上市公司的股票，发生客户应当履行公告、报告、要约收购等法律、行政法规和中国证监会规定义务的情形时，证券公司应当立即通知有关客户，并督促其履行相应义务，客户不履行义务的，证券公司可以代其履行,证券公司代表客户行使集合资产管理计划所拥有证券的权利，履行相应的义务,D
40,下列关于货币乘数的说法，错误的是（  ）。,货币乘数是基础货币和货币供给之间的倍数关系,当中央银行提高法定存款准备金率时，货币乘数变小,货币乘数的大小取决于所用的货币定义,准备金的变动对货币量有一种乘数效应,C
41,下列关于凭证式国债的说法中，错误的是（）。,采取“随买随卖”的方式进行交易,采取向购买人开具凭证式国债收款凭证的方式进行发售,利率按实际持有天数分档计付,凭证式国债是一种可上市流通的储蓄型债券,D
42,下列关于欺诈发行股票、债券罪法律责任的说法中，错误的是()。,《中华人民共和国证券法》规定，应当承担民事赔偿责任和缴纳罚款、罚金，其财产不足以同时支付时，先承担民事赔偿责任,《中华人民共和国证券法》规定，对证券发行、交易违法行为没收的违法所得和罚款，全部上缴国库,《中华人民共和国证券法》规定，对证券发行、交易违法行为没收的违法所得和罚款，不需要全部上缴国库,《中华人民共和国证券法》规定，未经法定的机关核准或者审批，擅自发行证券的，或者制作虚假的发行文件发行证券的，责令停止发行，退还所募资金和加算银行同期存款利息,C
43,下列关于申请证券、期货投资咨询从业资格的机构应当具备的条件的说法中，错误的是()。,有500万元人民币以上的注册资本,有固定的业务场所和与业务相适应的通讯及其他信息传递设施,有健全的内部管理制度,具备中国证监会要求的其他条件,A
44,下列关于有限合伙企业合伙人的说法正确的是()。,合伙人人数有限制，特殊情况下例外,可以不设普通合伙人,不能设置多个普通合伙人,合伙人人数没有限制,A
45,下列关于债券贴现率的确定的说法，不正确的是（）。,债券的贴现率也被称为必要回报率,真实无风险收益率理论上由社会资本平均回报率决定,价格风险和流动性风险之和称为名义无风险收益率,无风险收益率一般用相同期限零息国债的到期收益率来近似表示,C
46,下列关于证券公司从事客户资产管理业务应当符合的条件的说法中，错误的是()。,经中国证监会核定为综合类证券公司,具有良好的法人治理结构、完备的内部控制和风险管理制度，并得到有效执行,净资本不低于人民币1亿元，且符合中国证监会关于综合类证券公司各项风险监控指标的规定,中国证监会规定的其他条件,C
47,下列关于证券公司融资融券业务试点的业务规则的叙述中，不正确的是（）。,证券公司以客户的名义在证券登记结算机构分别开立融券专用证券账户、客户信用交易担保证券账户、信用交易证券交收账户和信用交易资金交收账户,证券公司向客户融资，只能使用融资专用资金账户内的资金；向客户融券，只能使用融券专用证券账户内的证券,客户融资买入证券的，应当以卖券还款或者直接还款的方式偿还向证券公司融入的资金；客户融券卖出的，应当以买券还券或者直接还券的方式偿还向证券公司融入的证券,客户融资买入或者融券卖出的证券预定终止交易，且最后交易日在融资融券债务到期日之前的，融资融券的期限缩短至最后交易日的前一交易日,A
48,下列关于证券投资基金的说法中，错误的是()。,基金管理人由依法设立的基金管理公司担任,我国对基金管理公司实行市场准入管理,基金管理人是基金的组织者和管理者,基金持有人是基金运营的核心,D
49,下列关于周期型行业的说法，正确的是（）。,周期型行业的运行状态与经济活动总水平的周期及其振幅并不紧密相关，这些行业收入增长的速率并不会总是随着经济周期的变动而出现同步变动，因为他们主要依靠技术的进步，新产品推出及更优质的服务，从而使其经常呈现出增长形态,周期型行业的运行状态与经济周期紧密相关，当经济处于上升时期，这些行业相应衰落，当经济衰退时，这些行业相应扩张，且该类型行业收益的变化幅度往往会在一定程度上夸大经济的周期性,周期型行业的运行状态与经济周期紧密相关，当经济处于上升时期，这些行业会跟随其扩张，当经济衰退时，这些行业也相应衰落，且该类型行业收益的变化幅度往往会在一定程度上夸大经济的周期性,周期型行业的经营状况与经济周期的上升和下降阶段都很稳定，这种运动形态的存在是因为该类型行业的产品需求相对稳定，需求弹性小，经济周期处于衰退阶段对这种行业的影响也比较小,C
50,下列关于资产管理计划推广销售的说法，错误的是()。,证券公司不得通过广播、电视、报刊及其它证券公司推广集合资产管理计划,推广期间，客户资金应存入集合计划份额登记机构指定的专门账户,集合资产管理计划应当面向合格投资者推广,推广结束后对募集资金的验资工作应由具备证券相关业务资格的会计事务所完成并出具验资报告,A
51,下列技术分析方法中属于系统性风险的是()。,国家风险,操作风险,信用风险,合规风险,A
52,下列人员中，不能担任公司法定代表人的是（）。,董事长,执行董事,经理,监事,D
53,下列属于国有股权组成部分的是()。,社会公众股,国家股,法人股,外资股,B
54,下列属于全国人民代表大会，和全国人民代表大会常务委员会制定并颁布的法律是()。,《期货公司监督管理办法》,《中华人民共和国公司法》,《上市公司收购管理办法》,《行政和解试点实施办法》,B
55,下列属于周期型行业的是（）。,公用事业,信息技术行业,耐用品制造业,食品业务,C
56,下列行为中，不属于内幕交易的是()。,知情人员买入或者卖出所持有的该公司的证券,知情人员或者非法获取内幕信息的其他人员泄露该信息的行为,知情人员或者非法获取内幕信息的其他人员建议他人买卖证券的行为,与他人串通，以事先约定的时间、价格和方式相互进行证券交易,D
57,下列选项中，（）是经营杠杆的关键决定因素。,业务的竞争性质,固定成本,公司的β,负债的水平和成本,B
58,下列选项中，不属于能源期货的是()。,菜籽油,燃料油,汽油,原油,A
59,下列选项中，不属于未上市流通股份的是()。,优先股,内部职工股,境外上市外资股,发起人股份,C
60,"下列有关公司的说法,错误的是()",公司以营利为目的,公司以其全部资产对外承担民事责任,我国《公司法》主要适用于有限责任公司和股份有限公司,公司股东对公司承担无限连带责任,D
61,下列债券中不可以进行跨市场转托管的是（）。,附息国债,地方债,企业债,证券公司次级债,D
62,下面关于社会融资总量的说法，错误的是()。,指一定时期内实体经济从金融体系获得的全部资金总额,存量概念,期初、期末余额的差额,各项指标统计，均采用发行价或账面价值进行计算,B
63,小波分析在量化投资中的主要作用是（）。,进行波形处理,进行预测,进行分类,进行量化,A
64,信用评级为A-1的银行间债券市场短期债券的含义是（）。,还本付息能力较强，安全性较高,还本付息能力一般，安全性易受不良环境变化的影响,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,还本付息能力最强，安全性最高,D
65,一般来讲，产品的（）可以通过专有技术、优惠的原材料、低廉的劳动力、科学的管理、发达的营销网络等实现。,技术优势,规模经济,成本优势,规模效益,C
