id,question,A,B,C,D,answer
0,有没有一种可能，现在股票多了。市场被传成这样,公司董监高,行情解读,择时&带场景类等,涨跌及解读,D
1,最近震荡得很频繁，一天高、一天低，都不敢出手了，分分钟收益为负数,产品评测,涨跌及解读,问个股评测&观点建议,问未来观点,B
2,建议是逢低布局，板块的话是AI跟芯片，对么？,买卖建议,基本信息（基金、定期等等）,选品,操作建议,D
3,南方振元债券型发起式证券投资基金C类要赎回吗,买卖建议,选品,单品收益分析,问财报及事件,A
4,就比如，长城建议换成长信这种，我看了我在斟酌觉得可以我就换了,产品信息查询,问客观指标,问财报及事件,买卖建议,D
5,中银兴利稳健回报灵活配置混合型证券投资基金C类配售,公司董监高,问个股评测&观点建议,新闻资讯,基本信息(基金、定期等等),D
6,对我看他两年三年，然后一年这帮他看三年嘛，其实没啥意义。三年的新能源，但但但是你看他近三个月，近六个月近近一个月，对吧？能加。,新闻资讯,操作建议,另类投资,问财报及事件,B
7,我要把景顺全部转移到科创50，你觉得怎么样呢,问个股评测&观点建议,选品,产品评测,买卖建议,D
8,这种持有多久合适，还是说等行情差了，转换成股票基,问未来影响,问个股评测&观点建议,基金经理,买卖建议,D
9,国寿安保稳泽两年持有期混合型证券投资基金A类最近可以加仓吗,新闻资讯,问涨跌历史,问未来影响,买卖建议,D
10,我再买5万东证，10万再买长信？这样行吗 长信是不是有点多,买卖建议,问涨跌历史,新闻资讯,问未来观点,A
11,噢，好的。你明天上班时，帮我看看我的基金有重复的没有。谢谢！,持仓整体分析,单品收益分析,基本信息（基金、定期等等）,持仓信息导流（自选、账单、持有资产等）,A
12,还有医药好像又涨了好几天了！！[傻笑]是不是可以出货了,问涨跌历史,操作建议,选品,涨跌及解读,B
13,半导体最近一两个月都不行，为什么基金经理不提前卖呢。,问涨跌历史,选品,问涨跌预测,涨跌及解读,D
14,我今天要先把中欧阿尔法要全部卖掉么？然后您指点我买别的,操作建议,产品评测,条件选基,买卖建议,D
15,白酒怎么看，最近跌了不少，你之前不是说白酒比较稳么，现在好像不是呀,涨跌及解读,问客观指标,产品评测,问有什么事件和资讯,A
16,我买的都是7天就可以赎回的，我6月份随时随地会抛掉的,买卖建议,基本信息(基金、定期等等),问未来观点,持仓整体分析,D
17,苗老师好 ，我手里还有水泥和房地产的基金 ，不知道是该留着还是卖掉 ，请指教 [抱拳],涨跌及解读,另类投资,持仓整体分析,基本信息（基金、定期等等）,C
18,新能源及新能源车又集体疯狂了。这会不会是最后的狂欢呢？[呲牙],公司董监高,其他,涨跌及解读,问有什么事件和资讯,C
19,那我现在是不是割点肉买一部分501206呢？它一直跌不停啊！我都没信心了,持仓单品分析,问涨跌历史,持仓整体分析,另类投资,A
20,这个产品我看是中低风险，暴雷的可能性有多大？,产品评测,持仓单品分析,问买卖建议,公司董监高,A
21,已经买了一点你推荐的产品，先看看收益怎么样,投教&金融&非金融名词,持仓单品分析,基金经理,行情解读,B
22,永安国富基金发行的多个期的基金会不会是同一个基金？,问涨跌历史,操作建议,涨跌及解读,基本信息(基金、定期等等),D
23,现在美股风险很大。适合现在建仓高端制造吗？,操作建议,行情解读,持仓整体分析,其他,A
24,如果按照去年收益的标准来算，投40万一年扣掉手续费到手有多少收益呢？,操作建议,问涨跌及解读,另类投资,产品评测,D
25,支小宝我问你一下为什么基金买来现在卖掉为什么只有一半的钱,基本信息(基金、定期等等),投教&金融&非金融名词,产品信息查询,问有什么事件和资讯,A
26,你好！我想把兴全和润换成大成睿享混合合适吗,选品,买卖建议,持仓信息导流（自选、账单、持有资产等）,问涨跌预测,B
27,其实我觉得我很难把握买入和卖出的时机，就想一直拿着。但是从指数这么多年的走势来看，价值投资好像行不通。,问涨跌预测,产品信息查询,产品评测,涨跌及解读,D
28,国联安中证全指半导体产品与设备ETF联接C,基本信息（基金、定期等等）,产品评测,持仓整体分析,投教&金融&非金融名词,B
29,我那个港基算是防御型的吗？现在的半导体算是底部吗？,涨跌及解读,问产品评测,产品信息查询,持仓整体分析,A
30,白酒年化收益达到25%可以止盈一部分了吗？,持仓单品分析,新闻资讯,问未来观点,行情解读,A
31,为什么券商理财有收益。总资产金额却没有增加,操作建议,另类投资,基本信息(基金、定期等等),问有什么事件和资讯,C
32,有没有聚焦汽车智能，人工智能方面的基金推荐,条件选基,新闻资讯,持仓整体分析,问客观指标,A
