id,context,question,A,B,C,D,answer
0,满期保险金 若被保险人生存至本合同期满，我们按满期日的下一个资产评估日保单账户价值给付满期保险金，本合同终止。,需要提取的属性是：【领取日】；该属性的类型是：【ENUM】；该属性的取值范围是：【保险条款约定领取日、满期后第一个资产评估日、保单周年日、指定年龄保单周年日、保单周月日、满期日、指定保单周年日、未知】；,满期日,满期后第一个资产评估日,指定年龄保单周年日,指定保单周年日,B
1,被保险人本人或对被保险人具有保险利益的其他人可作为本合同投保人。,需要提取的属性是：【赔付类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【报销、给付、年金、豁免保费、未知】；,未知,给付,报销,豁免保费,B
2,（三）院外靶向药费用保险金 被保险人在等待期（90日）后因初次确诊本合同所定义的恶性肿瘤后需进行靶向治疗时，如医院内没有相关必须药物，保险人将对被保险人按照医嘱在正规有相关资质的药房购买的靶向药物（见释义26），对其自负部分按照约定比例进行费用补偿。院外靶向药购药须符合药物临床用药规范，且单次就诊处方（见释义27）购药量不超过就诊后一个月的治 疗用量。对于为未来治疗提前购买的药物和超出用药规范的重复购买，保险人不承担给付 保险金的责任。3对于上述各项保险责任，被保险人不论一次或多次在医院进行治疗，保险人均按上述约定给付各项保险金，但各项费用的累计给付金额以不超过各对应项的保险金额为限，各项费用的累计给付金额达到其对应项的保险金额时，保险人对被保险人的该项保险责任终止。二、免赔额 免赔额的具体金额以及相关适用情况由投保人与保险人在订立本合同时协商确定，并在本合同中载明。本合同中所指免赔额均指年免赔额，指在本合同保险期间内，应由被保险人自行承担，本合同不予赔付的部分。被保险人从其他途径已获得的医疗费用补偿可用于抵扣免赔额，但通过基本医疗保险（见释义28）、公费医疗保险及政府救助获得的补偿，不可用于抵扣 免赔额。,需要提取的属性是：【事故类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【非意外伤害、不限、意外伤害、未知】；,不限,未知,意外伤害,非意外伤害,A
3,1.住院医疗保险金 被保险人因特定疾病清单外的疾病或意外伤害经医院诊断必须住院治疗的，对于被保险人住院期间发生的必须由被保险人个人自行承担的合理且必要的床位费、陪床费、重症监护室床位费、膳食费、护理费、治疗费、检查检验费、药品和医疗器械赔付目录范围内的药品费和医疗器械使用费、医生诊疗费、手术费和转院救护车使用费（上述费用统称为“住院医疗费用”），我们依据2.2.6 条的保险金计算方法结合补偿原则在一般医疗保险金赔付限额内赔付住院医疗保险金。如果保险期间到期时，被保险人尚处于住院状态中，则在被保险人办理出院手续前，我们将继续按前一保险期间的赔付限额与年度免赔额约定承担保险责任，直至被保险人办理出院手续。,需要提取的属性是：【延长条件】；该属性的类型是：【ENUM】；该属性的取值范围是：【保障到期30天内开具处方、治疗尚未结束、符合保险条款相关约定、未知】；,治疗尚未结束,符合保险条款相关约定,保障到期30天内开具处方,未知,A
4,3.门诊手术医疗费用 被保险人因意外伤害或疾病在本保险合同约定的医疗机构接受门诊手术治疗期间发生的应当由被保险人支付的必需且合理的门诊手术费用。(七十七)严重系统性红斑狼疮性肾炎:系统性红斑狼疮是由多种因素引起，累及多系统的自身免 疫性疾病。其特点是生成自身抗体对抗多种自身抗原。多见于育龄妇女。本保单所指的系统性红斑第五条本合同的保险责任包括“一般医疗保险金”、“重大疾病医疗保险金”、“重大疾病给付保 险金”，其中“一般医疗保险金”、“重大疾病医疗保险金”为必选责任，“重大疾病给付保险金”为可选责任。投保人可只投保必选责任，也可在投保必选责任的同时选择投保可选责任，但不能单独投保可选责任。所投保的保险责任一经确定，在本合同期间内不得变更。3、等待期：您为被保险人首次投保本保险或非续保本保险时，自保险合同生效之日起计算的一 段时间，经过该段时间后，保险人才对被保险人因疾病而发生的医疗费用承担保险责任。,需要提取的属性是：【免赔额规则】；该属性的类型是：【ENUM】；该属性的取值范围是：【责任间共享免赔额、只计次免赔额、独立计算免赔额、未知】；,未知,只计次免赔额,独立计算免赔额,责任间共享免赔额,D
5,（三）质子重离子医疗保险金（可选） 在保险期间内，被保险人在等待期后经医院确诊初次罹患恶性肿瘤，并于保险人指定的医疗机构接受质子重离子治疗的，对于被保险人需个人支付的、必需且合理的质子重离子医疗费用（见释义二十二），按照约定的给付比例且在各分项限额范围内向被保险人给付质子 重离子医疗保险金。保险人在本项下累计给付金额之和以本合同约定的质子重离子医疗保险金额为限，当累计给付金额之和达到质子重离子医疗保险金额时，保险人对被保险人在质子重离子医疗保险金项下的保险责任终止。本项责任下的指定医疗机构以在保险单中载明的名单为准。保险期间内保险人调整指定医疗机构的，以保险人在官方正式渠道（包括但不限于官网、官微）的通知为准。在保险期间内，若保险人累计给付“一般医疗保险金”、“恶性肿瘤医疗保险金”和“质子重离子医疗保险金”的总额达到本合同载明的总保险金额时，本合同终止。第七条免赔额 免赔额由投保人与保险人在订立本合同时协商确定，并在本合同中载明。本合同中所指免赔额均指年免赔额，指在本合同保险期间内，应由被保险人自行承担，本合同不予赔付的部分。被保险人通过社会医疗保险和公费医疗保险获得的补偿，不可用于抵扣免赔额，但从其他途径已获得的医疗费用补偿可用于抵扣免赔额。若被保险人选择投保恶性肿瘤医疗保险金责任，除另有约定外，一般医疗保险金和恶性肿瘤医疗保险金共同使用同一个免赔额的额度，具体以保单约定为准。质子重离子医疗保险金无免赔额。第十条保险金额 保险金额是保险人承担给付保险金责任的最高限额。本合同的一般医疗保险金额、恶性肿瘤医疗保险金额、质子重离子医疗保险金额和总保险金额由投保人、保险人双方约定，并在本合同中载明。第六条保险责任 本合同的保险责任包括“一般医疗保险金”、“恶性肿瘤医疗保险金”和“质子重离子医疗保险金”，其中“一般医疗保险金”为必选责任，“恶性肿瘤医疗保险金”、“质子重离子医疗保险金”为可选责任。投保人可只投保必选责任，也可在投保必选责任的同时选择投保可选责任，但不能单独投保可选责任。所投保的保险责任一经确定，在本合同保险期间内不得变更。（二）若被保险人以参加社会医疗保险身份投保，但未以参加社会医疗保险身份就诊 并结算的，则保险人根据本合同单独约定的给付比例进行赔付。,需要提取的属性是：【赔付限额规则】；该属性的类型是：【ENUM】；该属性的取值范围是：【单独限额、责任间共享限额、险种保额、未知】；,险种保额,责任间共享限额,未知,单独限额,D
6,您申请解除本附加合同时须同时申请解除主合同。您犹豫期后解除本附加合同会遭受一定损失。,需要提取的属性是：【事故类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【非意外伤害、不限、意外伤害、未知】；,非意外伤害,不限,意外伤害,未知,B
7,满期保险金 若被保险人在保险期间届满时生存的，我们按主合同与本附加合同的累计已交保险费之和给付满期保险金，本附加合同终止。我们给付主合同首次重大疾病保险金后，本附加合同现金价值9.7减少为零，我 们不再承担本附加合同“身故或全残保险金”和“满期保险金”的保险责任，本附加合同终止。,需要提取的属性是：【给付金额类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【父责任保额、已交保费*给付比例、现金价值较大者、已交保费*给付比例、已交保费*给付比例、当年保费、现金价值较大者、基本保额*给付比例、已交保费较大者、已交保费*系数、现金价值较大者、已交保费*系数、基本保额较大者、已交保费、基本保额较大者、已交保费*给付比例、基本保额较大者、应领未领的年金和满期年金、其他、基本保额、现金价值较大者、分场景不同给付金额类型、应领未领年金、累计已交保费、已交保费、基本保额、现金价值较大者、基本保额、责任保额、已交保费*给付比例、基本保额、现金价值较大者、保单现金价值、重疾保额、已交保费剔除扣减金额、现金价值较大者、基本保额*给付比例、已交保费*系数、已交保费*系数、有效保额、现金价值较大者、应交总保费、基本保额*给付比例、现金价值较大者、已交保费*给付比例、有效保额较大者、险种保额、现金价值*系数、基本保额*给付比例、已交保费、现金价值较大者、已交保费、现金价值较大者、已交保费*给付比例、有效保额、现金价值较大者、已交保费*给付比例、现金价值*给付比例、基本保额较大者、已交保费*系数、有效保额较大者、基本保额*系数、年交保费、现金价值*给付比例、已交保费*系数、基本保额、现金价值较大者、已交保费*系数、当年保费、现金价值较大者、未知】；,其他,已交保费*给付比例,基本保额*给付比例,现金价值*给付比例,A
8,满期保险金 若被保险人在保险期间届满时生存的，我们按主合同与本附加合同的累计已交保险费之和给付满期保险金，本附加合同终止。我们给付主合同首次重大疾病保险金后，本附加合同现金价值9.7减少为零，我 们不再承担本附加合同“身故或全残保险金”和“满期保险金”的保险责任，本附加合同终止。,需要提取的属性是：【给付金额类型】；该属性的类型是：【ENUM】；该属性的取值范围是：【父责任保额、已交保费*给付比例、现金价值较大者、已交保费*给付比例、已交保费*给付比例、当年保费、现金价值较大者、基本保额*给付比例、已交保费较大者、已交保费*系数、现金价值较大者、已交保费*系数、基本保额较大者、已交保费、基本保额较大者、已交保费*给付比例、基本保额较大者、应领未领的年金和满期年金、其他、基本保额、现金价值较大者、分场景不同给付金额类型、应领未领年金、累计已交保费、已交保费、基本保额、现金价值较大者、基本保额、责任保额、已交保费*给付比例、基本保额、现金价值较大者、保单现金价值、重疾保额、已交保费剔除扣减金额、现金价值较大者、基本保额*给付比例、已交保费*系数、已交保费*系数、有效保额、现金价值较大者、应交总保费、基本保额*给付比例、现金价值较大者、已交保费*给付比例、有效保额较大者、险种保额、现金价值*系数、基本保额*给付比例、已交保费、现金价值较大者、已交保费、现金价值较大者、已交保费*给付比例、有效保额、现金价值较大者、已交保费*给付比例、现金价值*给付比例、基本保额较大者、已交保费*系数、有效保额较大者、基本保额*系数、年交保费、现金价值*给付比例、已交保费*系数、基本保额、现金价值较大者、已交保费*系数、当年保费、现金价值较大者、未知】；,现金价值较大者,已交保费*系数,基本保额,累计已交保费,D
9,"一、意外门（急）诊医疗保险金 被保险人因遭受主保险合同约定的意外伤害事故，在医院门诊治疗所发生的实际支出的、符合投保所在地社会基本医疗保险药品目录、诊疗项目目录以及服务设施范围和支付标准的医疗费用,保险人扣除约定的免赔额后，对免赔额以上的部分按照约定的给付比例给付意外门（急）诊医疗保险金。免赔额、给付比例由投保人在投保时与保险人约定，并在保险合同上载明。（一）意外医疗保险金的申请 由保险金申请人填写保险金给付申请书，并凭下列证明和资料或投保人与保险公司协商确定予以认可的其他证明和资料向保险公司申请给付保险金：第三条责任免除 对被保险人因下列任一情形引起的意外伤害医疗费用支出，保险人不承担给付保险金的责任：因上述情形之一导致被保险人发生意外伤害医疗费用支出的，保险人不承担给付保险金 的责任，保险人依本附加险合同约定对该被保险人继续承担保险责任。",需要提取的属性是：【赔付限额规则】；该属性的类型是：【ENUM】；该属性的取值范围是：【单独限额、责任间共享限额、险种保额、未知】；,未知,险种保额,责任间共享限额,单独限额,D
