id,context,question,A,B,C,D,answer
0,"6.1.10
严重慢性肝衰竭
指因慢性肝脏疾病导致的肝衰竭，且须满足下列全部条件：
(1)持续性黄疸；
(2)腹水；
(3)肝性脑病；
(4)充血性脾肿大伴脾功能亢进或食管胃底静脉曲张。
因酗酒或药物滥用导致的肝衰竭不在保障范围内。",什么条件下会被认定为严重慢性肝衰竭？,仅持续性黄疸就可以被认定为严重慢性肝衰竭。,仅肝性脑病就可以被认定为严重慢性肝衰竭。,仅腹水就可以被认定为严重慢性肝衰竭。,持续性黄疸、腹水、肝性脑病以及充血性脾肿大伴脾功能亢进或食管胃底静脉曲张满足时会被认定为严重慢性肝衰竭。,D
1,"12-深度昏迷
指因疾病或意外伤害导致意识丧失，对外界刺激和体内需求均无反应，昏迷程度按
照格拉斯哥昏迷分级（Glasgowcomascale）结果为5分或5分以下，且已经持续使
用呼吸机及其它生命维持系统96小时以上。
因酗酒或药物滥用导致的深度昏迷不在保障范围内。",深度昏迷在何种情况下不在保障范围内？,因疾病导致的深度昏迷不在保障范围内。,持续使用呼吸机及其他生命维持系统96小时以上的深度昏迷不在保障范围内。,因酗酒或药物滥用导致的深度昏迷不在保障范围内。,意外伤害导致的深度昏迷不在保障范围内。,C
2,"（五十九）溶血性链球菌引起的坏疽
包围肢体或躯干的浅筋膜和/或深筋膜受到溶血性链球菌的感染，病情在短时间内
急剧恶化，已经立刻进行了手术及清创术。最后的诊断必须由微生物或病理学专家
进行相关检查后证实。",什么病原体引起的感染可以导致包围肢体或躯干的浅筋膜和/或深筋膜感染并导致病情急剧恶化？,嗜肺军团菌。根据以上保险条款内容可知，溶血性链球菌引起的感染可以导致包围肢体或躯干的浅筋膜和/或深筋膜感染，并在短时间内急剧恶化。,沙门氏菌,溶血性链球菌。,大肠杆菌,C
3,"7.11脑炎后遗症
或脑膜炎后遗症
指因患脑炎或脑膜炎导致的神经系统永久性的功能障碍。神经系统永久性的功能障
碍，指疾病确诊180天后，仍遗留下列一种或一种以上障碍：
（1）一肢或一肢以上肢体机能完全丧失；
（2）语言能力或咀嚼吞咽能力完全丧失；
（3）自主生活能力完全丧失，无法独立完成六项基本日常生活活动中的三项或
三项以上。",以下哪种情况不符合脑炎或脑膜炎的后遗症定义？,一肢或一肢以上肢体机能完全丧失。,疾病确诊180天后，自主生活能力完全丧失，无法独立完成六项基本日常生活活动中的三项以上,神经系统永久性的功能障碍必须确诊180天后才能被认定为后遗症,疾病确诊180天后，语言能力或咀嚼吞咽能力完全丧失,A
4,"8.59检查化验
指由医生开具的由医院专项检查科室的专业检查、检验人员实施的各检查化验项目，
包括实验室检查、病理检查、放射线检查、CT、核磁共振检查（MRI）、B超、血管造
影、同位素、心电图、心功能、肺功能、骨密度。",保险公司会承担哪些化验项目的费用？,保险公司只会承担心功能和肺功能的费用。,保险公司只会承担实验室检查的费用。,保险公司只会承担核磁共振检查（MRI）和CT的费用。,保险公司会承担实验室检查、病理检查、放射线检查、CT、核磁共振检查（MRI）、B超、血管造影、同位素、心电图、心功能、肺功能、骨密度等化验项目的费用。,D
5,"1.7
保险期间与不保证续保
本主险合同的保险期间为1年，不保证续保。保险期间届满，您需要重新
向我们申请投保本产品，并经我们同意，交纳保险费，获得新的保险合同。
若保险期间届满时，本主险产品已停止销售，我们不再接受投保申请，但会
向您提供投保其他保险产品的合理建议。",本主险合同是否可续保？,本主险合同不保证续保。,本主险合同可以续保，但需要额外支付费用。,本主险合同可以续保多年。,本主险合同会自动续保。,A
6,"右叶切除手术（备注：本定义是按肝脏的传统解剖分段法将肝脏分为肝左
叶和肝右叶）。
下列情况不在保障范围内：
（1）肝区切除、肝段切除手术；
（2）因酒精或者滥用药物引致的疾病或者紊乱；
（3）因恶性肿瘤进行的肝切除手术；
（4）作为器官捐献者而实施的肝切除手术。",保险是否覆盖因恶性肿瘤进行的肝切除手术？,不在保障范围内。,在保障范围内。,仅在特殊条件下在保障范围内。,部分情况下在保障范围内。,A
7,"1.6
犹豫期
自您收到本主险合同电子保险单次日起，有10日的犹豫期。在此期间请
您认真审视本主险合同，如果您认为本主险合同与您的需求不相符，您
可以在此期间提出解除本主险合同，我们将无息退还您所支付的全部保
险费。
解除本主险合同时，您需要填写申请书，并提供您的保险合同及有效身
份证件。自我们收齐上述资料时起，本主险合同即被解除，犹豫期内解",犹豫期是从保险合同生效之日起的多久？,犹豫期为3天。,犹豫期为10天。,犹豫期为30天。,犹豫期为60天。,B
8,"2.1.3免赔额、可适用
医疗机构、赔付比例、限额说明和补偿原则
1、免赔额
免赔额指被保险人自行承担，本合同不予赔偿的部分。被保险人从其他途
径已获得的医疗费用补偿可用于抵扣免赔额，但通过基本医疗保险（见
8.39）和公费医疗获得的补偿，不可用于抵扣免赔额。",免赔额是指什么？,免赔额是由保险公司承担的部分，不需要被保险人自行承担。,免赔额是被保险人自行承担的不予赔偿的部分，可以通过其他途径获得的医疗费用补偿抵扣。,免赔额是被保险人自行承担的部分，不可以通过其他途径获得的医疗费用补偿抵扣。,免赔额可以包括通过基本医疗保险和公费医疗获得的补偿。,B
9,"8.5.1
严重多发性硬化
多发性硬化为中枢神经系统白质多灶性脱髓鞘病变，病变有时累及灰质。
多发性硬化必须明确诊断，并且已经造成永久不可逆的神经系统功能损害。
永久不可逆的神经系统损害指被保险人持续180天无法独立完成下列基
本日常生活活动之一:
（1）移动：自己从一个房间到另一个房间；
（2）进食：自己从已准备好的碗或碟中取食物放入口中。",什么情况下被保险人可以被认定为患有严重多发性硬化？,被保险人持续180天无法独立完成移动或进食的基本日常生活活动之一。,被保险人持续180天无法独立完成呼吸或睡眠的基本日常生活活动之一。,被保险人持续180天无法独立完成日常个人卫生或自我清洁的基本日常生活活动之一。,被保险人持续90天无法独立完成移动或进食的基本日常生活活动之一。,A
