id,context,question,A,B,C,D,answer
0,2023年10月20日，财联社电，国电电力股东国家能源集团资本控股有限公司发布增持方案。国家能源集团资本控股有限公司拟于未来13月内以不少于30000.00万元进行增持，不超过40000.00万元进行增持，本次增持计划未设定价格区间，国家能源集团资本控股有限公司将根据二级市场股价波动，逐步实施增持计划。,国家能源集团资本控股有限公司计划未来增持多少金额的国电电力股份？,不少于20000.00万元，不超过30000.00万元。,不少于40000.00万元。,10000.00万元。,不少于30000.00万元，不超过40000.00万元。,D
1,2023年10月20日，财联社电，国电电力控股股东国家能源投资集团有限责任公司发布增持方案。国家能源投资集团有限责任公司拟以不少于30000.00万元进行增持，本次增持计划未设定价格区间，国家能源投资集团有限责任公司将根据二级市场股价波动，逐步实施增持计划。,国家能源投资集团有限责任公司此次增持计划的金额是多少？,不少于30000.00万元,10000.00万元,50000.00万元,20000.00万元,A
2,2023年10月20日，财联社电，内蒙华电控股股东北方联合电力有限责任公司发布增持方案。北方联合电力有限责任公司拟于未来4月内以不少于10000.00万元进行增持，不超过20000.00万元进行增持，本次增持计划未设定价格区间，北方联合电力有限责任公司将根据二级市场股价波动，逐步实施增持计划。,北方联合电力有限责任公司计划以何种金额范围进行增持?,北方联合电力有限责任公司计划以不少于10000.00万元进行增持，不超过20000.00万元进行增持。,北方联合电力有限责任公司计划以不少于15000.00万元进行增持，不超过25000.00万元进行增持。,北方联合电力有限责任公司计划以不少于5000.00万元进行增持，不超过10000.00万元进行增持。,北方联合电力有限责任公司计划以不少于50000.00万元进行增持，不超过100000.00万元进行增持。,A
3,2023年10月20日，财联社电，四川路桥控股股东蜀道投资集团有限责任公司发布增持方案。蜀道投资集团有限责任公司拟于未来13月内以不少于20000.00万元进行增持，不超过40000.00万元进行增持，本次增持计划未设定价格区间，蜀道投资集团有限责任公司将根据二级市场股价波动，逐步实施增持计划。,四川路桥控股股东蜀道投资集团有限责任公司拟以什么方式进行增持？,蜀道投资集团有限责任公司拟以固定价格进行增持。,蜀道投资集团有限责任公司将根据二级市场股价波动，逐步实施增持计划。,蜀道投资集团有限责任公司拟以不超过40000万元进行增持。,蜀道投资集团有限责任公司拟以不少于20000万元进行增持。,B
4,2023年10月20日，财联社电，中国铝业控股股东中国铝业（02600.HK）集团有限公司发布增持方案。中国铝业（02600.HK）集团有限公司拟于未来7月内以不少于25000.00万元进行增持，不超过50000.00万元进行增持，本次增持计划未设定价格区间，中国铝业（02600.HK）集团有限公司将根据二级市场股价波动，逐步实施增持计划。,中国铝业（02600.HK）集团有限公司拟通过增持方案增持的金额范围是多少？,不少于5000.00万元，不超过20000.00万元,不少于10000.00万元，不超过30000.00万元,不少于25000.00万元，不超过50000.00万元,不少于30000.00万元，不超过60000.00万元,C
5,2023年10月20日，财联社电，中国神华股东国家能源集团资本控股有限公司发布增持方案。国家能源集团资本控股有限公司拟于未来13月内以不少于50000.00万元进行增持，不超过60000.00万元进行增持，本次增持计划未设定价格区间，国家能源集团资本控股有限公司将根据二级市场股价波动，逐步实施增持计划。,国家能源集团资本控股有限公司拟于未来13个月内增持中国神华的金额范围是多少？,不少于40000.00万元，不超过60000.00万元。,不少于50000.00万元，不超过60000.00万元。,不少于40000.00万元，不超过70000.00万元。,不少于50000.00万元，不超过70000.00万元。,B
6,"2023年2月7日，财联社电，沃尔德（688028.SH）股东陈继锋提出减持计划，因为个人资金需求,持股人原持股份38196240股，减持上市公司股份不超过2980138股，计划减持股份比例不超过公司股份总数的2.72%,减持日期至2023年08月31日",陈继锋计划减持沃尔德股份的总数是多少？,陈继锋计划减持的股份总数为10万股。,陈继锋计划减持的股份总数为1股。,陈继锋计划减持的股份总数不超过38196240股。,陈继锋计划减持的股份总数不超过2980138股。,D
7,"2023年2月8日，财联社电，路德环境（688156.SH）高管程润喜提出减持计划，因为个人资金需求,持股人原持股份32000股，减持上市公司股份不超过8000股，计划减持股份比例不超过公司股份总数的0.01%,减持日期至2023年08月31日",路德环境（688156.SH）高管程润准备以什么原因为由减持股份？,公司业绩下滑,股价低迷,公司高管调整,个人资金需求,D
8,"2023年4月28日，财联社电，股东金风投资控股有限公司提出减持计划，因为提高投资流动性需要,持股人原持股份33443500股，减持上市公司股份不超过12096000股，计划减持股份比例不超过公司股份总数的3.00%,减持日期至2023年08月24日</p>",金风投资控股有限公司计划减持的股份比例不超过公司股份总数的多少？,0.02,0.052,0.045,0.03,D
9,"2023年4月29日，财联社电，博亚精工高管周继红提出减持计划，因为个人资金需求,持股人原持股份135000股，减持上市公司股份不超过33750股，计划减持股份比例不超过公司股份总数的0.04%,减持日期至2023年11月24日",周继红减持计划的减持比例是多少？,周继红减持计划的减持比例是原持股份的0.25%。,周继红减持计划的减持比例是不超过公司股份总数的0.04%。,周继红减持计划的减持比例是不超过原持股份的0.25%。,周继红减持计划的减持比例是不超过33750股。,B
10,"2023年4月5日，财联社电，掌阅科技（603533.SH）股东北京量子跃动科技有限公司提出减持计划，因为自身需要,持股人原持股份37535046股，减持上市公司股份不超过8777900股，计划减持股份比例不超过公司股份总数的2.00%,减持日期至2023年10月24日",掌阅科技的股东北京量子跃动科技有限公司计划减持股份的比例不超过多少？,不超过3.00%,不超过2.00%,不超过2.50%,不超过1.50%,B
11,"2023年6月26日，财联社电，盛视科技高管赖时伍提出减持计划，因为个人资金需求,持股人原持股份132000股，减持上市公司股份不超过19500股，计划减持股份比例不超过公司股份总数的0.01%,减持日期至2024年01月16日",2023年6月26日，盛视科技高管赖时伍减持计划的最大股数是多少股？,最大减持股数为2024年01月16日前的股票交易期间内的变动股数。,最大减持股数为132000股。,最大减持股数为0.01%的公司股份总数。,最大减持股数为19500股。,D
12,"2023年6月28日，财联社电，国瑞科技高管杨建东提出减持计划，因为自身资金需求,持股人原持股份50400股，减持上市公司股份不超过12600股，计划减持股份比例不超过公司股份总数的0.00%,减持日期至2024年01月19日",杨建东计划减持国瑞科技股份的数量是多少？,杨建东计划减持12600股国瑞科技股份。,杨建东计划减持比例不超过公司股份总数的0.00%。,杨建东计划减持50400股国瑞科技股份。,杨建东计划减持不超过50400股国瑞科技股份。,A
13,"2023年6月29日，财联社电，*ST凯撒股东凯撒世嘉旅游管理顾问股份有限公司,新余柏鸣投资管理中心(有限合伙)提出减持计划，因为在东方证券账户的股票因债务到期未偿还被动减持,持股人原持股份170084488股，减持上市公司股份不超过8030002股，计划减持股份比例不超过公司股份总数的1.00%,减持日期至2023年10月19日",为什么新余柏鸣投资管理中心提出减持计划？,减持是为了遵守证券市场规定的减持比例限制。,股东凯撒世嘉旅游管理顾问股份有限公司要在其他领域投资所以减持。,因为在东方证券账户的股票因债务到期未偿还被动减持。,为了获得更高的投资回报。,C
14,"2023年7月22日，财联社电，晓程科技高管王含静提出减持计划，因为个人资金安排需要,持股人原持股份500000股，减持上市公司股份不超过125000股，计划减持股份比例不超过公司股份总数的0.05%,减持日期至2024年02月13日",晓程科技高管王含静计划减持的股份数量是多少股？,250000股,50000股,200000股,125000股,D
