id,question,A,B,C,D,answer
0,180 ESG,180 ESG是指一种金融债券，该债券的回报率被限制在180%以下。这意味着债券持有人只能获得非常低的回报，这种债券通常用于支持可持续发展项目。,180 ESG是指在金融领域，ESG评级为180分的指标。ESG评级是对企业的环境、社会和治理风险进行评估的指标，180表示该企业在ESG方面的表现非常差，存在着高风险。,中证180ESG指数根据中国工商银行ESG绿色评级体系，从上海市场中选取在环境、社会、公司治理等方面具有较好表现的上市公司证券作为指数样本，为投资者提供多样化的投资标的。,180 ESG是指一种金融交易方式，其中ESG指数被增加到180倍。这意味着投资者可以获得高额回报，但也承担着更高风险，因为投资的企业在环境、社会和治理方面的表现不容乐观。,C
1,360互联+,360互联+是指360公司与其他金融机构之间进行联合贷款发放的业务。实际上，360互联+是指360公司通过技术手段将互联网与金融服务进行结合，为用户提供一站式的金融服务平台。,中证360互联网+大数据100指数是由大成基金管理有限公司定制开发的量化策略指数，通过引入搜索因子构建多因子模型，并选取评分最高的100只股票，采用等权重计算。,360互联+是指360公司与其他金融机构进行信息分享，共享用户的个人信息，以便更好地进行市场分析和产品推销。实际上，360互联+是指360公司通过融合互联网技术和金融服务，为用户提供个性化的金融解决方案和投资服务。,360互联+是指360公司与其他企业进行全面互利合作的方式，包括共同投资、共同经营、共同开发新项目等。实际上，360互联+是指360公司通过互联网技术，将用户、商家和金融机构连接起来，为用户提供便捷的金融服务。,B
2,5年久期国开债,5年久期国开债是指一个国家政府开展的长期金融债券项目，该债券的久期为5年。在这个项目中，国家政府借款用于国内或国际投资，以促进经济的发展和增长。,该指数样本券由在银行间市场上市的剩余期限位于1到10年之间的国开债组成，通过权重优化将指数久期稳定在5年左右。,5年久期国开债指的是一种金融工具，其发行期限为5年，并且久期是国开债的特征。久期是指债券或债券组合的平均到期时间，它衡量了债券价格对市场利率变动的敏感性。,5年久期国开债是指国家开发银行发行的一种固定期限为5年的债券。久期是指债券的平均期限，它是投资者管理债券投资组合时的重要指标，可以帮助投资者评估债券对利率变动的敏感性。这种债券由国家开发银行担保，可以用于投资国家基础设施项目。,B
3,A股资源,A股资源指的是在A股市场上可以交易的各种金融商品，如股票、基金、债券等。,A股资源是指在A股市场上可以获得的各种贷款和信用资源，如银行贷款、信用卡额度等。,A股资源：指中证A股资源产业指数，选取了沪深市场上市公司中规模较大的50家资源类公司，包括能源行业（如煤炭、油气）和原材料行业（如基本金属、能源金属、贵金属），以反映这些公司在资源产业中的整体表现。该指数特点在于全面覆盖国内上游优势的资源行业，采用等权重调整方法，适合把握大宗商品整体表现和能源安全带来的投资机会。,A股资源指的是在A股市场上可以买卖的各种实物资源，如矿产、农产品等。,C
4,AC类基金,"AC类基金是用于鳄鱼养殖的资金，AC代表""alligator cultivation""（鳄鱼养殖）。","AC类基金是一个超级英雄迷的基金，AC代表""Avengers Collection""（复仇者联盟系列）。",A、C类基金代表同一只基金产品的不同收费方式。A类收取申购费，不收销售服务费；C类不收申购费，但会按日计提销售服务费。两者都收取赎回费，持有时间越长费率越低。C类基金适合短期交易和灵活操作，而A类基金适合长期持有。,"AC类基金是一种高度气象敏感的基金，AC代表""atmospheric conditions""（大气条件）。",C
5,CS车联网,中证车联网主题指数将内容与服务提供商、软件提供商、硬件提供商、汽车厂商等相关上市公司纳入车联网主题，选取不超过80只股票作为指数样本股，采用自由流通市值加权，并对个股设置5%的权重上限，以反映车联网上市公司的整体表现。,CS车联网是指中国南方车联网，其只在中国南方地区实施，并与全国其他地区车联网无关。,CS车联网是指车辆监控系统，通过该系统可以追踪和监视车辆的行驶情况，以便保障交通安全。,CS车联网是指计算机科学车联网，它是一种将计算机科学与车辆技术结合的新型网络，用于实现车辆间的信息传递和数据交互。,A
6,CS电池,CS电池是指计算机科学的电池，用于供电计算机系统。它具有高性能和长寿命，能够提供稳定而可靠的电源。,CS电池是指中证电池主题指数，该指数选取涉及动力电池、储能电池、消费电子电池以及相关产业链上下游的上市公司作为样本，反映电池主题上市公司的整体表现。该指数覆盖锂电池全产业链的核心标的，包括锂电池、电池材料、设备等，市值范围广泛涵盖了白马龙头和细分领域的优秀公司，体现了我国龙头企业在产业链中的竞争优势和话语权。,CS电池是指中国南方电力拥有的电动车电池交易平台。该平台通过电子交易的方式，连接买家和卖家之间的交易。,CS电池是一种新型的充电宝电池，不仅可以为手机等电子设备供电，还具有可回收再利用的特点，为环保事业做出贡献。,B
7,CS高股息,CS高股息是指打CS游戏时通过高股票收益获得的奖励。,CS高股息是指一个名为CS的公司向投资者支付的高额分红。,中证高股息是一项指数，它选择了100家流动性好、连续分红、股息率高、盈利持续且具有成长性的上市公司作为样本。该指数采用股息率加权方法，为投资者提供多样化的投资选择。,CS高股息是指通过一种名为CS的新型数字货币获得的高利息。,C
8,CS计算机,CS计算机是指在金融领域中专门用于编程和软件开发的计算机，它具有特定的硬件和软件配置，可以更好地支持金融数据的处理和分析。,CS计算机是指在金融机构中使用的一种特殊型号的计算机，它具有更快的处理速度和更高的数据存储容量，用于处理大量的金融交易。,CS计算机是指使用一种特殊的储蓄账户来管理个人或公司的金融事务的计算机系统，它可以自动计算利息和存款，并提供在线转账和支付服务。,CS计算机指数是以中证全指为样本空间，选取了50家涉及信息技术服务、应用软件、系统软件、电脑硬件等业务的上市公司股票作为成份股的指数。它反映了计算机类相关上市公司整体表现，提供了多样化的投资标的。该指数具有以下特点：1）覆盖计算机行业全面，等权重指数具有更高的灵活性；2）重点关注计算机软件和计算机设备，占比超过50%，能够抓住计算机行业带来的投资机会。,D
9,CS精准医,CS精准医指的是将游戏《反恐精英》中的技巧应用到医疗行业，通过击杀敌人来治疗疾病。,CS精准医是指中证精准医疗主题指数，该指数选取了代表精准医疗产业公司的沪深A股作为样本股，反映这些公司的整体表现。它是根据2018年9月30日的IOSCO金融基准原则鉴证报告范围纳入的。,CS精准医是一种新型的货币体系，其中CS代表着“Cash System”，可以用于进行医疗行业的交易和支付。,CS精准医是指一个虚构的金融产品，将CS（Country of Service）与精准医学领域结合，为军人提供专属的医疗保健服务。,B
