id,question,A,B,C,D,answer
0,财联社10月13日讯，国家金融监管总局发布关于警惕利用AI新型技术实施诈骗的风险提示。 当前，AI技术的广泛应用为社会公众提供了个性化、智能化的信息服务，也给网络诈骗带来可乘之机。如不法分子通过面部替换、语音合成等方式，制作虚假图像、音频、视频，仿冒他人身份实施诈骗，侵害消费者合法权益。国家金融监督管理总局发布消费者权益保护风险提示，提醒广大金融消费者警惕新型诈骗手段，维护个人及家庭财产安全。 利用AI新型技术实施诈骗主要有“拟声”“换脸”两种手段，即通过模拟他人声音或形象骗取信任，进而诈骗钱财。不法分子通常先以“网店客服”“营销推广”“招聘兼职”“婚恋交友”等为借口，通过微信、QQ、电话等方式联系消费者，采集发音、语句或面部信息。再利用“拟声”“换脸”等技术合成消费者虚假音频或视频、图像，以借钱、投资、紧急救助等借口诱导其亲友转账汇款，或提供银行账户密码等敏感信息，随后立即转移资金。此外，不法分子还可能对明星、专家、官员等音视频进行人工合成，假借其身份传播虚假消息，从而实现诈骗目的。 此类诈骗手段迷惑性、隐蔽性较强，诈骗金额较高，为保护广大金融消费者合法权益，国家金融监督管理总局提示： 一、网络渠道“眼见”不一定为实。“拟声”“换脸”等合成技术的一大特点即“以假乱真”，不法分子可利用此类技术轻易伪装成他人，并通过快速筛选目标人群、定制化诈骗脚本，精准实施诈骗。因此，在涉及资金往来时，一个“声音很熟的电话”、一段“貌似熟人的视频”都可能是不法分子的诈骗套路，消费者应提高警惕。 二、转账汇款务必核验对方身份。面对自称“熟人”“领导”等通过社交软件、电话等以各种理由诱导汇款，务必核验对方身份。如可在沟通过程中提问仅双方知晓的问题，也可利用其他通讯方式或见面核实，或向对方的朋友、家人验明身份和情况。在无法确认对方身份时，应尽量避免转账操作。 三、保护好照片、声音等个人信息。消费者应提高个人信息保护意识，不随意下载陌生软件、注册陌生平台或添加陌生好友，对个人社交账户的安全状况保持警惕。尽量避免在互联网过多暴露个人照片、声音、视频等信息，不贪图方便把身份证、银行卡照片等直接存放在手机内。如不慎被骗或遇可疑情形，应注意保存证据并立即向当地公安机关报案。,国家金融监管总局发布鼓励利用AI技术实施诈骗的风险提示。利用“拟声”“换脸”等技术实施诈骗是一种新的创新方式，消费者应积极参与，无需核验对方身份，随意透露个人信息。,国家金融监管总局发布鼓励利用AI技术推动诈骗行为的提示。利用“拟声”“换脸”等技术实施诈骗是一种新的有益趋势，消费者应主动提供个人信息，不必对对方身份核实。,国家金融监管总局发布警惕利用AI技术实施诈骗风险提示。利用“拟声”“换脸”等技术实施诈骗已成为新的威胁，消费者应提高警惕，核验对方身份，保护个人信息。,国家金融监管总局发布警惕AI技术对诈骗的安全威胁提示。利用“拟声”“换脸”等技术实施诈骗是完全无害的，消费者不必提高警惕，可以随意透露个人信息。,C
1,今年跨境电商市场显著回暖，相关企业业绩“预喜”。吉宏股份H1净利同比预增，其中跨境电商业务净利预计实现110%-120%的同比增长。财联社记者以投资者身份致电吉宏股份证券部，相关人士称公司已通过OpenAI插件接入审核，但暂不清楚在跨境电商业务端的具体使用情况。 今日晚间，吉宏股份发布业绩预增公告，预计今年上半年归母净利润为1.73亿元至1.84亿元，同比增长50%-60%。 对于业绩增长的主要原因，吉宏股份方面表示，一方面是公司主要销售区域消费市场延续复苏态势，消费者购买力进一步提升，跨境电商业务营收规模和利润均有较大幅度增长，今年上半年预计实现归母净利润同比增长110%-120%。另一方面是公司包装业务盈利能力提升，今年上半年归母净利润预计同比增长25%-35%。 公司跨境电商业务净利翻番有赖于行业环境转暖。在国新办今日举行的发布会上，海关总署新闻发言人、统计分析司司长吕大良介绍，今年上半年跨境电商在“买全球、卖全球”方面的优势和潜力继续释放，进出口1.1万亿元，同比增长16%。其中，出口8210亿元，增长19.9%，进口2760亿元，增长5.7%。 记者了解到，吉宏股份跨境电商主要销售区域为“一带一路”等地区，“主要是东南亚、东北亚，包括日本、韩国，以及中国台湾、中国香港地区。”上述证券部人士称。截至目前，东盟是我国第一大贸易伙伴，吕大良指出，上半年我国对东盟进出口3.08万亿元，同比增长5.4%，占同期我国进出口总值的15.3%，较去年同期提升了0.5个百分点。 除了外部环境的积极影响，AIGC相关工具正加速渗透至电商行业各个环节，以提升营销链条效率。分析人士告诉记者，OpenAI开放插件后，跨境电商公司或将吃到第一波“红利”，加速市场占有率的提升，未来有望拉动GMV增长。 此前1月吉宏股份称接入ChatGPT的API接口，有效通过ChatGPT赋能跨境电商业务，包括人工智能选品、图文和视频广告素材制作/广告语智能输出、广告智能投放、智能客服等方面。记者获悉，公司目前已通过OpenAI插件接入审核，但暂未披露业务端使用情况。,吉宏股份H1净利预计下降，跨境电商市场遭遇寒冬，业务预计下滑110%-120%。,创新AI插件OpenAI未能提升吉宏股份的业绩，H1净利预计下降，跨境电商业务预计增长110%-120%。,今年跨境电商市场持续萧条，吉宏股份H1净利预计下降，其中跨境电商业务预计增长110%-120%。,今年跨境电商市场回暖，吉宏股份H1净利预增，其中跨境电商业务预计增长110%-120%。公司通过OpenAI插件接入审核，但具体使用情况未知。,D
2,财联社10月7日讯，近日有自媒体称，节后A股将延长交易时间，并在部分股票上试行T+0交易，沪深交易所官方回应称，我们关注到上述传闻，相关内容不属实。 上交所相关负责人答记者问 问:近日有自媒体称，节后A股将延长交易时间，并在部分股票上试行T+0交易，请问交易所对此如何评论？ 答:我们关注到了上述传闻，相关内容不属实。 今年8月18日，证监会有关负责人就活跃资本市场、提振投资者信心答记者问时提出，研究适当延长A股市场交易时间。这项工作涉及面广、影响面大，交易所正在按照证监会统一部署，深入研究论证。此外，前期有关负责人答记者问已明确提出，现阶段A股市场实行T+0交易的时机不成熟。 深交所新闻发言人答记者问 问：近日有自媒体称，节后A股将延长交易时间，并在部分股票上试行T+0交易，请问交易所对此如何评论？ 答：我们关注到上述传闻，相关内容不属实。 今年8月18日，证监会有关负责人就活跃资本市场、提振投资者信心答记者问时提出，研究适当延长A股市场交易时间。这项工作涉及面广、影响面大，交易所正在按照证监会统一部署，深入研究论证。此外，前期有关负责人答记者问已明确提出，现阶段A股市场实行T+0交易的时机不成熟。,A股交易所否认延长交易时间和试行T+0交易的传闻，表示正在研究适当延长交易时间，但现阶段T+0交易的时机不成熟。,A股交易所确认延长交易时间和试行T+0交易，表示正在研究不适当延长交易时间，同时T+0交易的时机已成熟。,A股交易所否认延长交易时间和试行T+0交易的传闻，表示不再研究适当延长交易时间，同时T+0交易的时机已成熟。,A股交易所宣布延长交易时间和试行T+0交易，表示正在研究适当缩短交易时间，但现阶段T+0交易的时机已成熟。,A
3,财联社7月11日讯，胡锡进7月11日发表炒股心得，他表示，老胡今天的账号跟着大盘一起红，新增账面盈利1126元。我的初步印象是，大盘涨，我就能盈利，否则我就会亏损。对那些在熊市里敢于坚持炒股的人，老胡真是佩服他们的心态和水平。我现在是看好大盘会震荡上行，如果面临下行的大趋势，我还没有概念自己该怎么办。一些人指责老胡不是来炒股，是来“炒流量”的。说实话，我炒股能够带来额外流量，这对我是个意外。我确实有额外动机，但那是想通过炒股切身感受股民的悲欢喜怒，为自己增加进一步洞悉中国经济和社会的重要视角。我相信，股市在中国经济中的权重只会越来越大。 以下为全文： 老胡今天的账号跟着大盘一起红，新增账面盈利1126元。我的初步印象是，大盘涨，我就能盈利，否则我就会亏损。对那些在熊市里敢于坚持炒股的人，老胡真是佩服他们的心态和水平。我现在是看好大盘会震荡上行，如果面临下行的大趋势，我还没有概念自己该怎么办。 一些人指责老胡不是来炒股，是来“炒流量”的。说实话，我炒股能够带来额外流量，这对我是个意外。我确实有额外动机，但那是想通过炒股切身感受股民的悲欢喜怒，为自己增加进一步洞悉中国经济和社会的重要视角。我相信，股市在中国经济中的权重只会越来越大。 我想说，虽然股评满天飞，但在我炒股之前，那些股评除了在发生股灾酿成重大社会动向的时候，基本影响不到我，我在大多数时候也很少关注股市跌了还是涨了。我作为一名时政评论员，平日里可以对股市漠不关心，却能正常地写各种文章，而且“混得还行”，是个“大V”，说明股市里的一切对中国社会的影响偏弱了，那里的信息和情绪一定程度上是在“内循环”。 这似乎是不应该的。那么多人把钱投入了股市，那些钱支持了许多中国企业的发展，但是社会对那些股民、也是投资者的关心有些少了。那些股民，或者说整个股市，做了巨大贡献，共同参与、创造了中国经济的一个重要动力，但他们没有获得应有的话语权，这个群体对中国经济政策的影响有些不成比例，这是一个问题。如果国家想进一步发挥股市对推动中国经济发展的作用，如果愿意股市变成对民众来说风险比过去小一些的更广泛的投资场，那么我认为，应该让围绕股市的信息音量放得更高一些，股民群体作为投资者对国家经济政策的外围影响力也应该更大些。,胡锡进表示，他通过炒股能够感受股民的悲喜，增加对中国经济的了解。他认为股市在中国经济中的权重会越来越大，股民群体应该拥有更大的影响力。,胡锡进表示，他通过炒股能够感受股民的快乐和幸福，增加对中国经济的了解。他认为股市在中国经济中的权重会越来越小，股民群体应该拥有更小的影响力。,胡锡进表示，他通过炒股能够感受股民的欢愉，增加对中国经济的了解。他认为股市在中国经济中的权重会越来越小，股民群体应该拥有更小的影响力。,胡锡进表示，他通过炒股能够感受股民的喜悲，增加对中国经济的了解。他认为股市在中国经济中的权重会越来越小，股民群体应该拥有更小的影响力。,A
4,财联社6月15日讯，国家统计局数据显示，2023年5月份，70个大中城市新建商品住宅销售价格环比整体涨幅回落、二手住宅环比下降。一线城市商品住宅销售价格同比涨幅回落，二三线城市同比总体降势趋缓。 一、新建商品住宅销售价格环比整体涨幅回落，二手住宅环比下降 从新建商品住宅看，5月份，一线城市新建商品住宅销售价格环比上涨0.1%，涨幅比上月回落0.3个百分点，其中北京、上海和广州环比分别上涨0.2%、0.3%和0.1%，深圳下降0.2%；二线城市新建商品住宅销售价格环比上涨0.2%，涨幅比上月回落0.2个百分点；三线城市新建商品住宅销售价格环比由上月上涨0.2%转为持平。从二手住宅看，5月份，一线城市二手住宅销售价格环比由上月上涨0.2%转为下降0.4%，其中，北京、上海、广州和深圳环比分别下降0.6%、0.8%、0.2%和0.1%；二、三线城市二手住宅销售价格环比由上月持平分别转为下降0.3%和0.2%。 5月份，70个大中城市中，商品住宅销售价格环比上涨城市个数减少，新建商品住宅和二手住宅销售价格环比上涨城市分别有46个和15个，比上月分别减少16个和21个。 二、一线城市商品住宅销售价格同比涨幅回落，二三线城市同比涨幅扩大或降幅收窄 5月份，一线城市新建商品住宅和二手住宅销售价格同比分别上涨1.7%和0.4%，涨幅比上月分别回落0.3和0.5个百分点。二线城市新建商品住宅销售价格同比上涨0.5%，涨幅比上月扩大0.3个百分点；二手住宅销售价格同比下降2.1%，降幅比上月收窄0.1个百分点。三线城市新建商品住宅和二手住宅销售价格同比分别下降1.6%和3.3%，降幅比上月均收窄0.3个百分点。 5月份，70个大中城市中，新建商品住宅销售价格同比上涨城市有26个，比上月增加4个；二手住宅同比上涨城市有9个，个数与上月相同。 2023年5月份70个大中城市商品住宅销售价格变动情况,2023年5月，70个大中城市新建商品住宅销售价格环比回落，一线城市涨幅回落，二手住宅价格下降。二三线城市的价格涨势降缓。,2023年5月，70个大中城市新建商品住宅销售价格环比上涨，一线城市涨幅继续增加，二手住宅价格继续上涨。二三线城市的价格涨势加速。,2023年5月，70个大中城市新建商品住宅销售价格环比持平，一线城市涨幅保持稳定，二手住宅价格保持稳定。二三线城市的价格涨势保持不变。,2023年5月，70个大中城市新建商品住宅销售价格环比小幅上涨，一线城市涨幅持平，二手住宅价格保持不变。二三线城市的价格涨势略微减缓。,A
5,财联社记者获悉，近期有监管部门向部分险企下发通知，开展保险资金长期入市情况的调研，了解保险资金长期入市的情况。 据悉，主要调研内容包括国外（欧美）市场历史演变、政策支持；国内投资情况、投资方式、考核方式；国内发展中存在困难及问题；以及政策建议等。 “我们早就开始研究进入资本市场方案，固收业务利率太低，必须靠权益拉动”，有保险资管业人士对财联社记者表示。 研究长期资金入市是近期热议的话题，8月24日中国证监会召开机构投资者座谈会提出，在国内经济转型升级、金融市场改革深入推进、长期利率中枢下移的新形势下，养老金、保险资金和银行理财资金等中长期资金加快发展权益投资正当其时。要求各类机构要提高对中长期资金属性和责任的认识，坚持从战略高度看待和重视权益投资，不断加强投研能力建设，壮大投资人才队伍，建立健全投资管理体系，推动建立三年以上的长周期考核机制，着力提高权益投资规模和比重。 同时，参会机构一致表示，将更好发挥中长期资金的市场稳定器和经济发展助推器作用，正确看待市场短期波动，把握长期向好的大势，强化逆周期布局，加大权益类资产配置，用实际行动引领长期投资、价值投资、稳健投资，努力实现服务高质量发展、客户资产保值增值、机构自身长期健康发展的更好统一。 保险机构也期待鼓励入市相应政策出炉。8月24日，在中国人寿2023年中期业绩发布会上，公司副总裁刘晖表示，近期关注到监管机构对于活跃资本市场、提振投资者信心提出了一系列的举措。作为长期资金，寿险资金相对于短期资金有较高的风险成本，承受比较低的流动性的要求，可以在市场上出现定价偏差时候开展左侧布局，逆势投资，长期投资，同时也可以配置更多的另类资产来提升流动性溢价，所以长期资金具备优势。长期资金如果想发挥出优势，需要长周期考核机制的配合。 刘晖还表示，“建立与保险资金特点投资特点相匹配的长周期考核，是促进保险资金坚持长期投资价值投资稳健投资关键一环。从我们的实践中和现在政策倡导上，我们非常支持对于长期寿险资金提供长周期考核完善政策。” 普华永道中国金融业管理咨询合伙人周瑾表示，建立好长周期考核制度，可以促进保险资金与资本市场的“双赢”。通过长周期考核制度，除了提升保险资金运用的长期收益外，还可以发挥保险资金的稳定器作用，在资本市场出现短期波动时，减少出于短期投资业绩压力的跟风踩踏行为，也有利于资本市场稳定。,监管部门近期调研保险资金长期入市情况，要求机构减少权益投资，建立短周期考核机制。保险机构对相关政策期望。短周期考核将有助于保险资金与资本市场的双赢。,监管部门近期调研保险资金长期入市情况，要求机构加强权益投资，建立长周期考核机制。保险机构期待相关政策出台。长周期考核有助于保险资金与资本市场的双赢。,监管部门近期调研保险资金长期入市情况，决定放宽机构权益投资限制，鼓励短期投机，取消考核机制。保险机构对相关政策失望。取消考核机制将导致保险资金与资本市场的双输局面。,监管部门近期调研保险资金长期入市情况，建议机构不要加强权益投资，取消所有考核机制。保险机构对相关政策期望。取消所有考核机制将导致保险资金与资本市场的双输局面。,B
6,今日晚间中兴通讯三季报出炉，Q3营收同比下滑12.38%，业绩持续承压。财联社记者从中兴通讯方面了解到，“今年以来全球宏观经济环境的不确定性，给ICT产业的发展带来挑战。” 财务数据显示，中兴通讯今年前三季度实现营收893.93亿元，同比下滑3.42%；实现归母净利润78.41亿元，同比增长14.97%；扣非后归母净利润71.0亿元，同比增长27.9%；经营性现金流净额达92.6亿元。 三季度单季，中兴通讯则实现营收286.89亿元，同比下滑12.38%；实现归母净利润23.69亿元，同比增长5.09%。 今年Q2中兴通讯实现净利28.3亿元，据此计算，Q3净利环比下降16%。今年以来中兴通讯在营收方面持续承压，Q1、H1营收同比增幅分别为4.34%、1.48%，直至Q3出现同比下滑。 值得注意的是，近日中国移动、中国电信公布三季报显示，两家运营商今年Q3营收、净利环比来看均有所下滑。中兴通讯曾在半年报中称，外部环境复杂严峻，全球经济增长承压，不确定性常态化为企业经营带来诸多挑战。 此次三季报中，中兴通讯未明确列出各业务具体业绩。不过回顾其H1表现，为整体营收带来最主要贡献的运营商网络业务相对稳定，但政企业务收入受国内集成类项目及国际市场收入减少影响出现下滑，同时消费者业务亦由于国际手机产品收入同比减少出现下滑。 近期公司董秘在互动平台上回应投资者称，近年来公司毛利率在持续改善，预计未来毛利率维持稳定，但受收入结构、产品和市场变化等因素影响，季度间毛利率可能会有一定波动。 大环境影响下业绩承压，不过今年以来的AI浪潮为中兴通讯带来“连接+算力”两大新增量方向。财联社记者从中兴通讯方面获悉，今年前三季度公司第二曲线业务有序推进。数据显示，前三季度公司研发投入为190.61亿元，占营收的21.3%，去年同期为161.08亿元。据了解，其研发投入主要投向网络、算力以及算网融合三个领域。 具体而言，智算方面，中兴通讯已打造了提供包括万卡大规模集群、训推一体机等在内的端到端全栈智算解决方案；大模型方面，中兴通讯自研通用大模型，通过领域知识增量预训练多个领域大模型，如研发代码、通信、政务等。 另外在近期受市场密切关注的5G-A领域，中兴通讯则实现了业界首个基于5G-A技术的工业现场网预商用验证、首例5G-A通感算一体车联网架构技术验证等突破。,中兴通讯Q3营收增长12.38%，因全球经济不确定性带来新机遇。今年前三季度营收893.93亿元，同比增长3.42%。中兴通讯在5G和智能计算领域投入研发不足。,中兴通讯Q3营收增长12.38%，因全球经济不确定性带来新挑战。今年前三季度营收893.93亿元，同比增长3.42%。中兴通讯在5G和智能计算领域放缓研发进程。,中兴通讯Q3营收下滑12.38%，因全球经济不确定性带来挑战。今年前三季度营收893.93亿元，同比下滑3.42%。中兴通讯在5G和智能计算领域持续投入研发。,中兴通讯Q3营收增长12.38%，因全球经济不确定性带来更大的挑战。今年前三季度营收893.93亿元，同比增长3.42%。中兴通讯在5G和智能计算领域缩减研发投入。,C
7,"2023年8月10日，财联社电，*ST泛海股东通海投资集团有限公司,华馨资本投资管理有限公司,通海置业投资管理有限公司,通海股权投资股份有限公司,同和睿海(北京)企业管理有限公司,同和悦海(天津)企业管理有限公司,同和晟海(青岛)投资有限公司,北京东风星火置业有限公司,泛海园艺技术工程有限公司,北京东方绿洲体育休闲中心有限公司发布增持方案。通海投资集团有限公司,华馨资本投资管理有限公司,通海置业投资管理有限公司,通海股权投资股份有限公司,同和睿海(北京)企业管理有限公司,同和悦海(天津)企业管理有限公司,同和晟海(青岛)投资有限公司,北京东风星火置业有限公司,泛海园艺技术工程有限公司,北京东方绿洲体育休闲中心有限公司拟于未来5月内以不少于5000.00万元进行增持，不超过10000.00万元进行增持，本次增持计划未设定价格区间，通海投资集团有限公司,华馨资本投资管理有限公司,通海置业投资管理有限公司,通海股权投资股份有限公司,同和睿海(北京)企业管理有限公司,同和悦海(天津)企业管理有限公司,同和晟海(青岛)投资有限公司,北京东风星火置业有限公司,泛海园艺技术工程有限公司,北京东方绿洲体育休闲中心有限公司将根据二级市场股价波动，逐步实施增持计划。",通海投资集团等公司将在未来5月内以500-1000万元增持*ST泛海股份。增持计划价格设定在较低区间，将根据二级市场股价波动逐步实施。,通海投资集团等公司将在未来5月内以5000-10000万元增持*ST泛海股份。增持计划价格不设定区间，将根据二级市场股价波动逐步实施。,通海投资集团等公司将在未来5月内减持5000-10000万元*ST泛海股份。减持计划价格不设定区间，将根据二级市场股价波动逐步实施。,通海投资集团等公司将在未来5月内以10000-5000万元增持*ST泛海股份。增持计划价格设定在较高区间，将根据二级市场股价波动逐步实施。,B
8,中海达第三季度延续了上半年的亏损态势。今日发布的第三季度报告显示，公司Q3收入微涨，扣非归母净利同比减少约161%。并且，应收和经营性现金流量净额也保持了上半年的趋势。财联社记者从业内人士获悉，当下数据行业对于TOG业务的订单仍持谨慎态度。而从行业趋势和公司自身来看，北斗高精度行业应用业务成为发展重点。 财报显示，中海达第三季度实现营业收入3.00亿元，同比增长1.33%；实现扣非归母净利润亏损3257.19万元，同比下降161.99%。 中海达主要产品包括北斗高精度定位装备和高精度时空信息解决方案。2023年中报数据显示，两项产品收入分别占总收入的73.22%和26.78%。但由于“高精度时空信息解决方案业务主要面向政府部门和事业单位为主，受经济环境影响，客户支付有所延迟，公司基于经营现金流管控需要适当控制该类业务规模。” 财务数据显示，2023年前三季度，公司经营性现金流净额为-1.92亿元，去年同期为-1.50亿元。应收票据及应收账款账面价值为12.58亿元，去年同期为11.49亿元。 财联社记者从业内人士获悉，当下数据行业对于TOG业务的订单仍持谨慎态度。 另一方面，受益于政策引导，北斗高精度行业应用业务渐成发展重点。据《2023中国卫星导航与位置服务产业发展白皮书》，截至2022年四季度，全国累计推广应用各类北斗终端超过2000万台/套，交通、公安、农业等行业已初步实现北斗规模化应用，通信授时、气象监测、应急减灾、城市管理等领域正在加速推进北斗规模化应用。 中海达则公开表示，公司深耕北斗卫星导航产业，在北斗应用相关技术领域深度布局，并已发展多个较为成熟的应用领域。主要向铁路、电力、通讯、石油石化等特定行业客户提供服务。,中海达第三季度大赚特赚，Q3收入飙升且净利猛增161%，TOG业务订单爆棚，北斗高精度行业应用毫无发展潜力。,中海达第三季度盈利井喷，Q3收入急增但净利大增161%，TOG业务订单火爆，北斗高精度行业应用前景堪忧。,中海达第三季度延续亏损态势，Q3收入微涨但净利下降161%，TOG业务订单谨慎，北斗高精度行业应用成发展重点。,中海达第三季度继续赚钱，Q3收入大涨且净利增长161%，TOG业务订单火爆，北斗高精度行业应用前景不堪设想。,C
9,银行经营贷利率再创新低。 继广州和北京的经营贷年化利率分别降至2.9%、2.85%后，近日有市场消息称，深圳有银行经营贷可做到年利率2.8%，月息2.33厘历史最低，且10年先息后本。8月29日，财联社记者从部分银行了解到，市场传闻的这一价格属实。 一家大行客户经理表示，“我们经营贷组团价最低可达2.8%，额度为评估价的7成，期限是10年，单笔3年，10年循环使用。”该人士称，2.8%现在是市场最低价。 虽然经营贷年利率创下2.8%“冰点价”，但申请条件并没有想象中严苛。“基本上线上预审过了就能批。”上述银行人士表示，预审主要看征信和房产的评估价，以及公司的性质。一般的小微企业和个体工商户都可以申请，像投资类，金融类、房地产类的禁止准入的公司，不能申请。 银行下调经营贷利率属于大势所趋。部分广深银行提出，下半年加大普惠小微贷款的支持力度，继续推动实际利率稳中有降。一位城商行人士认为，经营贷利率持续下行的根本仍然是信贷需求疲软。 光大银行金融市场部宏观研究员周茂华对此表示，部分银行经营贷利率再下调，一方面是央行加大逆周期调节力度，市场利率持续下降，银行调节存款利率，为银行调降贷款端利率拓展空间；另一方面，反映目前经济处于修复阶段，实体经济融资需求偏弱，部分银行为冲业绩及市场竞争，带动部分银行下调贷款利率。 目前，银行经营贷主流利率依旧在3.0%以上。针对其他银行跟进“卷”经营贷的可能性，专家对此持保留意见。周茂华补充：“从部分银行融资成本看，在市场利率进一步下调之前，经营贷利率下行空间逐步收窄。经营贷利率过度定价也不利于银行稳健经营，同时，银行需要防范经营贷资金违规使用风险。”,深圳银行经营贷利率下调至0.8%，申请条件严格。这是由于信贷需求旺盛和央行货币政策的影响。其他银行跟进的可能性尚不确定。,深圳银行经营贷利率创历史新高，上调至2.8%，申请条件严格。这是由于信贷需求旺盛和央行货币政策的影响。其他银行跟进的可能性尚不确定。,深圳银行经营贷利率不变，维持在2.8%，申请条件严格。这是由于信贷需求旺盛和央行货币政策的影响。其他银行跟进的可能性尚不确定。,深圳银行经营贷利率创历史新低，下调至2.8%，申请条件宽松。这是由于信贷需求疲软和央行货币政策的影响。其他银行跟进的可能性尚不确定。,D
