id,question,A,B,C,D,answer
0,设计方案商业保险计划应当遵照主要标准是（）。,巨额影响优先选择标准,客户满意利润大化,高权益获得标准,务求全方位标准,A
1,保险公司向《资格证书》持有者派发《展业证》以前，理应向哪一个行政机关注册登记（）。,中国保监会,本地中国保险监督管理委员会,保险业研究会,不必备案,C
2,保险合同的表述标准中，依照保险条款一般的文本含意并融合左右表述的标准是（）。,用意表述标准,补充表述标准,文义解释标准,注释好于文章正文标准,C
3,对重复保险，世界各国选用的负责制是（）,次序负责制和第一负责制,占比负责制和次序负责制,次序负责制和额度负责制,占比负责制和额度负责制,D
4,开展业务的证审批规章制度选用（）。,年规章制度,大半年,月规章制度,日规章制度,A
5,在国寿保险运营全过程中，与平衡保险费用定期商业保险对比，保险费用增长定期商业保险的退保率所主要表现出去的规律性是（）。,平衡保险费用定期商业保险的退保率高过保险费用增长定期商业保险的退保率,平衡保险费用定期商业保险的退保率相当于保险费用增长定期商业保险的退保率,平衡保险费用定期商业保险的退保率小于保险费用增长定期商业保险的退保率,平衡保险费用定期商业保险的退保率高过或相当于保险费用增长定期商业保险的退保率,C
6,既能处理受益人经济艰滩，又能达到大家投资要求的人身意外险险，归属于（）,具备投资作用的人身意外险险,具备存款作用的人身意外险险,具备分派作用的人身意外险险,具备调整作用的人身意外险险,A
7,承保人作出保险投保管理决策后，对同一保险投保的购买保险申请办理，由出单工作人员缮制保单或商业保险凭据，并立即送到被保险人手上的全过程是（）,缮制报关单证,保险单保险投保,核保,核查签名,A
8,在长期国寿保险合同中，假如保险合同中订有自动垫交保险费用条文，则对保险公司垫交的保险费用，被保险人需要担负的责任是（）。,需要还款垫交额并付款贷款利息,需要还款垫交额并付款罚款,只需还款垫交额,只需付款利息额,C
9,假如风险性平安事故的产生与影响中间的逻辑关系因为此外新的单独的缘故干预而终断，而新的单独缘故并不是被保风险性，测保险公司对商业保险影响的妥善处理方法是（）。,未予赔付,一部分赔付,给予赔付,占比赔付,A
10,依据《保险营销员管理规定》保险营销员委托申请办理保险营销，与保险公司签署授权委托协议时（）。,不可另外与俩家还是俩家以买保险公司签署委托合同,能另外与俩家还是俩家以买保险公司签署委托合同,务必另外与俩家还是俩家以买保险公司签署委托合同,一般另外与俩家还是俩家以买保险公司签署委托合同,A
11,"保险营销员从业保险营销主题活动时，给与还是服务承诺给与被保险人、受益人还是受益人商业保险合同规定之外的其他利益的，依据《保险营销员管理规定，将由（）,并依规以处罚。",中国保监会给与警示,工商企业管理单位给与记过,消协给与警示,保险业研究会给与记过,A
12,在人身意外事故商业保险运营操作实务中，保险公司对极短期意外事故商业保险的受益人开展风险性程度点评的关键根据是（）。,受益人所从业主题活动的经营规模,受益人所从业主题活动的近远,受益人所从业主题活动的特点,受益人所从业主题活动的构想,C
13,在类型、质量、特点和使用价值等层面大致相仿的风险性企业被称作（）。,同质性风险性,同样风险性,类似风险性,相比风险性,A
14,在失能老人收益影响商业保险中，免除责任期内很有可能终断，假如受益人在短暂性修复后（一般限制6个月之内）再一次失能老人，则明确免除责任期的方式（）。,以2段失能老人期内中较短的一个测算免除责任期,以2段失能老人期内中较长的一个测算免除责任期,将2段失能老人期内合拼求和测算免除责任期,将2段失能老人期内合拼相减测算免除责任期,C
15,承保人因保险投保合同书的签订变动和停止，导致商业保险标底的使用权产生变动而造成的商业保险合同变动归属于（）。,保险合同行为主体的变动,保险合同内容的变动,保险合同行为主体的变动,保险合同方式的变动,A
16,因为商业保险标底的类型、储放地址、占有特点、航行的变动引川起保险费用的转变，保险公司规定调节保险费用。进而引起保险合同变动。这一变动归属于（）。,保险合同行为主体的变动,保险合同内容的变动,保险合同行为主体的变动,保险合同关系人的变动,B
