id,question,A,B,C,D,answer
0,私募股权投资流动性()。,强,差,适中,不确定,B
1,创业投资基金主要的投资对象是()。,高科技、产品新、成长快的风险投资企业,具有良好增长潜力的股票,大盘蓝筹股、公司债、政府债券,指数成分股,A
2,企业在投资后的增值性服务的主要内容有()。Ⅰ.协助组建管理团队Ⅱ.提供财务和融资服务Ⅲ.提供信息支持服务Ⅳ.提供法律顾问服务,Ⅰ、Ⅱ,Ⅱ、Ⅲ,Ⅱ、Ⅲ、Ⅳ,Ⅰ、Ⅱ、Ⅲ、Ⅳ,D
3,以下关于基金托管费说法正确的是()。,基金托管费是基金管理人因投资管理基金资产而向基金收取的费用,基金托管费是基金托管人为基金提供托管服务而向基金收取的费用,基金托管费是基金托管人因投资管理基金资产而向基金收取的费用,基金托管费是基金管理人为基金提供托管服务而向基金收取的费用,B
4,违反《证券投资基金法》规定，擅自公开或者变相公开募集基金的，责令停止，返还所募资金和加计的银行同期存款利息，没收违法所得，并处所募资金金额()以上()以下罚款。,1%;3%,1%：5%,3%;5%,3%：10%,B
5,考虑股权投资业务的特殊性，合伙协议还可能包括()。Ⅰ.关键人条款Ⅱ.投资决策委员会Ⅲ.投资咨询委员会Ⅳ.退出管理委员会,Ⅰ、Ⅱ、Ⅲ,Ⅰ、Ⅲ、Ⅳ,Ⅱ、Ⅲ、Ⅳ,Ⅰ、Ⅱ、Ⅳ,A
6,贴现现金流法的基础是()。,现值原则,终值原则,单利原则,复利原则,A
7,下列四类公募另类投资基金门类，()不属于QDII。,黄金ETF及黄金ETF联结基金,黄金QDII,REITs产品,商品QDII,A
8,合格境外投资者，应当具备财务稳健，资信良好，达到中国证监会规定的资产规模等条件，对该条件说法错误的是()。,资产管理机构，其经营资产管理业务应在2年以上，最近一个会计年度管理的证券资产不少于5亿美元,保险公司，成立2年以上，最近一个会计年度持有的证券资产不少于5亿美元,证券公司，经营证券业务2年以上，最近一个会计年度管理的证券资产不少于50亿美元,商业银行，经营银行业务10年以上，最近一个会计年度管理的证券资产不少于50亿美元,C
9,马柯威茨的投资组合理论的主要贡献表现在()。,以因素模型解释了资本资产的定价问题,降低了构建有效投资组合的计算复杂性与所费时间,确立了市场投资组合与有效边界的相对关系,创立了以均值方差法为基础的投资组合理论,D
10,常用来作为平均收益率的无偏估计的指标是()。,时间加权收益率,加权平均净资产收益率,几何平均收益率,算术平均收益率,D
11,中国债券市场经历的发展阶段不包括()。,以政府间市场为主,以柜台市场为主,以交易所市场为主,以银行间市场为主,A
12,中外合资基金管理公司的境外股东实缴资本应当不少于()的等值可自由兑换货币。,2亿元人民币,4亿元人民币,5亿元人民币,8亿元人民币,A
13,下列关于远期合约表述错误的是()。,与期货合约相比更灵活,远期合约没有固定的、集中的交易场所,远期合约履约有保证,远期合约的违约风险比较高,C
14,()促使投资管理人考虑被风险价值和预期损失所忽略的但可能会发生的极端场景。,参数法,压力测试,历史模拟法,蒙特卡洛模拟法,B
15,基金服务机构应当具备开展服务业务的()和()。,营运能力；风险承受能力,资金能力；风险承受能力,资金能力；人事管理能力,评估能力；基金销售能力,A
16,公司终止不仅影响股东和债权人的利益，还会影响许多利益相关人的权益，其中最重要的便是(),公司董事,公司职工,公司股东,公司经理,B
17,基金管理人登记法律意见书的律师事务所资质问题由()规定,证监会,银监会,基金业协会,商业银行,C
18,投资机构作为外部投资者，要减少或消除信息不对称等潜在问题，包括规避企业家的委托代理风险，投资机构应采取各项具体有效措施对被投资企业进行()。,项目执行,项目监督,项目跟踪与监控,项目规划,C
19,依照原对外经贸部等五部门联合制定的()设立外资创投企业。,《关于外商投资举办投资性公司的规定》,《外商投资创业投资企业管理规定》,《关于外国投资者并购境内企业的规定》,《产业投资基金管理暂行办法》,B
20,ETF具有()的特点。,保本基金,主动型基金,基金中的基金,指数基金,D
21,公开募集基金的基金管理人的董事未能勤勉尽责，致使基金管理人存在重大违法违规行为的，中国证监会可以()。,责令整顿,全权接管,颁布限制令,责令更换,D
22,下列关于基金职业道德修养方法的说法中，正确的是()。Ⅰ.深刻领会基金职业道德规范Ⅱ.积极参加基金职业道德实践Ⅲ.正确树立基金职业道德观念Ⅳ.深入贯彻基金职业道德教育,Ⅱ、Ⅳ,Ⅱ、Ⅲ、Ⅳ,Ⅰ、Ⅳ,Ⅰ、Ⅱ、Ⅲ,D
23,下列关于证券投资基金的说法中，错误的是()。,是一种长期投资工具,主要功能是分散投资,投资基金无风险,投资基金可能带来收益，也可能承担损失,C
24,()既可以在场外市场进行基金份额申购、赎回，又可以在交易所(场内市场)进行基金份额交易和基金份额申购或赎回。,主动型基金,上市开放式基金,在岸基金,QDII基金,B
25,基金管理人应建立电子信息数据的()制度，重要数据应当()并且长期保存。,即时保存和备份;本地备份,定期保存和备份;异地备份,即时保存和备份;异地备份,定期保存和备份;本地备份,C
26,目前人们大多认为1868年英国成立的()是最早的证券投资基金。,海外及殖民地政府信托,苏格兰美国投资信托,马萨诸塞投资信托基金,英国投资信托,A
27,下列不属于基金售后服务的是()。,协助客户办理开立账户、申购、赎回、资料变更等基金业务,提醒客户及时核对交易确认,向客户介绍客户服务、信息查询等的办法和路径,定期提供产品净值信息,A
28,尽职调查中业务调查包括()。I.人力资源II.历史沿革III.研究与开发IV.行业研究,I、II、III,II、III、IV,I、III、IV,I、II、III、IV,D
29,一些机构所俗称的“成长基金”，按照美国创业投资协会、欧洲股权和创业投资协会的统计口径，以及国内外有关政策法规的界定，属于()范畴。,狭义创业投资基金,狭义股权投资基金,并购基金,定向增发投资基金,A
30,()为中国证券投资基金业协会的地位和职责权限提供了基本的法律依据。,《证券投资基金法》,《证券法》,《股权投资基金法》,《期货投资基金法》,A
31,下列关于股权投资基金自行募集的说法错误的是()。,基金管理人应设置有效机制，切实保障募集结算资金安全,应严格遵守合格投资者制度，可以向合格投资者之外的单位募集资金，但不可以向合格投资者之外的个人募集资金,应根据投资者适当性管理要求，采取问卷调查等方式，对投资者的风险识别能力和风险承担能力进行评估,在问卷调查过程中，应指导投资者如实填写风险识别能力和风险承担能力问卷，如实承诺资产或者收入情况,B
