id,question,A,B,C,D,answer
0,在《期货从业人员执业行为准则(修订)》中所称机构，不包括()。,证券交易所的非期货公司结算会员,期货公司,期货投资咨询机构,为期货公司提供中间介绍业务的机构,A
1,根据《期货市场客户开户管理规定》的规定，中国期货保证金监控中心应当为每一个客户设立（  ）。,结算账户,资金账户,交易编码,统一开户编码,D
2,在我国，某交易者在4月28日卖出10手7月份白糖期货合约的同时买人10手9月份白糖期货合约，价格分别为6350元／吨和6400元／吨。5月5日，该交易者对上述合约全部对冲平仓，7月和9月合约平仓价格分别为6380元／吨和6480元／吨。该套利交易的价差是（  ）元／吨。,扩大50,缩小50,扩大90,缩小90,A
3,期货公司应当()提名并聘任首席风险官。,根据公司章程的规定,由监事会,由董事会,由总经理,A
4,我国会员制期货交易所会员应履行的主要义务不包括（  ）。,遵守国家有关法律、法规、规章和政策,保证期货市场交易的流动性,执行会员大会、理事会的决议,接受期货交易所的业务监管,B
5,制定投资者适当性制度的具体标准和实施指引的主体是（）。,中国期货业协会,中金所,中国证监会,期货公司,B
6,期货公司资产管理业务投资非期货类品种的，期货公司应当自开立账户之日起()个工作日内向中国期货保证金监控中心备案。,3,5,10,15,B
7,期货公司董事长、总经理、首席风险官在失踪、死亡、丧失劳动能力等特殊情况下不能履行职责的，期货公司可以按照公司章程等规定临时决定由符合相应任职条件的人员代为履行职责，代为履行职责的时间不得超过()个月。,2,3,6,12,C
8,期货市场高风险的主要原因是()。,价格波动,非理性投机,杠杆效应,对冲机制,C
9,理论上，当市场利率上升时，将导致（）。,国债和国债期货价格均下跌,国债和国债期货价格均上涨,国债价格下跌，国债期货价格上涨,国债价格上涨，国债期货价格下跌,A
10,下列关于客户保证金存放的表述中，正确的是()。,主要部分应当存放在期货保证金账户内,应当全额存放在期货保证金账户和期货交易所专用结算账户内,应当全额存放在期货交易所专用结算账户内,只能全额存放在期货保证金账户内,B
11,期货交易与远期交易相比，信用风险()。,较大,相同,较小,无法比较,C
12,若某期货交易客户的交易编码为001201005688，则其客户号为（  ）。,12,1005688,5688,5888,B
13,期货公司申请资产管理业务试点资格，需要具有()年以上期货、证券或者基金从业经历，并取得期货投资咨询业务从业资格或者证券投资咨询、证券投资基金等证券从业的高级管理人员不少于1人；具有()年以上期货从业经历或者()以上证券、基金等投资管理经历，并取得期货投资咨询业务资格的业务人员不得少于()人。,3；5；5；3,5；3；3；5,2；3；3；2,3；2；2；3,B
14,期货公司制作、提供的研究分析报告不得侵犯他人的（）。,隐私权,专利权,知识产权,商标权,C
15,根据《期货投资者保障基金管理暂行办法》的规定，中国证券监督管理委员会决定使用期货投资者保障基金补偿期货投资者保证金损失的情形是（）。,发生不可抗力,期货投资者提出要求或者情况危急,期货交易所提出要求或者情况危急,期货公司的自有资金和变现资产不足以弥补保证金缺口或者情况危急,D
16,期货公司应当按照规定的内容与格式要求，于月度结束后()个工作日内向中国证监会及其派出机构报送资产管理业务月度报告。,10,7,5,3,B
17,世界上第一个现代意义上的结算机构是()。,美国期货交易所结算公司,芝加哥期货交易所结算公司,东京期货交易所结算公司,伦敦期货交易所结算公司,B
18,以下关于利率互换的描述中，正确的是()。,交易双方既交换本金，又交换利息,交易双方在到期日交换本金和利息,交易双方只交换利息，不交换本金,交易双方在结算日交换本金和利息,C
19,期货公司的交易保证金不足，期货交易所未按规定通知期货公司追加保证金的，由于行情向持仓不利的方向变化导致期货公司透支发生的扩大损失（）。,期货交易所承担主要赔偿责任,期货公司承担主要责任,期货交易所不承担赔偿责任,期货公司不承担责任,A
20,关于基点价值的说法，正确的是（  ）。,基点价值是指利率变化一个基点引起的债券价值变动的绝对值,基点价值是指利率变化一个基点引起的债券价值变动的百分比,基点价值是指利率变化100个基点引起的债券价值变动的绝对值,基点价值是指利率变化100个基点引起的债券价值变动的百分比,A
21,在不考虑交易成本和行权费等费用的情况下，期权到期时，如果标的资产价格高于损益平衡点，看涨期权多头损益为（  ）。,执行价格—标的资产价格+权利金,标的资产价格—执行价格—权利金,执行价格—标的资产价格—权利金,标的资产价格—执行价格+权利金,B
22,买卖双方进行期转现的情况不包括（  ）。,在期货市场有反向持仓的双方，拟以协商价格对冲头寸结束交易,买卖双方为现货市场的贸易伙伴，有远期交货意向，并希望远期交货价格稳定,在期货市场有反向持仓的双方，拟用标准仓单以外的货物进行期转现,在期货市场有反向持仓的双方，拟用标准仓单进行期转现,A
23,下列拟持有期货公司5％以上股权的企业，不符合条件的是（  ）。,乙企业负债占净资产的40％,甲企业净资产占实收资本的50％,丙企业实收资本和净资产均达到2亿元,丁企业实收资本和净资产分别为3500万元和1500万元,D
24,期货交易所实施的下列行为中，不属于其职责的是()。,监管会员及客户,指定交割仓库,指定期货保证金存管银行,调整期货交易所收取的保证金标准,D
25,在期货交易中，当现货商利用期货市场来抵消现货市场中价格的反向运动时，这个过程称为()。,杠杆作用,套期保值,风险分散,投资“免疫”策略,B
26,某期货公司私自挪用客户100万元保证金到其他项目中，共获利20万元，该期货公司被要求责令改正，没收违法所得，并处违法所得()的罚款。,20万元以上60万元以下,60万元以上100万元以下,20万元以上100万元以下,10万元以上20万元以下,C
27,期货交易与期货期权交易的相同之处是()。,交易对象都是标准化合约,交割标准相同,合约标的物相同,市场风险相同,A
28,我国期货市场的监管机构是()。,中国期货业协会,中国期货交易委员会,中国期货交易所联合委员会,中国证监会,D
29,设立期货公司，应由()批准。,国务院期货监督管理机构,国务院期货监督管理机构派出机构,中国期货业协会,期货交易所,A
30,中国金融期货交易所为了与其分级结算制度相对应，配套采取的是（  ）。,结算担保金制度,当日无负债结算制度,风险准备金制度,交易会员联保制度,A
31,期货合约是()统一制定的、规定在将来某一特定的时间和地点交割一定数量的标的物的标准化合约。,期货市场,期货交易所,中国期货业协会,中国证券监督管理委员会,B
32,有关期货与期货期权的关联，下列说法错误的是（）。,期货交易是期货期权交易的基础,期货期权的标的是期货合约,买卖双方的权利与义务均对等,期货交易与期货期权交易都可以进行双方交易,C
33,在我国，负责期货投资者保障基金财务监管的是()。,中国证监会,财政部,中国银监会,中国期货业协会,B
34,某企业利用豆油期货进行卖出套期保值，能够实现净盈利的情形是()。(不计手续费等费用),基差从-300元／吨变为-500元／吨,基差从300元／吨变为-100元／吨,基差从300元／吨变为200元／吨,基差从300元／吨变为500元／吨,D
35,郑州小麦期货市场某一合约的卖出价格为1120元／吨，买入价格为1121元／吨，前一成交价为1123元／吨，那么该合约的撮合成交价应为()元／吨。,1120,1121,1122,1123,B
36,证券公司从事期货中间介绍业务的专业人员必须具备（  ）。,证券销售从业人员资格,期货从业人员资格,证券投资咨询资格,期货投资咨询资格,B
37,当期权合约到期时，期权()。,不具有内涵价值，也不具有时间价值,不具有内涵价值，具有时间价值,具有内涵价值，不具有时间价值,既具有内涵价值，又具有时间价值,C
38,()可以根据不同期货品种及合约的具体情况和市场风险状况制定和调整持仓限额和持仓报告标准。,期货交易所,会员,期货公司,中国证监会,A
39,根据《期货从业人员执业行为准则(修订)》，当期货从业人员发现投资者有不诚信行为时，应当（  ）。,及时向所在期货经营机构报告，并注意防范投资者的信用风险,报告期货交易所,报告中国证监会派出机构,报告中国期货业协会,A
40,下列关于客户资产保护的说法，错误的是（  ）。,期货公司应按规定向客户披露期货保证金账户开立、变更或者撤销情况,客户开立期货保证金账户的，应在当日向期货保证金安全存管监控机构备案,严禁在期货保证金账户和期货交易所专用结算账户之外存放客户保证金,客户应当向期货公司登记以本人名义开立的用于存取保证金的期货结算账户,B
41,现代市场经济条件下，期货交易所是()。,高度组织化和规范化的服务组织,期货交易活动必要的参与方,影响期货价格形成的关键组织,期货合约商品的管理者,A
42,在7月时，CBOT小麦市场的基差为一2美分／蒲式耳，到了8月，基差变为5美分／蒲式耳，表明市场状态从正向市场转变为反向市场，这种变化为基差()。,“走强”,“走弱”,“平稳”,“缩减”,A
43,交易者在1520点卖出4张S&P500指数期货合约，之后在1490点全部平仓，已知该合约乘数为250美元，在不考虑手续费的情况下，该笔交易()美元。,盈利7500,亏损7500,盈利30000,亏损30000,C
44,公司制期货交易所中，下列不属于董事长行使的职权的是()。,主持股东大会和董事会会议,组织协调专门委员会的工作,检查董事会决议的实施情况并向董事会报告,组织实施股东大会、董事会通过的制度和决议,D
45,()是当日某一期货合约开始前5分钟集合竞价产生的成交价格。,开盘价,收盘价,结算价,最低价,A
46,目前，外汇市场上汇率的标价多采用()。,直接标价法,间接标价法,美元标价法,欧洲美元标价法,C
47,根据《期货公司监督管理办法》，期货公司分支机构终止的，应当先行妥善处理该分支机构的()，结清分支机构业务并终止经营活动。,交易账户和客户编码,工作人员工资和劳务合同,客户资产,营业场所和设施,C
48,根据《期货公司监督管理办法》的规定，期货公司分支机构终止的，应当先行妥善处理该分支机构的客户资产，结清（  ）并终止经营活动。,工作人员工资,分支机构业务,交易账户和客户编码,营业场所和设施的相关费用,B
49,期货公司董事、监事和高级管理人员收受商业贿赂或者利用职务之便牟取其他非法利益的，没收违法所得，并处()元以下罚款；情节严重的，暂停或者撤销任职资格。,3万,5万,10万,15万,A
50,根据《期货市场客户开户管理规定》，客户开立期货账户时，负责客户开户资料进行审核的是()。,中国期货保证金监控中心,期货交易所,中国期货业协会,期货公司,D
51,申请除期货公司董事长、监事会主席、独立董事以外的董事、监事和财务负责人的任职资格，应当由拟任职期货公司向()提出申请。,期货公司住所地的中国证监会派出机构,营业部所在地的中国证监会派出机构,拟任职人员所在地的工商行政管理机构,中国期货业协会,A
52,下列关于买进看跌期权损益的说法中，正确的是()。(不考虑交易费用),理论上，买方的盈利可以达到无限大,当标的资产价格下跌至执行价格以下时，买方开始盈利,当标的资产价格在损益平衡点以上时，买方不应该行权,当标的资产价格下跌至执行价格以下时，买方行权比放弃行权有利,D
53,对于套期保值，下列说法正确的是（  ）。,计划买入国债，担心未来利率上涨，可考虑卖出套期保值,持有国债，担心未来利率上涨，可考虑买入套期保值,计划买入国债，担心未来利率下跌，可考虑买入套期保值,持有国债，担心未来利率下跌，可考虑卖出套期保值,C
54,投资者利用股指期货进行多头套期保值的情形是（）。,当期货指数低估时,计划在未来持有股票组合，担心股市上涨而使购买成本上升,当期货指数高估时,持有股票组合，担心股市下跌而影响收益,B
55,期转现交易双方商定的期货平仓价须在（  ）限制范围内。,审批日期货价格,交收日现货价格,交收日期货价格,审批日现货价格,A
56,下列选项中，不属于实物交割必不可少的环节的是()。,交割配对,标准仓单与货款交换,实物交收,增值税发票流转,C
57,期货公司执行非受托人的交易指令造成客户损失.客户没有予以追认的，应当（）。,由期货公司承担主要赔偿责任,由非受托人承担主要赔偿责任,由期货公司承担赔偿责任，非受托人承担连带责任,由期货公司和非受托人按各自过错大小承担比例责任,C
58,期货投资者保障基金由（  ）集中管理、统筹使用。,财政部,中国证监会,中国期货业协会,期货交易所,B
59,《期货从业人员执业行为准则(修订)》是中国期货业协会对期货从业人员进行()的主要依据。,刑事制裁,纪律惩戒,行政处分,民事制裁,B
60,期货交易应当在依法设立的()或者国务院期货监督管理机构批准的其他交易场所进行。,期货交易所,期货公司,证券交易所,证券公司,A
61,客户下达的交易指令数量和买卖方向明确，没有有效期限的，应当视为()有效。,立即,当日,次日,持续,B
62,在我国对境内单位或者个人从事境外商品期货交易的品种进行核准的机构是()。,期货交易所,中国期货业协会,国务院商务主管部门,国务院期货监督管理机构,C
63,根据《期货公司监督管理办法》，期货公司分支机构终止的，应当先行妥善处理该分支机构的（  ），结清分支机构业务并终止经营活动。,客户资产,工作人员工资和劳务合同,营业场所和设施,交易账户和客户编码,A
