id,question,A,B,C,D,answer
0,20×5年8月，江苏泰兴的某石化公司将废酸委托给没有处理资质的公司和个人采用直接排放和船舶偷排等方式将废酸倒人当地河中，导致当地的居民饮用水大面积被污染。20x6年1月，有关环保组织对该损害社会公共利益的行为向法院提起了公益诉讼，法院受理后，当事人对该公益诉讼案件达成了和解。对此，下列表述正确的是()。,公益诉讼案件不能和解，当事人的和解协议无效,当事人达成和解后，人民法院应当将和解协议进行公告，公告期不得少于60日,公告期满后，经人民法院审查，和解协议不违反社会公共利益的，人民法院应当根据和解协议出具调解书,公告期满后，经人民法院审查，和解协议不违反社会公共利益的，人民法院应当根据和解协议出具判决书,C
1,2014年，某渔业公司拥有捕捞船5艘，每艘净吨位200吨；其他渔业船舶5艘，每艘净吨位400吨；非机动船2艘，每艘净吨位500吨，同年8月10日，购置非机动驳船2艘，每艘净吨位600吨；购置养殖船1艘，净吨位2000吨。所购船舶均在9月15日取得登记证书。所在省车船税计税标准为净吨位200砘以下（含200砘）的，每吨3元；201吨以上2000吨以下的，每吨4元。2014年该渔业公司应缴纳车船税（）元。,8800,9600,10400,90400,A
2,2014年2月，甲企业进口一批货物，海关审定货价折合人民币5460万元，支付到达我国输入地点起卸前的运费折合人民币40万元，埦内运费5万元，该批货物进口关税税率为10%，保险费无法确定，2014年2月甲企业进口该批货物应缴纳关税（）万元。,546,550,550.5,551.65,D
3,2010年5月10日，税务机关在检查某公司的纳税申报情况过程中，发现该公司2012年的业务存在关联交易，少缴纳企业所得税30万元。该公司于2014年6月1日补缴了该税款，并报送了2012年度关联企业业务往来报告等相关资料。对该公司补缴税款应加收利息（）万元。（假设中国人民银行公布的同期人民币贷款年利率为5.5%）,1.22,1.65,1.89,2.34,B
4,"2019年某居民企业收入总额为3000万元（其中不征税收入400万元，符合条件的技术转让收入900万元）,各项成本、费用和税金等扣除金额合计1800万元（其中含技术转让准予扣除的金额200万元）。2014年该企业应缴纳企业所得税（）万元。",25,50,75,100,B
5,2023年某作家的长篇小说由一家出版社出版，按合同规定，出版社向作家预付稿酬10000元，作品出版后再付稿酬15000元；同年该作家还授权某晚报连载该小说，历时60天，每天支付报酬100元，共获得稿酬6000元。该作家稿酬所得应缴纳个人所得税（）元。,2240,3248,3472,4928,C
6,2016年5月，某公司（增值税一般纳税人）购入不动产用于办公，取得增值税专用发票上注明的金额为2000万元，税额100万元，进项税额已按照规定申报抵扣。2018年1月，该办公楼改用于职工宿舍，当期净值1800万元。该办公楼应转出进项税额（）万元,85.71,100,198,90,D
7,2016年3月某商贸公司以经营租赁方式租入临街商铺一间，租期8年。2018年3月公司发生商铺改建支出20万元。关于该笔改建支出，正确的企业所得税处理是（）。,按2年分期摊销扣除,按6年分期摊销扣除,按8年分期摊销扣除,在发生的当期一次性扣除,B
8,2017年4月，陈某从汽车4S店（增值税一般纳税人）购买2.0升排量的乘用车，支付价款150000元。另支付汽车4S店代办保险费3000元，代办车辆牌照费300元，4S店未开具发票。陈某应纳车辆购置税（）元。（假设增值税税率17%）,11475,12821.51,12820.51,15000,C
9,2017年4月，某房地产开发公司转让在建项目，取得转让收入20000万元。该公司取得土地使用权时支付土地出让金7000万元、契税210万元、印花税3.5万元（已计入管理费用）及登记费0.1万元，该公司缴纳土地增值税时可以扣除的取得土地使用权所支付的金额为（）万元。,7213.5,7210.1,7213.6,7210,B
