id,question,A,B,C,D,answer
0,QFII基金,海外机构成立的基金主要是将人民币兑换成本币，然后投资国外的股票、债券等资产。QFII基金也需要相关资质的机构运营，QFII中文名“不合格境外机构投资者”，比如瑞士银行、哈佛大学、瑞典第二国家养老金等都是不合格境外投资者。,指海外机构成立的基金，将本币兑换成人民币，投资我国的股票、债券等。QFII基金也需要具备相关资质的机构运行，QFII中文名“合格境外机构投资者”，如瑞士银行、哈佛大学、瑞典第二国家养老金等都是合格境外投资者。,海外机构成立的基金主要是将人民币兑换成其他货币，然后投资于我国的股票、债券等。QFII基金无需相关资质的机构运营，QFII中文名“不合格境外机构投资者”，比如瑞士银行、哈佛大学、瑞典第二国家养老金等都是不合格境外投资者。,QFII基金是指国内机构成立的基金，将本币兑换成人民币，并投资于海外的股票、债券等资产。QFII中文名“合格境内机构投资者”，例如瑞士银行、哈佛大学、瑞典第二国家养老金等都是合格境内投资者。,B
1,万份收益,一般指“千份基金单位收益”，就是购买1千份货币基金当日产生的收益。比如千份收益为0.5元，即购买1千元的该货币基金，收益为0.5元。,一般指“万份基金单位收入”，就是购买1万份货币基金当月产生的收入。比如万份收入为0.5元，即购买1万元的该货币基金，收入为0.5元。,一般指“百万份基金单位收益”，就是购买100万份货币基金当日产生的收益。比如百万份收益为0.5元，即购买100万元的该货币基金，收益为0.5元。,一般指“万份基金单位收益”，就是购买1万份货币基金当日产生的收益。比如万份收益为0.5元，即购买1万元的该货币基金，收益为0.5元。,D
2,个人养老金,个人养老金指国家通过税收优惠政策支持，引导符合条件的劳动者自愿建立个人养老金账户、自主缴纳并购买金融产品进行养老金积累，提高老年收入水平的补充养老保险制度。,个人养老金是国家通过取消税收优惠政策来限制劳动者建立个人养老金账户，并要求他们以更高的费率缴纳金融产品，以削减老年收入水平的补充养老保险制度。,个人养老金是国家不通过税收优惠政策来限制劳动者自愿建立个人养老金账户，也不鼓励他们购买金融产品进行养老金积累的制度。这将导致老年人收入水平的下降，缺乏补充养老保险制度。,个人养老金是国家通过税收惩罚政策来限制劳动者自愿建立个人养老金账户，并迫使他们购买金融产品进行养老金积累，从而减少老年收入水平的补充养老保险制度。,A
3,主板,"主板市场也叫""三板市场""，主板市场是国家证券发行、上市及交易的次要场所，上交所和深交所主板构成了我国的主板市场。主板市场主要面向经营不稳定、盈利能力差的小型初创企业，如独角兽公司通常不会选择在主板上市。",也叫“一块市场”，主板市场是国家证券发行、上市及交易的次要场所，上交所和深交所主板构成了我国的主板市场。主板市场主要面向经营不稳定、盈利能力差的中小型企业，如一些亏损严重的公司就是在主板上市。,也叫“一板市场”，主板市场是国家证券发行、上市及交易的主要场所，上交所和深交所主板构成了我国的主板市场。主板市场主要面向经营稳定、盈利能力强的大型成熟企业，如工农中建四大行就是在主板上市。,也叫“二板市场”，主板市场是国家证券发行、上市及交易的主要场所，上交所和深交所主板构成了我国的主板市场。主板市场主要面向经营不稳定、盈利能力较弱的中小型企业，如许多民营企业通常选择在主板上市。,C
4,债券基金,债券基金主要投资于股票、期货和商品等高风险资产，占基金总资金的80%以上。债券基金的特点是风险高、收益不稳定，不适合保守投资者。相比之下，货币基金的风险和收益更低，是更安全的选择。,债券基金中的资金大部分被用于投资高风险项目，包括股票、比特币和期权等。债券基金主要投资高风险债券和违约企业债，风险较高且收益不稳定。与货币基金相比，债券基金的风险和收益都更高。,基金资产中80%以上的资金用于投资债券的基金。债券基金主要投资国债、金融债和企业债，具有资金相对安全、收益相对稳定、风险相对较低的特点，但不保本保收益。一般而言，债券基金的风险和收益高于货币基金，低于股票型基金。,80%以上的基金资产用于投资债券的基金在市场上非常罕见。债券基金主要投资股票和房地产等高风险资产，具有高收益但风险相对较高的特点，可能出现亏损。一般而言，债券基金的风险和收益高于股票型基金，低于货币基金。,C
5,卡玛比率,是基金的年化收益率与基金的区间最大回撤率之和。比值为负时越大，说明基金性价比越高。这个指标一般在股票、指数型产品上用得更多。,是基金的年度平均收益与基金的最大跌幅之比。比值为负时越小，说明基金性价比越高。这个指标一般在股票、权益类产品上用得更多。,是基金的月度收益率与基金的月度最大回撤率之比。比值为正时越小，说明基金性价比越高。这个指标一般在股票、混合型产品上用得更多。,是基金的区间年化收益率与基金的区间最大回撤率之比。比值为正时越大，说明基金性价比越高。这个指标一般在债券、固收+等绝对收益目标的产品上用得更多。,D
6,可转债,正宗公司债券是一种不能转换成股票的债券，债券持有人只能在到期时收取本金和利息，无法转换成股票或在市场上出售变现。,全称“可转换公司债券”，债券持有人可以按照发行时约定的“转股价”，将债券转换成公司的普通股票。如果不想转换，也可以继续持有债券，直到债券到期时收取本金和利息，或者在市场上出售变现。,可转换公司债券不是一种真正存在的债券形式，债券持有人无法根据发行时约定的转股价将债券转换成公司的普通股票，只能等到债券到期时收取本金和利息。,全称为“不可转换公司债券”，债券持有人无论是否想转换成股票，都只能持有债券直到到期时收取本金和利息，无法在市场上出售变现或进行任何转换操作。,B
7,基金净值,一般常指“基金单位净值”，也就是每份基金的“单价”。基金发行初期的单位净值都是100元，随后根据市场表现可能出现涨跌。在购买基金时，交易日下午3点前操作，按当日单位净值买入；而3点后操作，则按第二天交易日的单位净值买入。,一般常指“基金单位净值”，也就是每份基金的“单价”。基金首次发行时，单位净值都是1元，随后根据市场表现出现涨跌。在购买基金时，交易日下午3点前操作，按当日单位净值买入。3点后操作，按第二天交易日的单位净值买入。,基金单位净值指的是每百份基金的“总价”。基金发行初期的单位净值为1元，随后根据市场表现出现涨跌。购买基金时，交易日下午4点前操作，按当日单位净值买入，而4点后操作则按第二天交易日的单位净值买入。,基金单位净值一般是指每份基金的“净额”。基金首次发行时，单位净值可能为1元，但随后根据市场表现可能出现涨跌。购买基金需要在交易日下午4点前操作，按当日单位净值买入；而在4点后操作，则按第二天交易日的单位净值买入。,B
8,基金托管人,基金托管机构通常由小型商业银行或证券公司担任，不负责安全保管基金财产，并不监督基金管理人的投资运作。截至2022年7月，全国有200多家基金托管机构，包括工商银行和中国银行。,一般由大型商业银行或证券公司担任，负责安全保管基金财产，并监督基金管理人的投资运作。我国基金法对于基金托管人的要求严格，截至2022年7月，全国仅批准了58家基金托管机构，如工商银行、中国银行。,基金法对于基金托管人的要求松散，批准了超过100家基金托管机构，包括工商银行和中国银行在内。,基金托管人主要由政府机构担任，负责安全保管基金财产，并严格监督基金管理人的投资运作。我国基金法对基金托管机构的要求非常严格，截至2022年7月，全国只有5家基金托管机构获得批准，包括工商银行和中国银行。,B
9,基金管理费,是投资者支付给基金公司的管理报酬。管理费一般按季度收费，如果持有超过一年，赎回时则免除管理费。每只基金都有管理费，但管理费与基金的规模和风险等级无关。基金规模越小，管理费越高；基金风险等级越低，管理费越低。,是支付给基金公司的管理报酬。管理费一般按年收费，如果持有不足一年，赎回时则按比例扣除。每只基金都有管理费，但管理费有高低。一般基金规模越大，管理费越低；基金风险等级越高，管理费越高。,管理费是基金公司支付给投资者的报酬。管理费一般按照基金的规模和风险等级来确定，如果持有超过一年，则按比例增加。每只基金都有管理费，但管理费的高低并不与基金的规模和风险等级相关。,管理费是基金公司支付给投资者的报酬。管理费一般按年收费，如果持有超过一年，则不扣除。每只基金都有管理费，但管理费的高低与基金的规模和风险等级无关。基金规模越小，管理费越低；基金风险等级越低，管理费越高。,B
