id,question,A,B,C,D,answer
0,"1999年,首先获准开办国家助学贷款业务的银行是()。",中国农业银行,中国工商银行,中国银行,中国建设银行,B
1,2003年，中国人民银行将对银行业金融机构的监管职责移交至（  ）。,中国银行业监督管理机构,中国保监会,中国证监会,中国银行业协会,A
2,A公司拥有一写字楼，配套设施齐全，对外出租。全年租金3000万元，其中含代收的物业管理费200万元，水电费为500万元。如果将各项收入分别由各相关方签订合同，应纳房产税为(),300万元,276万元,270万元,267万元,B
3,B股交易专户、外汇贷款还贷专户和发行外币股票专户都属于()。,单位资本项目外汇账户,单位经常项目外汇账户,专用存款账户,一般存款账户,A
4,____负责监管互联网支付业务，____负责监管网络借贷业务、互联网信托业务和互联网消费金融业务。（）,银保监会；中国人民银行,中国人民银行；银保监会,银保监会；证监会,中国人民银行；证监会,B
5,(  )是指银行或者其他金融机构的工作人员违反规定，为他人出具信用证或者其他保函、票据、存单、资信证明，情节严重的行为。,伪造、变造金融票证罪,骗取贷款、票据承兑、金融票证罪,违规出具金融票证罪,对违法票据承兑、付款、保证罪,C
6,()，即按照当前承诺的时间支付薪酬，通常按周、月或年为单位进行支付，员工获得的实发工资额为应发工资额与代扣项目的差额,当期支付薪酬,延期支付薪酬,基本薪酬,福利津贴,A
7,（）不属于商业银行法人信贷业务的流程。,不良贷款管理,贷前调查,信贷审批,评级授信,A
8,（）承担从业人员行为管理的实施责任。,董事会,高级管理层,监事会,相关职能部门,B
9,（）规则应在严格遵循监管机构相关规定和要求的基础上，结合银行业金融机构的风险计量和管理水平来确定。,国别风险敞口识别,国别风险敞口计量,国别风险敞口监控,国别风险敞口评估,B
10,（）是商业银行的最高风险管理/决策机构，承担商业银行风险管理的最终责任。,监事会,高级管理层,董事会,风险管理部门,C
11,（）是我国基金市场的监管主体，依法对基金市场及其活动实施监督管理。,中国银保监会,基金业协会,中国证监会,中国人民银行,C
12,()是指单位类客户在存人款项时不约定存期，支取时需提前通知银行，并约定支取存款日期和金额方能支取的存款类型。,单位活期存款,单位定期存款,单位通知存款,单位协定存款,C
13,（）是指商业银行根据约定条件和实际投资收益情况向投资者支付收益，但不保证投资者本金安全、也不承诺收益水平的理财计划类型。,非保本浮动收益理财产品,保本浮动收益理财产品,保本固定收益理财产品,保本最低收益理财产品,A
14,（）是指投资者委托香港经纪商，经由香港联合交易所在深圳设立的证券交易服务公司，向深圳证券交易所进行申报（买卖盘传递），买卖深股通规定范围内的深圳证券交易所上市的股票。,深港通,沪股通,港股通,深股通,D
15,（）是指银行向借款人提供的以货币计量的贷款数额。,贷款金额,贷款价格,贷款限额,贷款额度,D
16,()又称利率敏感性缺口管理法，是利率风险管理的重要工具。,利率管理,久期管理,缺口管理,资本管理,C
17,()指客户需要增值保值、用以满足其人生不同阶段需求的最主要的资产,自用性资产,流动性资产,投资性资产,固有资产,C
18,（）指商业银行开展金融创新活动，应充分尊重他人的知识产权，不得侵犯他人的知识产权和商业秘密；商业银行应制定有效的知识产权保护战略，保护自主创新的金融产品和服务。,加强知识产权保护原则,成本可算原则,合法合规原则,公平竞争原则,A
19,《中国人民银行法》对货币政策的目标的规定是()。,经济增长,充分就业,汇率稳定,保持货币币值稳定并以此促进经济增长,D
20,按照《中华人民共和国银行业监督管理法》的规定，银行业金融机构不包括（ ）。,政策性银行,农村信用合作社,商业银行,证券公司,D
21,按照第一版巴塞尔资本协议，商业银行的核心资本不包括（ ）。,资本公积,盈余公积,次级债务,留存利润,C
22,被称为保密天堂的国家和地区一般具有的特征不包括（）。,有严格的银行保密法,有宽松的金融规则,有政治后台的支持,有自由的公司法,C
23,本次贷款的月还本付息额2350元，所购房产的月物业管理费预计150元，其他债务月均偿付额300元，借款人月均收入5000元，依据《商业银行房地产贷款风险管理指引》，审查其房产支出与收入比、所有债务与收入比两项指标，下列说法正确的是()。,两项指标均未达到条件,两项指标均达到条件,房产支出与收入比达到条件、所有债务与收入比未达到条件,房产支出与收入比未达到条件、所有债务与收入比达到条件,C
24,承担支持农业政策性贷款任务的政策性银行是( ),中国农业银行,中国农业发展银行,中国进出口银行,国家开发银行,B
25,持票人对支票出票人的权利期限是自出票日起（ ）个月。,1,24,6,3,C
26,次贷危机中，有些银行因无法偿付短期债务而不得不破产，这属于银行的（）。,国家风险,合规风险,声誉风险,流动性风险,D
27,"从风险管理角度划分,商业银行所面临的风险损失通常为()。",实际损失、机会成本/损失、非预期损失,实际损失、无形损失、灾难性损失,预期损失、实际损失、灾难性损失,预期损失、非预期损失、灾难性损失,D
28,从微观层面上看，属于增强流动性创新的金融工具是()。,长期贷款的证券化,附有股权认购书的债券,货市互换,货币发行便利,A
29,从资产负债表看，以下表述错误的是（）,固定资产重置及扩张可能导致长期资产的增加,季节性销售增长不会导致流动负债增加,红利支付可能导致资本净值的减少,商业信用的减少及改变可能导致流动负债的减少,B
30,贷款人受理借款人商用房贷款申请后，应履行尽职调查职责，对商用房贷款申请内容和相关情况进行调查核实，形成（）。,贷前调查报告,贷后检查报告,贷款审批报告,审查意见报告,A
31,单个信托计划的自然人人数不得超过____人，但单笔委托金额在____万元以上的自然人投资者和合格的机构投资者数量不受限制。（）,30；500,50；300,30；300,50；500,B
32,担保的形式不包括（）。,抵押,扣留,质押,保证,B
33,当前，我国商业银行面临的最主要的风险是（  ）。,战略风险,信用风险,市场风险,操作风险,B
34,到目前为止，我国个人贷款业务的发展经历了的阶段不包括()。,萌芽,发展,起步,规范,A
35,冻结单位或个人存款的期限最长为()个月。,1,3,6,9,C
36,对银行体系流动性产生冲击的常见因素不包含（）。,宏观经济因素和货币政策因素,金融市场因素,季节性因素,人员因素,D
37,对于长期销售增长企业，（）对于销售收入增长显得非常重要。,科学技术,资产效率,资产增加,季节因素,C
38,"房地产投资者以所购买的房产作为抵押，借入相当于其购买成本的绝大部分款项,这属于房地产投资的（）.",风险效应,财务杠杆效应,价值升值效应,现金流和税收效应,B
39,分红寿险是指保险公司将其实际经营成果优于定价假设的盈余，按照一定比例向保单持有人进行分配的人寿保险产品()是指人身保险合同中由被保险人或者投保人制定的享有保险金请求权的人,保险人,投保人,被保险人,受益人,D
40,个人贷款风险评分种类不包括（）。,申请评分卡,信用评分卡,行为评分卡,催收评分卡,B
41,个人抵押贷款到期，如果借款人不能履行还款义务时，银行对抵押物的处理方式不包括（）。,折价,拍卖,再抵押,变卖,C
42,个人商用房贷款的还款来源主要是（）。,借款人工资薪金收入,借款人的投资收益,保证人的工资薪金收入,借款人的经营性收入,D
43,个人外汇买卖业务多本着钞变钞、汇变汇的原则。下列说法正确的是()。,现钞可以随意兑换成现汇,现钞不能随意兑换成现汇，需要支付一定的钞变汇手续费,现汇买人价与现钞买人价总是相同的,现汇卖出价与现钞卖出价总是不同的,B
44,个人住房贷款的信用风险通常是因借款人的（）和（）下降导致的。,还款能力；还款意愿,还款能力；还款期限,还款期限；还款意愿,还款期限；经济水平,A
45,根据《贷款通则》，关于贷款展期，下列表述错误的是（）。,是否展期由贷款人与借款人共同协商决定,中期贷款展期期限累计不得超过原贷款期限的一半,不能按期归还贷款的，且借款人未申请展期或申请展期未得到批准，其贷款从到期日次日起，转入逾期贷款账户,短期贷款展期期限累计不得超过原贷款期限,A
46,根据《民法典》，物权不包括（）。,所有权,用益物权,担保物权,使用权,D
47,根据《商业银行信用卡业务监督管理办法》，境内商业银行开办信用卡发卡业务应当符合的条件是()。,注册资本为实缴资本，且不低于人民币1亿元或等值可兑换货币,企业贷款业务客户规模和客户结构较为稳定,具备开办收单业务的良好业务基础,在境内建有发卡业务主机、信用卡业务申请管理系统等专业化运营基础设施,D
48,根据《银行业监督管理法》，对问题银行业金融机构进行处置的方式不包括（）。,接管,促成重组,撤销,转售,D
49,根据抵债资产管理的严格控制原则，银行债权应首先考虑以()形式受偿。,货币,以物抵债,土地房产,生产设备,A
50,关于个人经营贷款，下列说法错误的是（）。,对有共有人的抵押房产，应审查共有人是否出具了同意抵押的书面证明,个人经营贷款的还款方式有多种，比较常用的是等额本息还款法、等额本金还款法和等额累进还款法等,对借款人拟提供的贷款抵押房产进行双人现场核实,贷后检查中，需特别关注企业财务经营状况和项目进展情况,B
51,关于个人住房贷款档案管理说法错误的是（）。,一般档案材料需要退还借款人的，档案管理员应退还借款人或委托人，不得复印,银行贷款经办人根据个人住房贷款归档要求，在贷款发放后，收集整理需要归档的个人住房货款资料，并交档案管理人员进行登记,贷款档案可以是原件，也可以是具有法律效力的复印件,银行可根据业务需要和人员配置情况，决定是否设立专门或兼职的个人贷款档案管理人员,A
52,关于家庭债务管理状况的分析，下列说法正确的有()。,消费负债比率占比较高，说明家庭的生活品质已经到了一定的水平,偿债能力分析包括平均负债利率分析和债务负担率分析,杠杆投资的风险较大，对家庭债务管理的要求相对较高,平均负债利率的合理区间为基准贷款利率的30%以下,A
53,关于收益率曲线的说法中，正确的是(),收益率曲线向上倾斜，表示短期利率高于长期利率,收益率曲线向下倾斜，表示长期利率低于短期利率,驼峰收益率曲线表示期限相对较短的债权，利率与期限成负相关,驼峰收益率曲线表示期限较长的债权，利率与期限成正向相关,B
54,国际市场通常采用()对债券风险进行评估。,债券信用评级法,债券风险评级法,内部评级法,外部评级法,A
55,国家行政机关对国家公务员和国家行政机关任命的其他人员违反行政纪律的行为进行制裁措施，属于（  ）。,行政处罚,行政处分,刑事制裁,刑事处分,B
56,黄某是一家银行的客户经理，下列行为中符合银行业从业人员职业操守要求的是（  ）。,向申请贷款的企业透露贷审委员会意见,在办公电脑上安装盗版软件,知道其他部门同事有受贿行为，但由于不属同一部门，因此不予劝阻,某公司财务负责人向其了解该公司总经理在该银行的私人存款状况，黄某予以拒绝,D
57,汇率波动受黄金输送费用的限制，各国国际收支能够自动调节，这种货币制度是()。,信用本位制,金本位制,布雷顿森林体系,牙买加体系,B
58,机构客户可按行业、（)与银行的关系等标准进行细分。,机构所在地,类型,所有权,经营性质,D
