id,question,A,B,C,D,answer
0,理赔材料,查保险受益人,名词解释,查增值服务,查理赔材料,D
1,那有取消续费,其他保全需求,签署健康告知,查泛续保规则,赔付冲突分析,A
2,等待期是,查退保资金流向,医院核赔,受益人变更,查等待期时间,D
3,肠道不舒服，要做肠镜才去办理入院检查的,查理赔范围,查疾病赔付范围,查理赔要求,理赔材料缺失,D
4,是免费的吗,查泛投保失败原因,名词解释,添加被保人步骤,查优惠信息,D
5,电子发票怎么下载,查保额限制,名词解释,具体什么情况能不能赔,保单其他操作,D
6,这个东西能退吗,查免赔额抵扣规则,签署健康告知,给别人投保步骤,查泛退保规则,D
7,除了父母子女配偶 其他人的怎么交,给别人投保步骤,其他保全需求,按险种选品,查健康要求,A
8,请问 我家在陕西安康市， 如果想要报销 是不是只能异地就医？安康本市的二级医院就医是不在保险范围内 对吗？,申请保单或电子保单,医院核赔,手术评估,查是否自动续保,B
9,标准版和实惠版的区别,具体疾病赔付评估,产品对比,查分期缴费规则,查费率价格,B
10,无痛人流能报销吗,查理赔要求,续保续费步骤,具体疾病赔付评估,无明确含义,C
11,拔牙能报吗？,通用材料咨询,按险种选品,就诊类型核赔,查返保规则,C
12,这个有年龄限制嘛,查承保年龄,购买冲突分析,给别人投保步骤,查报销顺序,A
13,送的疫苗怎么打,其他保全需求,设置自动扣款步骤,修改保单信息,查增值服务,D
14,扫人脸不好使,保单其他操作,给别人投保步骤,投保金额变更,异地理赔,A
15,有垫付吗？,查理赔记录,查返保规则,泛选品,查垫付方式,D
16,给宝宝配置重疾险推荐一下,被保人变更,查泛投保失败原因,医院核赔,按险种选品,D
17,请问18年做过乳腺结节手术，结果是良性，就不能投保长期医疗保险了吗？,保单其他操作,疾病核保,查自动扣费状态,问基本信息,B
18,能看看可以买什么药吗,查医保赔付规则,缴费方式对比,服药评估,查赔付药品范围,D
19,护工费可以报销吗,按年龄选品,查理赔结果,保障范围评估,就诊费用核赔,D
20,直赔服务是什么意思,名词解释,保险知识,查保单现金价值步骤,查收益率,A
21,那我以前交的保险那个是什么保单呢？,添加被保人步骤,查保单,查缴费记录,申请垫付步骤,B
22,是否需要医保报销后再申请理赔,查报销顺序,保障范围评估,查免赔额金额,查保单现金价值步骤,A
23,自动扣费吗,给别人投保步骤,查泛投保失败原因,核赔评估,查自动扣费状态,D
24,胃息肉能否投保,查理赔钱款流向步骤,投保材料咨询,购买冲突分析,疾病核保,D
25,有肺结核能投保？,投保金额变更,查退保金额,被保人变更,疾病核保,D
