id,question,A,B,C,D,answer
0,高血压可保重疾险,失火保险,意外住院医疗保险金,境外旅行保险,重疾险,D
1,高空作业意外险买哪种,高空作业意外险,疫苗险,门诊医疗险,银行卡安全险,A
2,餐饮员工保险,员工保险,境外旅游险,大病医疗保险,寿金险,A
3,附加第三者险,长期保险,少儿门诊险,其他特色医疗险,附加第三者险,D
4,防癌医疗保险,防癌医疗险,财产保险,少儿门诊住院,大病医疗保险,A
5,门诊险，在网上购药，是指各医院的网上吗,家财险,其他特色医疗险,门诊医疗险,学生意外保险,C
6,门诊险这个如果当地没有配送，是发快递吗,门诊医疗保险金,门诊医疗险,恶性肿瘤保险,家庭保险,B
7,门诊险给宝宝选哪个好,电动三轮车骑行保险,境外旅游险,门诊医疗险,房屋险,C
8,门诊险等待期,出行意外险,门诊医疗险,少儿医疗险险,运费险,B
9,门诊险每次报销上限多少,门诊医疗险,教育金,意外疾病险,查询车保险,A
10,门诊险有多久的等待期,门诊医疗保险金,门诊医疗险,短期意外险,住院医疗险,B
11,门诊险有乳腺结节能理赔吗,医疗险,爱牙齿科医疗险,门诊医疗险,意外疾病险,C
12,门诊险是什么,长期百万医疗险,商业保险,门诊医疗险,少儿医保,C
13,门诊险报销有什么要求吗,查询车保险,门诊医疗险,人寿保险,女性孕期保险,B
14,门诊险怎么报挂号费？,门诊医疗险,账户安全险,癌症保险,碎屏险,A
15,门诊险妇科病检查报销嘛,年金,宠物医疗险,旅行险,门诊医疗险,D
16,门诊险多大的孩子可以投保？,一般医疗,防癌抗癌专属保险,门诊医疗险,住院医疗险,C
17,门诊险可以随时退保？如果只买2个月？,牙科医疗险,机器保险,门诊医疗险,全车保驾乘意外险,C
18,门诊险可以报销哪些,其他意外险,少儿门诊险,门诊医疗险,重疾险,C
19,门诊险只买了一个月体验版，30天观察期过了会不会失效了不能买药,人生意外保险,门诊医疗险,运动医疗,城市保,B
20,门诊险不是可以网上买药,航空保险,防癌抗癌专属保险,门诊医疗险,太平洋个人意外保险,C
21,门诊医疗就包括什么？,医疗险,门诊医疗,少儿医保,长期保险,B
22,门诊保险,长期险,综合意外险,旅游险,门诊医疗险,D
23,长期医疗跟住院医疗有什么区别,航空保险,少儿门诊住院,百万住院医疗险,牙科医疗险,C
24,长期医疗是多少年？,百万住院医疗险,家庭意外险,其他意外险,商业保险,A
25,长期医疗是否属于报销型,百万住院医疗险,新生儿保险,旅行险,学生意外险,A
26,长期医疗和重疾险有必要一起买吗,雇主责任险,定期养老险,百万住院医疗险,百万保险,C
27,长期医疗可以糖尿病吗,境外旅行保险,百万住院医疗险,人生意外保险,长期百万医疗险,B
28,长期医疗保险包含恶性肿瘤赴日治疗么,增寿险,住院医疗险,百万住院医疗险,新生儿保险,C
29,长期医疗1万以下赔付多少,百万住院医疗险,其他意外险,全家保险,长期险,A
30,重疾险需要每年交费吗？,伤残险,重疾险,爱牙齿科医疗险,税优险,B
31,重疾险购买,账户安全险,少儿百万医疗,重疾险,孕产医疗险,C
32,重疾险慢性病能保吗？,一般医疗保险金,全车保驾乘意外险,宠物险,重疾险,D
33,重疾险含身故赔偿吗,长期百万医疗险,一般医疗保险金,疫苗险,重疾险,D
34,重疾险保金后期会退吗,商业险,商业保险,重疾险,眼睛医疗,C
35,重疾险为什么是关闭的,重疾险,身故保险,手机屏幕险,少儿医保,A
36,重疾险,一般医疗保险金,重疾险,员工险,女性孕期保险,B
37,重疾保险,宠物险,重疾险,百万住院医疗险,恋爱保险,B
38,那个住院医疗,少儿医疗险险,恶性肿瘤赴日医疗,住院医疗险,儿童保险,C
39,适合4类职业的意外险,意外险,失火保险,税优险,门诊保险费,A
40,退款时还未发货，运费险是否还能退回,意外疾病险,儿童门诊险,运费险,综合意外险,C
41,这种重疾险是一次性打钱给你还是看完病去报销,重疾险,员工险,恶性肿瘤保险,意外住院医疗,A
42,这款百万医疗对女性病发率比较高的宫颈癌乳腺癌什么的有赔付吗,安联境外险,查询车保险,百万住院医疗险,门诊保险费,C
43,这款意外险最多可以保几人,人生意外险,雇主责任险,剖腹产医疗险,意外险,D
44,这款产品里面有意外险吗,意外险,寿金险,癌症保险,学平险,A
45,这是意外险还是医疗险呢,意外运动险,意外险,医疗保险金,门险,B
46,这号码人保财险,财产保险,意外住院医疗,人保财险,电动车险,C
47,这个防癌险的观察期是多久,失火保险,防癌医疗险,定期养老险,长期百万医疗险,B
48,这个门诊险购买年龄范围是多少,团险,脑血栓保险,门诊医疗险,意外住院医疗保险金,C
49,这个长期医疗和住院医疗有什么区别啊？？,定期寿险,癌症保险,意外险,百万住院医疗险,D
50,这个重疾险,旅行险,全车保驾乘意外险,重疾险,门诊医疗险,C
51,这个里面含有意外险吗,家庭意外共享险,航空保险,意外险,商业险,C
52,这个是重病保险还是百万医疗，得病住院就给看,疫苗险,少儿百万医疗,百万住院医疗险,太平洋个人意外保险,C
53,这个是意外保险吗,少儿百万医疗,意外险,学生意外险,眼保险,B
54,这个房屋保险房产证必须是我吗？,恋爱保险,定期养老险,房屋险,其他意外险,C
55,这个就是人生意外保险吧,教育金,一般医疗,寿金险,人生意外保险,D
56,这个宠物险，狂犬疫苗是多久一次呢？,商业保险,寿金险,短期百万医疗,宠物险,D
57,这个和长期医疗的区别在哪里,百万住院医疗险,一般医疗保险金,查询车保险,员工保险,A
58,这个和其他重疾险有理赔冲突吗,人保财险,查询车保险,重疾险,眼保险,C
59,这个保险包含意外险吗,失火保险,雇主险,意外险,短期意外险,C
60,运费险钱去哪里？？,运费险,骑行险,身故保险,家财险,A
61,运费险赔付到哪了,运费险,旅行险,身故险,碎屏险,A
62,运费险理赔,出行意外险,城市保,运费险,儿童门诊险,C
63,运费险什么时候理赔,身故保险,单日意外险,员工险,运费险,D
64,运动意外险额度，做前叉意外险有用吗,人生意外险,运动意外险,重大疾病住院保险,定期养老险,B
65,运动保，儿童7岁买不了？,少儿医保,航空保险,运动意外险,少儿百万医疗,C
66,车险保单最后确定时签名没完成，保单有效吗,宠物医疗险,车险,第三者责任险,团险,B
67,车保,恶性肿瘤保险,车险,商业险,运动医疗险,B
68,足球等球类意外险（亚运版）,航空保险,防癌抗癌专属保险,意外险,大病医疗保险,C
69,购买车险是否需要验车,医疗补充险,大病医疗保险,车险,重大疾病住院保险,C
70,购买同一公司重疾险是否需要退掉一个,学生意外保险,重疾险,运动意外险,家庭意外险,B
71,请问：长期险的运营费用是怎样算的,长期险,眼睛医疗,一般医疗保险金,意外住院医疗保险金,
72,请问长期医疗一年多少钱呀,其他特色医疗险,碎屏险,百万住院医疗险,百万医疗健康,
73,请问这个爱牙齿科医疗险，做牙齿矫正也可以赔付？,百万保险,短期意外险,门险,爱牙齿科医疗险,
74,请问申请法签，一年的旅行保险,少儿医保,全家保险,太平洋个人意外保险,旅行险,
75,请问宠物保险理赔再多少个工作日内可以理赔？,宠物险,运动医疗险,门诊保险费,国泰门诊险,
76,请问咱们这个住院保险，生孩子住院的可不可以报销,住院医疗险,其他特色医疗险,意外运动险,宠物险,
77,被车刮蹭了可以申请学生意外保险吗,意外运动险,少儿门诊住院,出行意外险,学生意外保险,
78,被保险人血糖高可以购买意外险吗,剖腹产医疗险,人寿保险,门诊医疗保险金,意外险,
79,自装装修工人意外险,意外险,员工保险,家庭保险,综合意外险,
80,能在几个保险公司买意外险吗,团险,房屋险,意外险,附加第三者险,
81,老兵家属防癌抗癌专属保险,防癌抗癌专属保险,百万医疗健康,恶性肿瘤保险,碎屏险,
82,综合意外可以保运动医疗吗,其他特色医疗险,家庭意外险,运动医疗,机器保险,
83,给宝宝配置重疾险推荐一下,雇主责任险,学生意外险,太平洋个人意外保险,重疾险,
84,第一次买门险有等待期吗,住院医疗险,交强险,门诊医疗,门险,
85,短期运动险,出行意外险,短期运动险,第三者责任险,学生意外险,
86,短期意外险,人生意外保险,商业保险,其他特色医疗险,短期意外险,
87,眼保险,孕产医疗险,意外运动险,眼保险,员工保险,
88,百万医疗险额度,百万住院医疗险,家庭意外险,少儿医保,少儿险,
89,百万医疗系,儿童门诊险,综合意外险,失火保险,百万住院医疗险,
