id,question,A,B,C,D,answer
0,【新能源概念股反弹锂矿方向领涨】财联社4月14日电，新能源方向盘中反弹，永兴材料涨停，中矿资源、赣锋锂业、禾迈股份、德方纳米等涨超6%，创业板指权重股宁德时代、亿纬锂能、阳光电源纷纷大幅冲高。,中性,利空,未知,利好,D
1,财联社4月14日电，靶材板块继续走强，涨幅超过3%，其中江丰电子涨幅超4%，隆华科技涨幅超3%，有研新材涨幅超2%。,中性,未知,利空,利好,D
2,财联社4月14日电，半导体设备板块继续走强，涨幅超过4%，其中耐科装备涨幅超20%，拓荆科技涨幅超20%，微导纳米涨幅超16%。,中性,利好,未知,利空,B
3,财联社4月14日电，EDA板块继续走强，涨幅超过3%，其中华大九天涨幅超6%，广立微涨幅超6%，概伦电子涨幅超5%。,利好,中性,未知,利空,A
4,上证报中国证券网讯 4月14日，A股三大股指全天震荡走强。截至收盘，上证指数报3338.15点，涨0.60%。深证成指涨0.51%，创业板指涨0.93%。科创50指数午后涨幅扩大，收盘大涨3.28%。半导体板块掀涨停潮，耐科装备、联动科技等多股涨停。锂电池赛道反弹，天齐锂业、赣锋锂业涨超5%。ChatGPT概念则出现调整。北向资金全天净买入64.24亿元。,利空,利好,中性,未知,B
5,中证网讯热门中概股4月14日多数收跌。Wind数据显示，截至收盘，雾芯科技跌7.27%，达达集团跌5.52%，有道跌3.65%，百度跌3%，高途集团跌2.51%，哔哩哔哩跌2.34%；涨幅方面，挚文集团涨4.81%，和黄医药涨5.72%，好未来涨2.69%。中概新能源汽车股涨跌不一，蔚来汽车涨1.87%，小鹏汽车跌0.55%，理想汽车涨1.4%。,未知,利好,中性,利空,C
6,【数据要素板块早盘跳水中文在线大跌超10%】财联社4月17日电，数据要素板块早盘跳水，中文在线大跌超10%，美亚柏科、中国科传跌超9%，海量数据、零点有数、中富通跌超6%。,利好,利空,中性,未知,B
7,财联社4月17日电，AIGC板块继续走弱，跌幅超过3%，其中中文在线跌幅超9%，昆仑万维跌幅超6%，值得买跌幅超5%。,中性,利好,未知,利空,D
8,财联社4月17日电，MLOps板块继续走弱，跌幅超过3%，其中万达信息跌幅超6%，绿盟科技跌幅超4%，启明信息跌幅超2%。,未知,利好,中性,利空,D
9,财联社4月17日电，DRG/DIP板块继续走弱，跌幅超过3%，其中久远银海跌幅超7%，山大地纬跌幅超6%，万达信息跌幅超5%。,中性,未知,利好,利空,D
10,财联社4月17日电，DRG/DIP板块继续走弱，跌幅超过3%，其中久远银海跌幅超7%，山大地纬跌幅超6%，万达信息跌幅超5%。,未知,利好,中性,利空,D
11,财联社4月17日电，网络安全板块继续走弱，跌幅超过3%，其中博汇科技跌幅超13%，浩瀚深度跌幅超10%，海量数据跌幅超10%。,中性,利好,利空,未知,C
12,财联社4月17日电，国产软件板块继续走弱，跌幅超过3%，其中和达科技跌幅超19%，山大地纬跌幅超12%，吉大正元跌幅超10%。,利好,未知,利空,中性,C
13,财联社4月17日电，征信板块继续走弱，跌幅超过3%，其中信雅达跌幅超9%，易联众跌幅超8%，神州泰岳跌幅超7%。,未知,利好,利空,中性,C
14,【CPO板块快速反弹剑桥科技大涨7%】财联社4月18日电，CPO板块早盘快速反弹，剑桥科技大涨7%，光库科技涨4%，天孚通信、联特科技、太辰光等快速跟涨。消息面上，剑桥科技一季报实现净利润7147.25万元，同比扭亏为盈。,利好,利空,未知,中性,A
15,【游戏板块走低多股跌超3%】财联社4月18日电，游戏股早盘走低，昆仑万维跌近8%，吉比特、天舟文化、华谊兄弟、顺网科技、电魂网络等跌超3%。,未知,中性,利好,利空,D
16,【港股保险股多数走强中国太保涨超4%】财联社4月18日电，截至发稿，中国太保涨4.33%、中国人寿涨3.05%、中国平安涨2.59%、新华保险涨1.71%。,中性,未知,利好,利空,C
17,财联社4月18日电，云游戏板块继续走弱，跌幅超过3%，其中天舟文化跌幅超6%，顺网科技跌幅超4%，中青宝跌幅超4%。,中性,利空,未知,利好,B
18,上证报中国证券网讯4月18日，工业母机板块快速下行，截至9：44，万讯自控大跌超12%，宇环数控跌超7%，华中数控、天马股份等跟跌。数据来源：Choice金融终端,利空,未知,中性,利好,A
19,【港股半导体股走低中芯国际跌近5%】财联社4月18日电，截至发稿，中芯国际跌4.67%、上海复旦跌4.02%、华虹半导体跌4.08%、宏光半导体跌2.63%。,中性,利空,未知,利好,B
20,【大基建板块震荡走弱甘咨询逼近跌停】财联社4月18日电，大基建板块盘中震荡走弱，甘咨询逼近跌停，北方国际、新城市、柏诚股份、杰恩设计、中公高科均大跌超6%。,利好,未知,利空,中性,C
21,财联社4月19日电，信科系板块继续走强，涨幅超过3%，其中光迅科技涨幅超6%，长江通信涨幅超4%，大唐电信涨幅超3%。,利好,未知,中性,利空,A
22,财联社4月19日电，AI服务器板块继续走强，涨幅超过3%，其中环旭电子涨幅超9%，中科曙光涨幅超9%，同方股份涨幅超6%。,中性,利好,未知,利空,B
23,财联社4月19日电，电信运营板块继续走弱，跌幅超过3%，其中中国联通跌幅超5%，ST鹏博士跌幅超4%，中国电信跌幅超3%。,未知,利好,利空,中性,C
24,财联社4月20日电，有色镁板块继续走弱，跌幅超过3%，其中丰华股份跌幅超8%，西部矿业跌幅超6%，宜安科技跌幅超2%。,中性,未知,利好,利空,D
25,财联社4月20日电，AIGC板块继续走强，涨幅超过3%，其中蓝色光标涨幅超18%，万兴科技涨幅超9%，视觉中国涨幅超9%。,利好,利空,未知,中性,A
26,财联社4月20日电，AIGC板块继续走强，涨幅超过4%，其中蓝色光标涨幅超20%，万兴科技涨幅超15%，遥望科技涨幅超10%。,利空,利好,未知,中性,B
27,【ChatGPT板块进一步走强万兴科技创历史新高】财联社4月20日电，午后ChatGPT板块进一步走强，万兴科技大涨超10%创历史新高，先前蓝色光标20CM涨停，科大讯飞逼近涨停，云从科技、神州泰岳、软通动力、高伟达、同花顺均大涨超7%。,未知,中性,利空,利好,D
28,财联社4月20日电，MLOps板块继续走强，涨幅超过4%，其中传音控股涨幅超8%，启明信息涨幅超6%，绿盟科技涨幅超4%。,未知,中性,利空,利好,D
29,财联社4月20日电，AI模型板块继续走强，涨幅超过5%，其中万兴科技涨幅超20%，首都在线涨幅超17%，同方股份涨幅超10%。,利好,中性,未知,利空,A
30,【军工股持续走高华如科技涨超16%】财联社4月21日电，华如科技涨超16%，理工导航涨超12%，亚光科技、三角防务、观想科技、航新科技、国瑞科技、天微电子等涨超5%。,利好,中性,未知,利空,A
31,财联社4月21日电，快手概念板块继续走弱，跌幅超过3%，其中万润科技跌幅超8%，首都在线跌幅超6%，中文在线跌幅超6%。,利好,中性,未知,利空,D
32,财联社4月21日电，数字水印板块继续走弱，跌幅超过3%，其中平治信息跌幅超5%，证通电子跌幅超3%，汉仪股份跌幅超3%。,未知,利空,利好,中性,B
33,财联社4月21日电，玻纤板块继续走弱，跌幅超过3%，其中中国巨石跌幅超6%，长海股份跌幅超5%，中材科技跌幅超3%。,中性,未知,利好,利空,D
34,财联社4月21日电，数字政务板块继续走弱，跌幅超过3%，其中电科网安跌幅超6%，云赛智联跌幅超5%，中科江南跌幅超5%。,利好,中性,利空,未知,C
35,财联社4月21日电，氮化镓(GaN)板块继续走弱，跌幅超过3%，其中乾照光电跌幅超12%，必易微跌幅超6%，芯导科技跌幅超4%。,利空,未知,利好,中性,A
36,财联社4月21日电，文心一言板块继续走弱，跌幅超过3%，其中凡拓数创跌幅超8%，顺网科技跌幅超8%，软通动力跌幅超7%。,未知,利好,中性,利空,D
37,财联社4月21日电，金融科技板块继续走弱，跌幅超过3%，其中软通动力跌幅超7%，新致软件跌幅超6%，财富趋势跌幅超6%。,未知,利好,利空,中性,C
