id,question,A,B,C,answer
0,我的投资回报率一直很高。,中性,积极,消极,B
1,最近的市场波动对我的投资没有太大影响。,消极,积极,中性,B
2,我的股票持续上涨。,积极,消极,中性,A
3,我的投资在短时间内涨幅惊人。,积极,中性,消极,A
4,我的股票投资一直在赚钱。,积极,中性,消极,A
5,我最近的投资决策都非常明智。,积极,消极,中性,A
6,我对市场的前景感到非常乐观。,消极,中性,积极,C
7,我的投资决策一直很明智。,中性,积极,消极,B
8,我的投资组合一直在赚钱。,消极,中性,积极,C
9,我的股票持续上涨。,积极,中性,消极,A
10,我的金融状况一直在改善。,积极,消极,中性,A
11,我的投资策略一直很明智。,中性,积极,消极,B
12,我的投资组合中的多元化资产一直在稳定增长。,消极,积极,中性,B
13,我最近参加了一个金融研讨会，受益匪浅。,中性,消极,积极,C
14,我的投资决策一直很明智，我做出了正确的选择。,中性,消极,积极,C
15,我感到非常幸运有机会参与金融市场。,积极,中性,消极,A
16,我的投资组合多样化，降低了风险。,中性,积极,消极,B
17,我的投资回报率持续保持在一个高水平。,消极,中性,积极,C
18,我的金融状况一直在逐渐改善，让我感到满意。,积极,消极,中性,A
19,我对自己的金融知识感到自豪，能够做出明智的决策。,消极,积极,中性,B
20,我最近学到了一些新的投资策略，看到了不同的机会。,消极,积极,中性,B
21,我的投资组合在市场不确定性中表现出色。,中性,消极,积极,C
22,我的投资回报率一直很高，这让我感到非常自信。,中性,消极,积极,C
23,我的金融状况一直在好转，我感到非常幸运。,积极,中性,消极,A
24,我对自己的金融决策感到非常满意，已经走在了成功的道路上。,积极,消极,中性,A
25,我的金融知识不断扩展，让我能更好地理解市场。,中性,消极,积极,C
26,我的投资策略灵活且适应市场，这非常重要。,积极,中性,消极,A
27,我最近参加了一个金融研讨会，学到了很多有用的东西。,积极,消极,中性,A
28,我的投资组合在市场波动中保持稳定，非常令人安心。,消极,积极,中性,B
29,我对自己的金融目标感到非常满意，一步步实现。,中性,积极,消极,B
30,我的金融状况在逐渐改善，这是一个积极的趋势。,积极,消极,中性,A
31,我的投资决策一直非常明智，我感到自豪。,消极,中性,积极,C
32,我的投资回报率一直在超出我的期望，非常满意。,中性,积极,消极,B
33,我的投资组合在市场波动中保持着坚挺，让我感到安心。,消极,积极,中性,B
34,我的资产一直在不断增加，为未来提供了更多选择。,消极,中性,积极,C
35,我最近找到了一支具有潜力的小公司，投资了它。,积极,消极,中性,A
36,我最近学到了一些新的金融技能，有信心应对市场。,中性,消极,积极,C
37,全球股市在最近的交易日中表现强劲，创下新高。,中性,积极,消极,B
38,最新的就业数据显示，失业率降至历史低点，经济复苏迅猛。,消极,积极,中性,B
39,投资银行分析师表示，市场前景看好，建议持续投资。,积极,中性,消极,A
40,一家初创公司成功融资，引发投资者对创新公司的兴趣。,消极,积极,中性,B
41,央行宣布降低利率，提振了借款和投资活动。,消极,积极,中性,B
42,市场分析师认为，新兴市场股票有望长期上涨。,消极,中性,积极,C
43,全球供应链恢复正常，为经济恢复创造了有利条件。,中性,积极,消极,B
44,全球股票市场在低利率环境下持续上涨，投资者乐观。,积极,中性,消极,A
45,市场观察家表示，股市上涨趋势有望持续，投资者情绪积极。,消极,积极,中性,B
46,央行采取措施鼓励贷款和投资，为经济创造了有利条件。,积极,中性,消极,A
47,一家生物科技公司发布了突破性的药物研究成果，股价大涨。,中性,消极,积极,C
