id,question,A,B,C,D,answer
0,陈先生将100000元存入银行，年利率为1.5%，2年后，他将获得多少元利息？,3000,23173,27754,10943,A
1,陈先生投资一笔钱，5年后他希望其价值达到30000元。如果他选择了一个年利率为8%的投资项目，他应该投资多少元？,170404.2217,100573.9258,26984.1078,20417.4959,D
2,当权益比率为70%时，若所有者权益总额为700万元，那么资产总额是多少万元？,3000,7800,1000,1100,C
3,当一个公司的经营现金净流入为30万美元，其现金到期债务比为10，那么该公司的本期到期债务是多少万美元？,12,7,8,3,D
4,公司的产权比率为1.5，已知其总负债和股东权益的和为900万元，求公司的股东权益是多少万元？,2391,1568,360,292,C
5,公司的权益乘数为5，其总资产为500万元，求该公司的股东权益是多少万元？,198,100,764,311,B
6,公司A的流动资产为250万，存货为30万，速动比率为1.2，请问该公司的流动负债是多少万元？,1576.264,183.3333,1224.5788,1349.4165,B
7,公司A的资产中，现金有10000元，短期证券为5000元，应收票据为2000元，应收账款净额为3000元，流动负债为25000元。请问公司A的保守速动比率是多少？,0.4384,0.8,0.1519,0.2979,B
8,公司A在去年的经营活动现金流量为200万元，利息费用为50万元。请计算公司A的现金流量利息保障倍数是多少？,7,12,4,8,C
9,公司A在上一个财务年度的净利润为1000万元，利息费用为200万元，所得税费用为100万元。请问公司A的利息保障倍数是多少？,6.5,13.7742,14.8051,34.3154,A
10,公司B的保守速动比率为0.8，如果其应收账款净额为6000元，流动负债为15000元，其他参数均为0。那么公司B的现金是多少元？,6000,52754,38377,48979,A
11,公司B的利息费用为150万元，利息保障倍数为5倍，而没有所得税费用。请问公司B的净利润是多少万元？,2163,4795,600,3650,C
12,公司C的存货为70万，速动比率为1.3，流动负债为230万，那么该公司的流动资产是多少万元？,3396,2296,2961,369,D
13,公司C的净利润为1200万元，利息保障倍数为4倍，所得税费用为150万元。请问公司C的利息费用是多少万元？,450,1511,3591,1731,A
14,公司C的流动负债为20000元，其保守速动比率为1.2。如果公司C的短期证券、应收票据、应收账款净额都为0，那么公司C的现金是多少元？,226623,24000,184018,139901,B
15,公司C的所有者权益为200万，负债总额为180万，请问公司C的负债对所有者权益比率是多少？,0.9,0.1413,0.9846,0.0709,A
16,公司C的现金比率为0.55，货币资金为50万元，流动负债为180万元，请问公司C的交易性金融资产是多少元？,115889.9313,49000,358819.9975,331798.0105,B
17,公司D的存货为90万，流动资产为600万，若流动负债为350万，其速动比率是多少？,9.6476,6.4596,6.5082,1.4571,D
18,公司D的现金流量利息保障倍数为4.5，其经营活动现金流量为900万元。那么，请问公司D的利息费用是多少万元？,1033,200,446,1399,B
19,公司D在过去的财务年度中，净利润为900万元，利息费用为300万元。如果他们的利息保障倍数为5倍，所得税费用为多少万元？,2186,300,1695,1450,B
